# TRADUCCIÓN DE STAR WARS CONQUEST - ESPAÑOL
# CREADO POR SWYTER, TODOS LOS DERECHOS RESERVADOS.
# CONTACTO: MANDA UN MENSAJE PERSONAL EN FORUMS.TALEWORLDS.COM A "SWYTER"

str_no_string|NO STRING!
str_tutorial_1_msg_6|Well done! You've learned the basics of moving and attacking. With a little bit of practice you will soon master them. In the second tutorial you can learn more advanced combat skills and face armed opponents. You can press the Tab key at any time to return to the tutorial menu.
str_tutorial_2_msg_1|This tutorial will teach you how to defend yourself with a shield and how to battle armed opponents. For the moment you are armed with nothing but a shield. Your task is not to attack, but to successfully protect yourself from harm with your shield. There is an armed opponent waiting for you in the next room. He will try his best to knock you unconscious, while you must protect yourself with your shield by pressing and holding the right mouse button. Go into the next room now to face your opponent. Remember that you can press the Tab key at any time to quit this tutorial or to exit any other area in the game.
str_tutorial_2_msg_2|Press and hold down the right mouse button to raise your shield. Try to remain standing for thirty seconds. You have {reg3} seconds to go.
str_tutorial_2_msg_3|Well done, you've succeeded in defending against an armed opponent. The next phase of this tutorial will pit you and your shield against a force of enemy archers. Move on to the next room when you're ready to face the archers.
str_tutorial_2_msg_4|Defend yourself from arrows by raising your shield with the right mouse button. Try to remain standing for thirty seconds. You have {reg3} seconds to go.
str_tutorial_2_msg_5|Excellent, you've put up a succesful defence against archers. There is a reward waiting for you in the next room.
str_tutorial_2_msg_6|In the default configuration, the F key on your keyboard is used for non-violent interaction with objects and humans in the gameworld. To pick up the sword on the altar, look at it and press F when you see the word 'Equip'.
str_tutorial_2_msg_7|A fine weapon! Now you can use it to deliver a bit of payback. Go back through the door and dispose of the archers you faced earlier.
str_tutorial_2_msg_8|Very good. Your last task before finishing this tutorial is to face the maceman. Go through the door now and show him your steel!
str_tutorial_2_msg_9|Congratulations! You have now learned how to defend yourself with a shield and even had your first taste of combat with armed opponents. Give it a bit more practice and you'll soon be a renowned swordsman. The next tutorial covers directional defence, which is one of the most important elements of Mount&Blade combat. You can press the Tab key at any time to return to the tutorial menu.
str_tutorial_3_msg_1|This tutorial is intended to give you an overview of parrying and defence without a shield. Parrying attacks with your weapon is a little bit more difficult than blocking them with a shield. When you are defending with a weapon, you are only protected from one direction, the direction in which your weapon is set. If you are blocking upwards, you will parry any overhead swings coming against you, but you will not stop thrusts or attacks to your sides. Either of these attacks would still be able to hit you. That's why, in order to survive without a shield, you must learn directional defence. Go pick up up the quarterstaff now to begin practice.
str_tutorial_3_msg_2|By default, the direction in which you defend (by clicking and holding your right mouse button) is determined by the attack direction of your closest opponent. For example, if your opponent is readying a thrust attack, pressing and holding the right mouse button will parry thrust attacks, but not side or overhead attacks. You must watch your opponent carefully and only initiate your parry AFTER the enemy starts to attack. If you start BEFORE he readies an attack, you may parry the wrong way altogether! Now it's time for you to move on to the next room, where you'll have to defend yourself against an armed opponent. Your task is to defend yourself successfully for thirty seconds with no equipment other than a simple quarterstaff. Your quarterstaff's attacks are disabled for this tutorial, so don't worry about attacking and focus on your defence instead. Move on to the next room when you are ready to initiate the fight.
str_tutorial_3_msg_3|Press and hold down the right mouse button to defend yourself with your staff after your opponent starts his attack. Try to remain standing for thirty seconds. You have {reg3} seconds to go.
str_tutorial_3_msg_4|Well done, you've succeeded this trial! Now you will be pitted against a more challenging opponent that will make things more difficult for you. Move on to the next room when you're ready to face him.
str_tutorial_3_msg_5|Press and hold down the right mouse button to defend yourself with your staff after your opponent starts his attack. Try to remain standing for thirty seconds. You have {reg3} seconds to go.
str_tutorial_3_msg_6|Congratulations, you still stand despite the enemy's best efforts. The time has now come to attack as well as defend. Approach the door and press the F key when you see the word 'Go'.
str_tutorial_3_2_msg_1|Your staff's attacks have been enabled again. Your first opponent is waiting in the next room. Defeat him by a combination of attack and defence.
str_tutorial_3_2_msg_2|Defeat your opponent with your quarterstaff.
str_tutorial_3_2_msg_3|Excellent. Now the only thing standing in your way is one last opponent. He is in the next room. Move in and knock him down.
str_tutorial_3_2_msg_4|Defeat your opponent with your quarterstaff.
str_tutorial_3_2_msg_5|Well done! In this tutorial you have learned how to fight ably without a shield. Train hard and train well, and no one shall be able to lay a stroke on you. In the next tutorial you may learn speeder bike riding and mounted combat. You can press the Tab key at any time to return to the tutorial menu.
str_tutorial_4_msg_1|Welcome to the fourth tutorial. In this sequence you'll learn about riding a speeder bike and how to perform various martial exercises while riding. We'll start by getting you mounted up. Approach the speeder bike, and press the 'F' key when you see the word 'Mount'.
str_tutorial_4_msg_2|While riding, the WASD keys control your speeder bike's movement, not your own. Ride your speeder bike and try to follow the yellow flag around the course. When you reach the flag, it will move to the next waypoint on the course until you reach the finish.
str_tutorial_4_msg_3|Very good. Next we'll cover attacking enemies while riding. Approach the yellow flag now.
str_tutorial_4_msg_4|Draw your sword (using the mouse wheel) and destroy the four targets. Try hitting the dummies as you pass them at full gallop -- this provides an extra challenge, but the additional speed added to your blow will allow you to do more damage. The easiest way of doing this is by pressing and holding the left mouse button until the right moment, releasing it just before you pass the target.
str_tutorial_4_msg_5|Excellent work. Now let us try some target shooting while riding a speeder bike. Go near the yellow flag now.
str_tutorial_4_msg_6|Locate the archery target beside the riding course and shoot it three times with your blaster. Although you are not required to ride while shooting, it's recommended that you try to hit the target at various speeds and angles to get a feel for how your speeder bike's speed and course affects your aim.
str_tutorial_4_msg_7|Congratulations, you have finished this tutorial. You can press the Tab key at any time to return to the tutorial menu.
str_tutorial_5_msg_1|TODO: Follow order to the flag
str_tutorial_5_msg_2|TODO: Move to the flag, keep your units at this position
str_tutorial_5_msg_3|TODO: Move to the flag to get the archers
str_tutorial_5_msg_4|TODO: Move archers to flag1, infantry to flag2
str_tutorial_5_msg_5|TODO: Enemy is charging. Fight!
str_tutorial_5_msg_6|TODO: End of battle.
str_trainer_help_1|Esto es un campo de entrenamiento donde puedes aprender lo básico de Star Wars: Conquest. Utiliza A, S, D, W para moverte por el mapa.
str_trainer_help_2|Para hablar con el entrenador, acércate a él, mírale y presiona la tecla 'F' cuando aparezca el texto 'Hablar' bajo su nombre. Cuando quieras esta o cualquier otra zona, o te quieras retirar de la batalla, símplemente pulsa la tecla TAB. Encima de Bloc Mayus.
str_custom_battle_1|¡Destruye el generador de escudo de Endor!
str_custom_battle_2|Ataca la instalación Imperial!
str_custom_battle_3|¡Sobrevive un Ataque de los Salteadores Tusken!
str_custom_battle_4|¡Ataca al Ejercito Imperial!
str_custom_battle_5|¡Ataca el santuario de Yavin IV!
str_custom_battle_8|¡Asalta la nave Imperial!
str_custom_battle_9|¡Escapa del Laberinto!
str_finished| [Terminado]
str_delivered_damage|Has causado {reg60} de daño.
str_archery_target_hit|Distancia: {reg61} yardas. Puntuación: {reg60}
str_use_baggage_for_inventory|Utiliza tu equipaje para acceder al inventario durante la batalla [se encuentra en la posición de inicio]
str_cant_use_inventory_now|No puedes acceder al inventario ahora.
str_cant_use_inventory_arena|No puedes acceder al inventario en la Arena.
str_cant_use_inventory_disguised|No puedes acceder al inventario mienstras estás disfrazado.
str_cant_use_inventory_tutorial|No se puede acceder al inventario en el Campo de Entrenamiento.
str_1_denar|1 crédito
str_reg1_denars|{reg1} créditos
str_january_reg1_reg2|Elona {reg1}, {reg2} ABY
str_february_reg1_reg2|Kelona {reg1}, {reg2} ABY
str_march_reg1_reg2|Selona {reg1}, {reg2} ABY
str_april_reg1_reg2|Telona {reg1}, {reg2} ABY
str_may_reg1_reg2|Nelona {reg1}, {reg2} ABY
str_june_reg1_reg2|Helona {reg1}, {reg2} ABY
str_july_reg1_reg2|Melona {reg1}, {reg2} ABY
str_august_reg1_reg2|Yelona {reg1}, {reg2} ABY
str_september_reg1_reg2|Relona {reg1}, {reg2} ABY
str_october_reg1_reg2|Welona {reg1}, {reg2} ABY
str_town_nighttime| Es noche cerrada y la gente honesta ya está en la cama.
str_door_locked|La puerta parece cerrada.
str_castle_is_abondened|El planeta parece deshabitado.
str_town_is_abondened|El planeta no tiene a nadie que lo defienda de ataques.
str_place_is_occupied_by_player|El lugar está mantenido por tus propias tropas.
str_place_is_occupied_by_enemy|El lugar está mantenido por tropas enemigas.
str_place_is_occupied_by_friendly|El lugar está mantenido por tropas aliadas.
str_do_you_want_to_retreat|¿Seguro que quieres retirarte?
str_give_up_fight|¿Abandonar la pelea?
str_give_up_training|¿Quieres abandonar el entrenamiento?
str_do_you_wish_to_leave_tutorial|¿Quieres dejar el tutorial?
str_do_you_wish_to_surrender|¿Quieres rendirte?
str_can_not_retreat|La retirada es imposible, ¡Hay enemigos cerca!
str_s1_joined_battle_enemy|{s1} se ha unido a la batalla en el bando enemigo.
str_s1_joined_battle_friend|{s1} se ha unido a la batalla en el bando aliado.
str_entrance_to_town_forbidden|The guards are on the lookout for intruders and it seems that you won't be able to pass through the shields unchallenged.
str_sneaking_to_town_impossible|The guards are alarmed. You wouldn't be able to sneak onto the planet no matter how well you disguised yourself.
str_battle_won|¡Has ganado la batalla!
str_battle_lost|¡Has perdido la batalla!
str_attack_walls_success|After a bloody fight, your brave soldiers manage to take control of the planet from the enemy.
str_attack_walls_failure|Your soldiers fall in waves as they charge the command center, and the few who remain alive soon rout and run away, never to be seen again.
str_attack_walls_continue|A bloody battle ensues and both sides fight with equal valour. Despite the efforts of your troops, the planet remains in enemy hands.
str_order_attack_success|Your men fight bravely and defeat the enemy.
str_order_attack_failure|You watch the battle in despair as the enemy cuts your soldiers down, then easily drives off the few ragged survivors.
str_order_attack_continue|Despite an extended skirmish, your troops were unable to win a decisive victory.
str_join_order_attack_success|Your men fight well alongside your allies, sharing in the glory as your enemies are beaten.
str_join_order_attack_failure|You watch the battle in despair as the enemy cuts your soldiers down, then easily drives off the few ragged survivors.
str_join_order_attack_continue|Despite an extended skirmish, neither your troops nor your allies were able to win a decisive victory over the enemy.
str_siege_defender_order_attack_success|The men of the garrison hold their walls with skill and courage, breaking the enemy assault and skillfully turning the defeat into a full-fledged rout.
str_siege_defender_order_attack_failure|The assault quickly turns into a bloodbath. Valiant efforts are for naught; the overmatched garrison cannot hold the walls, and the enemy puts every last defender to the sword.
str_siege_defender_order_attack_continue|Repeated, bloody attempts on the walls fail to gain any ground, but too many enemies remain for the defenders to claim a true victory. The siege continues.
str_hero_taken_prisoner|{s1} de {s3} ha sido apresado por {s2}.
str_hero_freed|{s1} d {s3} ha sido liberado por {s2}.
str_center_captured|{s2} ha capturado el planeta {s1} de {s3}.
str_troop_relation_increased|Tu relación con {s1} has increased from {reg1} to {reg2}.
str_troop_relation_detoriated|Tu relación con {s1} has deteriorated from {reg1} to {reg2}.
str_faction_relation_increased|Tu relación con {s1} has increased from {reg1} to {reg2}.
str_faction_relation_detoriated|Tu relación con {s1} has deteriorated from {reg1} to {reg2}.
str_party_gained_morale|Tu grupo aumenta su moral [{reg1} puntos]
str_party_lost_morale|Tu grupo pierde {reg1} puntos de moral.
str_qst_follow_spy_noticed_you|¡El espía te ha visto! ¡Está huyendo!
str_father|father
str_husband|husband
str_wife|wife
str_daughter|daughter
str_mother|mother
str_son|hijo
str_brother|brother
str_sister|sister
str_he|Él
str_she|Ella
str_s3s_s2|{s2} de {s3} 
str_s5_is_s51|{s5} es {s51}.
str_s5_is_the_ruler_of_s51|{s5} es gobernante de {s51}. 
str_s5_is_a_nobleman_of_s6|{s5} es comandante de {s6}. 
str_relation_mnus_100|Vengeful
str_relation_mnus_90|Vengeful
str_relation_mnus_80|Vengeful
str_relation_mnus_70|Hateful
str_relation_mnus_60|Hateful
str_relation_mnus_50| Hostile
str_relation_mnus_40|  Angry
str_relation_mnus_30|    Resentful
str_relation_mnus_20|      Grumbling
str_relation_mnus_10|        Suspicious
str_relation_plus_0|         Indifferent
str_relation_plus_10|          Cooperative
str_relation_plus_20|           Welcoming
str_relation_plus_30|            Favorable
str_relation_plus_40|             Supportive
str_relation_plus_50|              Friendly
str_relation_plus_60|               Gracious
str_relation_plus_70|                 Fond
str_relation_plus_80|                  Loyal
str_relation_plus_90|                   Devoted
str_relation_mnus_100_ns|{s60} is vengeful towards you.
str_relation_mnus_90_ns|{s60} is vengeful towards you.
str_relation_mnus_80_ns|{s60} is vengeful towards you.
str_relation_mnus_70_ns|{s60} is hateful towards you.
str_relation_mnus_60_ns|{s60} is hateful towards you.
str_relation_mnus_50_ns|{s60} is hostile towards you.
str_relation_mnus_40_ns|{s60} is angry towards you.
str_relation_mnus_30_ns|{s60} is resentful against you.
str_relation_mnus_20_ns|{s60} is grumbling against you.
str_relation_mnus_10_ns|{s60} is suspicious towards you.
str_relation_plus_0_ns|{s60} is indifferent against you.
str_relation_plus_10_ns|{s60} is cooperative towards you.
str_relation_plus_20_ns|{s60} is welcoming towards you.
str_relation_plus_30_ns|{s60} is favorable to you.
str_relation_plus_40_ns|{s60} is supportive to you.
str_relation_plus_50_ns|{s60} is friendly to you.
str_relation_plus_60_ns|{s60} is gracious to you.
str_relation_plus_70_ns|{s60} is fond of you.
str_relation_plus_80_ns|{s60} is loyal to you.
str_relation_plus_90_ns|{s60} is devoted to you.
str_relation_reg1| Relación: {reg1}
str_center_relation_mnus_100|The populace hates you with a passion
str_center_relation_mnus_90|The populace hates you intensely
str_center_relation_mnus_80|The populace hates you strongly
str_center_relation_mnus_70|The populace hates you
str_center_relation_mnus_60|The populace is hateful to you
str_center_relation_mnus_50|The populace is extremely hostile to you
str_center_relation_mnus_40|The populace is very hostile to you
str_center_relation_mnus_30|The populace is hostile to you
str_center_relation_mnus_20|The populace is against you
str_center_relation_mnus_10|The populace is opposed to you
str_center_relation_plus_0|The populace is indifferent to you
str_center_relation_plus_10|The populace is acceptive to you
str_center_relation_plus_20|The populace is cooperative to you
str_center_relation_plus_30|The populace is somewhat supportive to you
str_center_relation_plus_40|The populace is supportive to you
str_center_relation_plus_50|The populace is very supportive to you
str_center_relation_plus_60|The populace is loyal to you
str_center_relation_plus_70|The populace is highly loyal to you
str_center_relation_plus_80|The populace is devoted to you
str_center_relation_plus_90|The populace is fiercely devoted to you
str_town_prosperity_0|The poverty of the planet of {s60} is unbearable
str_town_prosperity_10|The squalorous planet of {s60} is all but deserted.
str_town_prosperity_20|The planet of {s60} looks a wretched, desolate place.
str_town_prosperity_30|The planet of {s60} looks poor and neglected.
str_town_prosperity_40|The planet of {s60} appears to be struggling.
str_town_prosperity_50|The planet of {s60} seems unremarkable.
str_town_prosperity_60|The planet of {s60} seems to be flourishing.
str_town_prosperity_70|The prosperous planet of {s60} is bustling with activity.
str_town_prosperity_80|The planet of {s60} looks rich and well-maintained.
str_town_prosperity_90|The planet of {s60} is opulent and crowded with well-to-do people.
str_town_prosperity_100|The glittering planet of {s60} openly flaunts its great wealth.
str_village_prosperity_0|The poverty of the planet of {s60} is unbearable.
str_village_prosperity_10|The planet of {s60} looks wretchedly poor and miserable.
str_village_prosperity_20|The planet of {s60} looks very poor and desolate.
str_village_prosperity_30|The planet of {s60} looks poor and neglected.
str_village_prosperity_40|The planet of {s60} appears to be somewhat poor and struggling.
str_village_prosperity_50|The planet of {s60} seems unremarkable.
str_village_prosperity_60|The planet of {s60} seems to be flourishing.
str_village_prosperity_70|The planet of {s60} appears to be thriving.
str_village_prosperity_80|The planet of {s60} looks rich and well-maintained.
str_village_prosperity_90|The planet of {s60} looks very rich and prosperous.
str_village_prosperity_100|The planet of {s60}, looks immensely rich.
str_war_report_minus_4|we are about to lose the war
str_war_report_minus_3|the situation looks bleak
str_war_report_minus_2|things aren't going too well for us
str_war_report_minus_1|we can still win the war if we rally
str_war_report_0|we are evenly matched with the enemy
str_war_report_plus_1|we have a fair chance of winning the war
str_war_report_plus_2|things are going quite well
str_war_report_plus_3|we should have no difficulty defeating them
str_war_report_plus_4|we are about to win the war
str_persuasion_summary_very_bad|You try your best to persuade {s50}, but none of your arguments seem to come out right. Every time you start to make sense, you seem to say something entirely wrong that puts you off track. By the time you finish speaking you've failed to form a single coherent point in your own favour, and you realise that all you've done was dig yourself deeper into a hole. Unsurprisingly, {s50} does not look impressed.
str_persuasion_summary_bad|You try to persuade {s50}, but {reg51?she:he} outmanoeuvres you from the very start. Even your best arguments sound hollow to your own ears. {s50}, likewise, has not formed a very high opinion of what you had to say.
str_persuasion_summary_average|{s50} turns out to be a skilled speaker with a keen mind, and you can't seem to bring forth anything concrete that {reg51?she:he} cannot counter with a rational point. In the end, neither of you manage to gain any ground in this discussion.
str_persuasion_summary_good|Through quick thinking and smooth argumentation, you manage to state your case well, forcing {s50} to concede on several points. However, {reg51?she:he} still expresses doubts about your request.
str_persuasion_summary_very_good|You deliver an impassioned speech that echoes through all listening ears like poetry. The world itself seems to quiet down in order to hear you better . The inspiring words have moved {s50} deeply, and {reg51?she:he} looks much more well-disposed towards helping you.
str_secret_sign_1|The armoire dances at midnight...
str_secret_sign_2|I am selling these fine Khergit tapestries. Would you like to buy some?
str_secret_sign_3|The friend of a friend sent me...
str_secret_sign_4|The wind blows hard from the east and the river runs red...
str_countersign_1|But does he dance for the dresser or the candlestick?
str_countersign_2|Sí I would, do you have any in blue?
str_countersign_3|But, my friend, your friend's friend will never have a friend like me.
str_countersign_4|¿Has estado enfermo?
str_name_1|Leyll
str_name_2|Obran
str_name_3|Kant
str_name_4|Nimm
str_name_5|Zan
str_name_6|Ryssa
str_name_7|Keylara
str_name_8|Draze
str_name_9|Kath
str_name_10|Myri
str_name_11|Harli
str_name_12|Niobe
str_name_13|Miwa
str_name_14|Xyras
str_name_15|Xyras
str_name_16|Moraine
str_name_17|Torent
str_name_18|Mara
str_name_19|Baz
str_name_20|Wyrren
str_name_21|Eskol
str_name_22|Ty
str_name_23|Rosh
str_name_24|Carth
str_name_25|Naz
str_surname_1|{s50} de Mandalore
str_surname_2|{s50} de Byss
str_surname_3|{s50} de Endor
str_surname_4|{s50} de Corellia
str_surname_5|{s50} de Naboo
str_surname_6|{s50} de Kessel
str_surname_7|{s50} de Dantooine
str_surname_8|{s50} de Wayland
str_surname_9|{s50} de Mon Cal
str_surname_10|{s50} de Kashyyk
str_surname_11|{s50} de Hoth
str_surname_12|{s50} de Gamorr
str_surname_13|{s50} de Yavin IV
str_surname_14|{s50} de Tatooine
str_surname_15|{s50} de Reecee
str_surname_16|{s50} de Coruscant
str_surname_17|{s50} de Ryloth
str_surname_18|{s50} de Nal Hutta
str_surname_19|{s50} de Bespin
str_surname_20|{s50} de Dagobah
str_surname_21|{s50} el pastor de Nerfs
str_surname_22|{s50} el Cortacesped
str_surname_23|{s50} el desaliñado
str_surname_24|{s50} el Alimentador de Bantha
str_surname_25|{s50} el Explorador Galáctico
str_surname_26|{s50} Cabezacola
str_surname_27|{s50} the Bishwag
str_surname_28|{s50} Zarpaloca
str_surname_29|{s50} Botanegra
str_surname_30|{s50} el Chatarrero
str_surname_31|{s50} el Espacial
str_surname_32|{s50} el Joven
str_surname_33|{s50} "Cabezacubo
str_surname_34|{s50} Cazabichos
str_surname_35|{s50} el Cortacesped
str_surname_36|{s50} el viejete
str_surname_37|{s50} el Contrabandista
str_surname_38|{s50} the Rimmer
str_surname_39|{s50} el Cabeza Pez
str_surname_40|{s50} el Chaval volador
str_surname_41|{s50} el de Mandaloni
str_surnames_end|surnames end
str_number_of_troops_killed_reg1|Number of troops killed: {reg1}
str_number_of_troops_wounded_reg1|Number of troops wounded: {reg1}
str_number_of_own_troops_killed_reg1|Number of friendly troops killed: {reg1}
str_number_of_own_troops_wounded_reg1|Number of friendly troops wounded: {reg1}
str_retreat|¡Retirada!
str_siege_continues|La lucha continua...
str_casualty_display|Tus bajas: {s10}^Bajas enemigas: {s11}{s12}
str_casualty_display_hp|^Has sido herido con {reg1} puntos de golpe.
str_quest_log_updated|Acabas de actualizar tu diario de misiones...
str_banner_selection_text|You have been awarded the right to carry a banner. Your banner will signify your status and bring you honour. Which banner do you want to choose?
str_retirement_text_1|Only too late do you realise that your money won't last. It doesn't take you long to fritter away what little you bothered to save, and you fare poorly in several desperate attempts to start adventuring again. You end up a beggar in {s9}, living on alms and the charity of the church.
str_retirement_text_2|Only too late do you realise that your money won't last. It doesn't take you long to fritter away what little you bothered to save. Once every denar has evaporated in your hands you are forced to start a life of crime in the backstreets of {s9}, using your skills to eke out a living robbing coppers from women and poor citizens.
str_retirement_text_3|Only too late do you realise that your money won't last. It doesn't take you long to fritter away what little you bothered to save, and you end up a penniless drifter, going from cantina to cantina blagging drinks from indulgent patrons by regaling them with war stories that no one ever believes.
str_retirement_text_4|The silver you've saved doesn't last long, but you manage to put together enough to buy some land near the planet of {s7}. There you become a free farmer, and you soon begin to attract potential {wives/husbands}. In time the villagers come to treat you as their local hero. You always receive a place of honour at feasts, and your exploits are told and retold in the pubs and cantinas so that the children may keep a memory of you for ever and ever.
str_retirement_text_5|The silver you've saved doesn't last long, but it's enough to buy a small cantina in {s9}. Although the locals are wary of you at first, they soon accept you into their midst. In time your growing cantina becomes a popular feasthall and meeting place. People come for miles to eat or stay there due to your sheer renown and the epic stories you tell of your adventuring days.
str_retirement_text_6|You've saved wisely throughout your career, and now your silver and your intelligence allow you to make some excellent investments to cement your future. After buying several shops and warehouses in {s9}, your shrewdness turns you into one of the most prominent merchants on the planet, and you soon become a wealthy {man/woman} known as much for your trading empire as your exploits in battle.
str_retirement_text_7|As a landed noble, however minor, your future is all but assured. You settle in your holdfast at {s7}, administrating the planet, adjudicating the local courts and fulfilling your obligations to your liege lord. Occasionally your liege calls you to muster and command in his campaigns, but these stints are brief, and you never truly return to the adventuring of your younger days. You have already made your fortune. With your own hall and holdings, you've few wants that your personal wealth and the income of your lands cannot afford you.
str_retirement_text_8|There is no question that you've done very well for yourself. Your extensive holdings and adventuring wealth are enough to guarantee you a rich and easy life for the rest of your days. Retiring to your noble seat in {s8}, you exchange adventure for politics, and you soon establish yourself as a considerable power in your liege lord's kingdom. With intrigue to busy yourself with, your own forests to hunt, a hall to feast in and a hundred fine war stories to tell, you have little trouble making the best of the years that follow.
str_retirement_text_9|As a reward for your competent and loyal service, your liege lord decrees that you be given a hereditary title, joining the major nobility of the realm. Soon you complete your investitute as baron of {s7}, and you become one of your liege's close advisors and adjutants. Your renown garners you much subtle pull and influence as well as overt political power. Now you spend your days playing the games of power, administering your great fiefs, and recounting the old times of adventure and glory.
str_retirement_text_10|Though you started from humble beginnings, your liege lord holds you in high esteem, and a ripple of shock passes through the realm when he names you to the hereditary title of {count/countess} of {s9}. Vast fiefs and fortunes are now yours to rule. You quickly become your liege's most trusted advisor, almost his equal and charged with much of the running of his realm, and you sit a throne in your own splendourous palace as one of the most powerful figures in the Galaxy.
str_loot_village|attack innocent villagers
str_steal_from_villagers|steal from poor villagers
str_rob_caravan|rob a merchant caravan
str_sell_slavery|sell people into slavery
str_men_hungry|run out of food
str_men_unpaid|not be able to pay the men
str_excessive_casualties|turn every battle into a bloodbath for our side
str_surrender|surrender to the enemy
str_flee_battle|run from battle
str_pay_bandits|pay off common bandits
str_fail_quest|fail a quest which we undertook on word of honour
str_squander_money|squander money given to us in trust
str_murder_merchant|involve ourselves in cold-blooded murder
str_round_up_serfs|round up serfs on behalf of some noble
str_battle_fate_1|We were separated in the heat of battle
str_battle_fate_2|I was wounded and left for dead
str_battle_fate_3|I was knocked senseless by the enemy
str_battle_fate_4|I was taken and held for ransom
str_battle_fate_5|I got captured, but later managed to escape
str_npc_morale_report|Estoy {s6} con tu elección de compañeros, {s7} en cuanto a como diriges la tropa, y {s8} en como se están desarrloando los acontecimientos.
str_happy|feliz
str_content|contento
str_concerned|medianamente contento
str_not_happy|poco contento
str_miserable|muy descontento
str_morale_reg1| Moral: {reg1}
str_bar_enthusiastic|                   Enthusiastic
