# TRADUCCIÓN DE STAR WARS CONQUEST - ESPAÑOL
# CREADO POR SWYTER, TODOS LOS DERECHOS RESERVADOS.
# CONTACTO: MANDA UN MENSAJE PERSONAL EN FORUMS.TALEWORLDS.COM A "SWYTER"

p_temp_party|temp party
p_castle_12|Avanzada de Reecee
p_castle_13|Avanzada de Byss
p_castle_14|Estación de Combate de Nal Hutta
p_castle_15|Estación de Combate de Dantooine
p_castle_16|Avanzada de Kashyyyk
p_castle_17|Avanzada de Coruscant
p_castle_18|Estación de Combate de Hoth
p_castle_19|Bakura
p_castle_20|Avanzada de Gamorr
p_castle_21|Avanzada de Mandalore
p_castle_22|Estación de Combate de Reecee
p_castle_23|Estación de Combate de Corellia
p_castle_24|Estación de Combate de Geonosis
p_castle_25|Estación de Combate de Mandalore
p_castle_26|Avanzada de Geonosis
p_castle_27|Avanzada de Kessel
p_castle_28|Dathomir
p_castle_29|Avanzada de Hoth
p_castle_30|Estación de Combate de Tatooine
p_castle_31|Estación de Combate de Gamorr
p_castle_32|Avanzada de Ryloth
p_castle_33|Avanzada de Naboo
p_castle_34|Avanzada de Dantooine
p_castle_35|Estación de Combate de Naboo
p_castle_36|Estación de Combate de Coruscant
p_castle_37|Avanzada de Yavin IV
p_castle_38|Avanzada de Nal Hutta
p_castle_39|Avanzada de Mon Cal
p_castle_40|Avanzada de Tatooine
p_village_1|Honoghr
p_village_2|Chandrila
p_village_3|Tholatin
p_village_4|Ilum
p_village_5|Sernpidal
p_village_6|Velmor
p_village_7|Luna de Hoth
p_village_8|Luna de Bespin
p_village_9|Dubrillion
p_village_10|Riflor
p_village_11|Siskeen
p_village_12|Rakata Prime
p_village_13|Myrkr
p_village_14|Ziost
p_village_15|Luna de Corellia
p_village_16|Vargnat
p_village_17|Lannik
p_village_18|Fondor
p_village_19|Luna de Bakura
p_village_20|Luna de Mon Cal
p_village_21|Isde Naha
p_village_22|Duro
p_village_23|Luna de Coruscant
p_village_24|Anoth
p_village_25|Luna de Tatooine
p_village_26|Rori
p_village_27|Bilbringi
p_village_28|Tynna
p_village_29|Luna de Dantooine
p_village_30|Corulag
p_village_31|Togoria
p_village_32|Zhar
p_village_33|Muunulist
p_village_34|Ruuria
p_village_35|Iridonia
p_village_36|Luna de Kessel
p_village_37|Bimmsari
p_village_38|Belkadan
p_village_39|Helska
p_village_40|Saki
p_village_41|Nar Shadda
p_village_42|Luna de Bothawui
p_village_43|Alzoc III
p_village_44|Ruusan
p_village_45|Luna de Dathomir
p_village_46|Yag'Dhul
p_village_47|Selvaris
p_village_48|Sump
p_village_49|Luna de Mustafar
p_village_50|Dosuun
p_village_51|Yaga Minor
p_village_52|Nar Kreeta
p_village_53|Pzob
p_village_54|Barab I
p_village_55|Lamaredd
p_village_56|Ithor
p_village_57|Kuat
p_village_58|Rodia
p_village_59|Bastion
p_village_60|Anobis
p_village_61|Thisspias
p_village_62|Vjun
p_village_63|Drongar
p_village_64|Luna de Kamino
p_village_65|Mimban
p_village_66|Alaris Prime
p_village_67|Wayland
p_village_68|Vulpter
p_village_69|Bimmiel
p_village_70|Luna de Gamorr
p_village_71|Luna de Mandalore
p_village_72|Bogden
p_village_73|Luna de Dagobah
p_village_74|Roon
p_village_75|Almania
p_village_76|Obroa Skai
p_village_77|Ord Mantell
p_village_78|Charros IV
p_village_79|Luna de Reecee
p_village_80|N'Zoth
p_village_81|Brentaal
p_village_82|Garqi
p_village_83|Xal 3
p_village_84|Luna de Byss
p_village_85|Phindar
p_village_86|Vaal
p_village_87|Serenno
p_village_88|Derra IV
p_village_89|Luna de Ryloth
p_village_90|Khomm
p_salt_mine|Salt Mine
p_four_ways_inn|Four Ways Inn
p_test_scene|test scene
p_battlefields|battlefields
p_dhorak_keep|Dhorak Keep
p_training_ground|Academia de Entrenamiento
p_training_ground_1|Academia de Entrenamiento
p_training_ground_2|Academia de Entrenamiento
p_training_ground_3|Academia de Entrenamiento
p_training_ground_4|Academia de Entrenamiento
p_training_ground_5|Academia de Entrenamiento
p_bridge_1|1
p_bridge_2|2
p_bridge_3|3
p_bridge_4|4
p_bridge_5|5
p_bridge_6|6
p_bridge_7|7
p_bridge_8|8
p_bridge_9|9
p_bridge_10|10
p_bridge_11|11
p_bridge_12|12
p_bridge_13|13
p_bridge_14|14
p_bridge_15|15
p_debris_1|1
p_debris_2|1
p_debris_3|1
p_debris_4|1
p_debris_5|1
p_debris_6|1
p_debris_7|1
p_debris_8|1
p_debris_9|1
p_debris_10|1
p_looter_spawn_point|looter sp
p_steppe_bandit_spawn_point|steppe bandit sp
p_steppe_bandit_spawn_point_2|steppe bandit sp
p_steppe_bandit_spawn_point_3|steppe bandit sp
p_forest_bandit_spawn_point|forest bandit sp
p_forest_bandit_spawn_point_2|forest bandit sp
p_forest_bandit_spawn_point_3|forest bandit sp
p_mountain_bandit_spawn_point|mountain bandit sp
p_mountain_bandit_spawn_point_2|mountain bandit sp
p_mountain_bandit_spawn_point_3|mountain bandit sp
p_sea_raider_spawn_point_1|sea raider sp
p_sea_raider_spawn_point_2|sea raider sp
p_sea_raider_spawn_point_3|sea raider sp
p_spawn_points_end|last spawn point
p_spaceship_tie_fighter|Spaceship Array
p_spaceship_imperial_shuttle|Spaceship Array
p_spaceship_imperial_trade_frigate|Spaceship Array
p_spaceship_imperial_dreadnaught_frigate|Spaceship Array
p_spaceship_imperial_victory_c2_frigate|Spaceship Array
p_spaceship_imperial_star_destroyer|Spaceship Array
p_spaceship_imperial_star_destroyer_interdictor|Spaceship Array
p_spaceship_a_wing|Spaceship Array
p_spaceship_y_wing|Spaceship Array
p_spaceship_moncal_cruiser|Spaceship Array
p_spaceship_rebel_transport|Spaceship Array
p_spaceship_corellian_gunship|Spaceship Array
p_spaceship_hutt_patrol|Spaceship Array
p_spaceship_hutt_trade|Spaceship Array
p_spaceship_hutt_frigate_mk1|Spaceship Array
p_spaceship_hutt_frigate_mk2|Spaceship Array
p_spaceship_hutt_cruiser|Spaceship Array
p_spaceship_z95|Spaceship Array
p_spaceship_scyk_fighter|Spaceship Array
p_spaceship_civilian_transport|Spaceship Array
p_spaceship_civilian_cruiser|Spaceship Array
p_spaceship_mercenary_shuttle|Spaceship Array
p_spaceship_mercenary_fighter|Spaceship Array
p_spaceship_mercenary_raider|Spaceship Array
p_spaceship_freighter|Spaceship Array
p_spaceship_bulk_freighter|Spaceship Array
p_spaceship_cis_star_cruiser|Spaceship Array
p_spaceship_end|Spaceship Array
