# TRADUCCIÓN DE STAR WARS CONQUEST - ESPAÑOL
# CREADO POR SWYTER, TODOS LOS DERECHOS RESERVADOS.
# CONTACTO: MANDA UN MENSAJE PERSONAL EN FORUMS.TALEWORLDS.COM A "SWYTER"

skl_trade|Comerciar
skl_power_strike_desc|Cada punto de esta habilidad incrementa el daño cuerpo a cuerpo en un 8%%. (Habilidad personal)
skl_ironflesh|Piel de hierro
skl_ironflesh_desc|Cada punto de esta habilidad incrementa los puntos de daño en +2. (Habilidad personal)
skl_reserved_14|Habilidad reservada 14
skl_reserved_14_desc|Ésta es una habilidad reservada.
skl_reserved_15|Habilidad reservada 15
skl_reserved_15_desc|Ésta es una habilidad reservada.
skl_reserved_16|Habilidad reservada 16
skl_reserved_16_desc|Ésta es una habilidad reservada.
skl_reserved_17|Habilidad reservada 17
skl_reserved_17_desc|Ésta es una habilidad reservada.
skl_reserved_18|Habilidad reservada 18
skl_reserved_18_desc|Ésta es una habilidad reservada.
