dlga_start:member_talk|¿Sí?
dlga_ramun_introduce_12:close_window|Do think about it! There's a lot of credits to be made, no mistake. More than enough for the both of us.
dlga_start:ramun_talk|Hello, {playername}.
dlga_ramun_pre_talk:ramun_talk|Anything else?
dlga_ramun_talk:ramun_sell_prisoners|I've brought you some prisoners, Ramun. Would you like a look?
dlga_ramun_sell_prisoners:ramun_sell_prisoners_2|Let me see what you have...
dlga_ramun_sell_prisoners_2:close_window|A pleasure doing business with you.
dlga_ramun_talk:ramun_ask_about_capturing|How do I take somebody as prisoner?
dlga_ramun_talk:ramun_ask_about_capturing.1|Can you tell me again about capturing prisoners?
dlga_ramun_ask_about_capturing:ramun_have_blunt_weapon|You're new to this, aren't you? Let me explain it in simple terms. The basic rule of taking someone prisoner is knocking him down with a blunt weapon, like a club, or shooting them with a stun blaster rather than cutting him open with a lightsaber, or blowing his head off. That way he goes to sleep for a little while rather than bleeding to death, you see? I'm assuming you have a blunt weapon or stun blaster with you . . .
dlga_ramun_have_blunt_weapon:ramun_have_blunt_weapon_yes|Of course.
dlga_ramun_have_blunt_weapon:ramun_have_blunt_weapon_no|As a matter of fact, I don't.
dlga_ramun_have_blunt_weapon_yes:ramun_ask_about_capturing_2|Good. Then all you need to do is beat the bugger down with your weapon, or shoot him with it, and when the fighting's over you clap him in irons. It's a bit different for officers and such, they tend to be protected enough that it won't matter what kind of weapon you use, but your average rabble-rouser will bleed like a stuck pig if you get him with something sharp. I don't have many requirements in my merchandise, but I do insist they be breathing when I buy them.
dlga_ramun_have_blunt_weapon_no:ramun_have_blunt_weapon_no_2|No? Heh, well, this must be your lucky day. I've got an old club lying around that I was going to throw away. It a bit battered, but still good enough bash someone until he stops moving. Here, have it.
dlga_ramun_have_blunt_weapon_no_2:ramun_have_blunt_weapon_yes|Thanks, Ramun. Perhaps I may try my hand at it.
dlga_ramun_ask_about_capturing:ramun_ask_about_capturing_2|Alright, I'll try and expain it again in simple terms. The basic rule of taking someone prisoner is knocking him down with a blunt weapon, like a club, or shooting him with a stun blaster rather than cutting him open with a lightsaber, or blowing his head off. That way he goes to sleep for a little while rather than bleeding to death, you see? It's a bit different for officers and such, they tend to be protected enough that it won't matter what kind of weapon you use, but your average rabble-rouser will bleed like a stuck pig if you get him with something sharp.
dlga_ramun_ask_about_capturing_2:ramun_ask_about_capturing_3|Alright, I think I understand. Anything else?
dlga_ramun_ask_about_capturing_3:ramun_ask_about_capturing_4|Well, it's not as simple as all that. Blunt weapons don't do as much damage as a lightsaber or a vibro-weapon, so they won't bring your enemies down as quickly. And trust me, given the chance, most of the scum you run across would just as soon kill you as look at you, so don't expect any courtesy when you pull out a club instead of a vibro-weapon. Moreover, having to drag prisoners to and fro will slow down your party, which is why some people simply set their prisoners free after the fighting's done. It's madness. How could anyone turn down all those credits, eh?
dlga_ramun_ask_about_capturing_4:ramun_ask_about_capturing_5|Is that everything?
dlga_ramun_ask_about_capturing_5:ramun_ask_about_capturing_7|Just one final thing. Managing prisoners safely is not an easy thing to do, you could call it a skill in itself. If you want to capture a lot of prisoners, you should try and learn the tricks of it yourself, or you won't be able to hang on to a single man you catch.
dlga_ramun_ask_about_capturing_7:ramun_pre_talk|Thanks, I'll keep it in mind.
dlga_ramun_talk:ramun_leave|I'd better be going.
dlga_ramun_leave:close_window|Remember, any prisoners you've got, bring them to me. I'll pay you good credits for every one.
dlga_start:manhunter_talk_b|Hey, you there! You seen any smugglers around here?
dlga_manhunter_talk_b:manhunter_talk_b1|Yes, they went this way about an hour ago.
dlga_manhunter_talk_b1:close_window|I knew it! Come on, lads, lets go get these bastards! Thanks a lot, friend.
dlga_manhunter_talk_b:manhunter_talk_b2|No, haven't seen any outlaws lately.
dlga_manhunter_talk_b2:close_window|Bah. They're holed up in this sector like rats, but we'll smoke them out yet. Sooner or later.
dlga_start:looters_1|Warning: This line should never be displayed.
dlga_looters_1:looters_2|{s4}
dlga_looters_2:close_window|I'm not afraid of you lot. Fight me if you dare!
dlga_looters_2:close_window.1|You'll have nothing of mine but a blaster bolt through the eyes, scum.
dlga_start:village_farmer_talk| My {lord/lady}, we're only poor farmers from the planet of {s11}. {reg1?We are taking our products to the market at {s12}.:We are returning from the market at {s12} back to our planet.}
dlga_village_farmer_talk:close_window|We'll see how poor you are after I take what you've got!
dlga_village_farmer_talk:close_window.1|Carry on, then. Farewell.
dlga_start:patrol_1|Halt! You are flying through restricted space. We're placing you under arrest
dlga_patrol_1:close_window|Ha! You don't scare me. Arrest this!
dlga_start:patrol_2|We are patrolling this sector for enemies. State your business
dlga_patrol_2:close_window|My business is to see you dead. Nothing personal, you see.
dlga_patrol_2:close_window.1|Just passing through. Carry on!
dlga_start:independent_trader_1|Hello traveller. Are you interested in our goods, or would you perhaps like to offload some prisoners?
dlga_independent_trader_1:independent_trader_intro_1|Who are you?
dlga_independent_trader_1:independent_trader_prisoner_1|I'd like to sell you some of my prisoners
dlga_independent_trader_prisoner_1:close_window|Pleasure doing business and safe travels!
dlga_independent_trader_1:close_window|Good luck in your travels
dlga_independent_trader_intro_1:independent_trader_intro_1|We are a convoy of Independent Traders alligned with the Trade Federation. We mostly trade in prisoners and robots and travel around the galaxy to pick up merchandise to transport to our home base.
dlga_independent_trader_intro_1:independent_trader_intro_2|Can you tell me more about the Trade Federation?
dlga_independent_trader_intro_2:independent_trader_1|Of course. The Trade Federation is an alliance of independent traders and companies who wish to remain neutral, so they will trade with any faction. We have several bases around the galaxy with shipyards, slave markets and a banking system that will allow you to keep your credits safe.
dlga_independent_trader_intro_1:close_window|Pretty soon, your head will be independent from your body. Die!
dlga_independent_trader_intro_1:independent_trader_1|Thank you, now about those other things...
dlga_member_question_2:duel_accept|I would like to challenge you to a friendly duel.
dlga_regular_member_talk:duel_accept|Let's have a practice duel.
dlga_lord_talk_ask_something_2:lord_question_duel|I would like to challenge you to a friendly duel.
dlga_lord_talk_ask_something_2:king_decline_duel|I would like to challenge you to a friendly duel.
dlga_king_decline_duel:lord_talk_ask_something_2|It would hardly be fitting for somebody like me to duel a mere soldier like yourself. Perhaps after you have distinguished yourself we can duel on friendly terms.
dlga_lord_talk_ask_something_2:lord_decline_duel|I would like to challenge you to a friendly duel.
dlga_lord_decline_duel:lord_talk_ask_something_2|It would hardly be fitting for somebody like me to duel a mere soldier like yourself. Perhaps after you have distinguished yourself we can duel on friendly terms.
dlga_lord_question_duel:duel_accept|{s1}
dlga_duel_accept:duel_choose_mount|{s3}
dlga_duel_choose_mount:duel_weap_mounted|I would like to duel mounted
dlga_duel_choose_mount:duel_weap_choose|I would like to duel on foot
dlga_duel_choose_mount:duel_weap_choose.1|Very well.
dlga_duel_choose_mount:close_window|Forget about it.
dlga_duel_weap_mounted:duel_weap_mounted|What kind of weapons would you like to fight with?
dlga_duel_weap_mounted:duel_start|We should use our own weapons.
dlga_duel_weap_mounted:duel_start.1|Let us fight with a vibrosword and energy shield.
dlga_duel_weap_mounted:duel_start.2|We should fight with two-handed weapons.
dlga_duel_weap_mounted:duel_start.3|A duel with mandalorian armor and ranged weapons would be my choice.
dlga_duel_weap_mounted:duel_accept|What was your previous question again?.
dlga_duel_weap_choose:duel_weap_choose|What kind of weapons would you like to fight with?
dlga_duel_weap_choose:duel_start|We should use our own weapons.
dlga_duel_weap_choose:duel_start.1|Let us fight with a vibrosword and energy shield.
dlga_duel_weap_choose:duel_start.2|We should fight with two-handed weapons.
dlga_duel_weap_choose:duel_start.3|A duel with mandalorian armor and ranged weapons would be my choice.
dlga_duel_weap_choose:duel_accept|What was your previous question again?.
dlga_duel_start:duel_start|Very well {playername}. ^^We will be duelling on {s4}, using {s5}.^^If this is all right, I will meet you down at the arena as soon as you finish preparing.^^NOTE:  You must press the TAB key to exit the current scene and enter the duel menu.
dlga_duel_start:close_window|That sound great. I'll meet you down there.
dlga_duel_start:duel_accept|No, you've got it all wrong, let's try again.
dlga_start:member_castellan_talk|Yes, {playername}? What can I do for you?
dlga_member_castellan_pretalk:member_castellan_talk|Anything else?
dlga_member_castellan_talk:member_review_castle_garrison|I want to review the garrison.
dlga_member_review_castle_garrison:member_castellan_pretalk|Of course. Here are our lists, let me know of any changes you require...
dlga_member_castellan_talk:member_review_castellan_equipment|Let me see your equipment.
dlga_member_review_castellan_equipment:member_castellan_pretalk|Very well, it's all here...
dlga_member_castellan_talk:member_castellan_join|I want you to abandon the garrison and join my party.
dlga_member_castellan_join:close_window|I've grown quite fond of the place... But if it is your wish, {playername}, I'll come with you.
dlga_member_castellan_join:member_castellan_pretalk|And where would we sleep? You're dragging a whole army with you, {playername}, there's no more room for all of us.
dlga_member_castellan_talk:close_window|[Leave]
dlga_start:member_wilderness_talk|Do you want me to rejoin you?
dlga_start:member_inn_talk|Do you want me to rejoin you?
dlga_member_chat:kidnapped_girl_chat_1|Are we home yet?
dlga_kidnapped_girl_chat_1:kidnapped_girl_chat_2|Not yet.
dlga_kidnapped_girl_chat_2:close_window|I can't wait to get back. I've missed my family so much, I'd give anything to see them again.
dlga_member_chat:member_lady_1|{playername}, when do you think we can reach our destination?
dlga_member_lady_1:member_lady_2a|We still have a long way ahead of us.
dlga_member_lady_1:member_lady_2b|Very soon. We're almost there.
dlga_member_lady_2a:close_window|Ah, I am going to enjoy the route for a while longer then. I won't complain. I find flying out in the open so much more pleasant than sitting on the planet all day. You know, I envy you. You can live like this all the time.
dlga_member_lady_2b:close_window|That's good news. Not that I don't like your company, but I did miss my little luxuries. Still I am sorry that I'll leave you soon. You must promise me, you'll come visit me when you can.
dlga_member_chat:supported_pretender_talk|Greetings, {playername}, my first and foremost officer. I await your counsel.
dlga_supported_pretender_pretalk:supported_pretender_talk|Anything else?
dlga_supported_pretender_talk:pretender_progress|What do you think about our progress so far?
dlga_pretender_progress:pretender_progress_2|{reg11?We have {reg11} offciers on our side:We have no lord with us yet}, whereas {reg21?{s9} still has {reg21} offciers supporting them:{s9} has no loyal officers left}. {reg19?We control {reg13?{reg13} planets:} {reg14?{reg14} outposts:} {reg15?and {reg15} lesser planets:}:We don't control any outposts or planets}, while {reg29?they have {reg23?{reg23} planets:} {reg24?{reg24} outposts:} {reg25?and {reg25} lesser planets:}:they have no remaining planets}. Overall, {s30}.
dlga_pretender_progress_2:supported_pretender_pretalk|Then, we must keep fighting and rally our supporters!
dlga_pretender_progress_2:pretender_quit_rebel_confirm|It seems this rebellion is not going anywhere. We must give up.
dlga_pretender_quit_rebel_confirm:pretender_quit_rebel_confirm_2|{playername}, you can't abandon me now. Are you serious?
dlga_pretender_quit_rebel_confirm_2:pretender_quit_rebel_confirm_3|Indeed, I am. I can't support you any longer.
dlga_pretender_quit_rebel_confirm_2:supported_pretender_pretalk|I was jesting. I will fight for you until we succeed.
dlga_pretender_quit_rebel_confirm_3:pretender_quit_rebel_confirm_4|Are you absolutely sure? I will never forgive you if you abandon my cause.
dlga_pretender_quit_rebel_confirm_4:pretender_quit_rebel|I am sure.
dlga_pretender_quit_rebel_confirm_4:supported_pretender_pretalk|Let me think about this some more.
dlga_pretender_quit_rebel:close_window|So be it. Then my cause is lost. There is only one thing to do for me now. I will go from the Galaxy and never come back.
dlga_supported_pretender_talk:supported_pretender_equip|{reg65?My lady:Sir}, would you allow me to check out your equipment?
dlga_supported_pretender_equip:supported_pretender_pretalk|Very well, it's all here...
dlga_supported_pretender_talk:pretneder_view_char_requested|If it would please you, can you tell me about your skills?
dlga_pretneder_view_char_requested:supported_pretender_pretalk|Well, all right.
dlga_supported_pretender_talk:close_window|Let us keep going, {reg65?my lady:sir}.
dlga_do_member_trade:member_talk|Anything else?
dlga_member_chat:member_talk|Yes, {s5}?
dlga_member_talk:member_trade|Let me see your equipment.
dlga_member_trade:do_member_trade|Very well, it's all here...
dlga_member_talk:view_member_char_requested|What can you tell me about your skills?
dlga_view_member_char_requested:do_member_view_char|All right, let me tell you...
dlga_member_talk:member_separate|We need to separate for a while.
dlga_member_separate:member_separate_confirm|Oh really? Well, I'm not just going to wait around here. I'm going to go to the planets to look for other work. Is that what you want?
dlga_member_separate:companion_quitting|Well, actually, there was something I needed to tell you.
dlga_member_separate_confirm:member_separate_yes|That's right. We need to part ways.
dlga_member_separate_confirm:do_member_trade|No, I'd rather have you at my side.
dlga_member_separate_yes:close_window|Well. I'll be off, then. Look me up if you need me.
dlga_member_talk:member_question|I'd like to ask you something.
dlga_member_talk:member_automanage_report|I'd like to talk to you about how you manage your equipment.
dlga_member_automanage_report:member_automanage_change|I'm currently {s1} and {s4}. {s2}
dlga_member_automanage_change:member_automanage_clear_armor|Stop buying new armour.
dlga_member_automanage_clear_armor:member_automanage_report|All right. I won't acquire any armour on my own until you tell me otherwise.
dlga_member_automanage_change:member_automanage_set_armor|Start upgrading your armour on your own.
dlga_member_automanage_set_armor:member_automanage_report|All right. I will upgrade my armor whenever I can.
dlga_member_automanage_change:member_automanage_select_melee_1|Let's talk about how you upgrade your weapons.
dlga_member_automanage_select_melee_1:member_automanage_select_melee|{s2}^What would you like to change?
dlga_member_automanage_select_melee:member_automanage_select_melee_2|Upgrade your weapons as follows....
dlga_member_automanage_select_melee_2:member_automanage_select_melee_slot|My current weapon upgrade settings are: {s0}^^{s2}
dlga_member_automanage_select_melee_slot:member_automanage_select_melee_2|{s1}
dlga_member_automanage_select_melee_slot:member_automanage_report|Yes.
dlga_member_automanage_select_melee_slot:member_automanage_select_melee_2.1|No, let me select again.
dlga_member_automanage_select_melee:member_automanage_report|Nevermind.
dlga_member_automanage_change:member_automanage_clear_horses|Stop acquiring new transportation.
dlga_member_automanage_clear_horses:member_automanage_report|All right. I won't acquire any transportation on my own until you tell me otherwise.
dlga_member_automanage_change:member_automanage_set_horses|Start upgrading your transportation on your own.
dlga_member_automanage_set_horses:member_automanage_report|All right. I will now upgrade to better transportation whenever I can.
dlga_member_automanage_change:member_automanage_set_all_get_confirm|Make all party members upgrade as you do now.
dlga_member_automanage_set_all_get_confirm:member_automanage_set_all_confirm|Are you sure you want everyone to upgrade as I do?
dlga_member_automanage_set_all_confirm:member_automanage_set_all|Yes, do it.
dlga_member_automanage_set_all_confirm:member_automanage_report|No, I changed my mind.
dlga_member_automanage_set_all:member_automanage_report|All right. I will order everyone to upgrade as I do.
dlga_member_automanage_change:do_member_view_char|I'm done, let's talk about something else.
dlga_member_talk:close_window|Never mind.
dlga_member_question:member_question_2|Very well. What did you want to ask?
dlga_member_question_2:member_morale|How do you feel about the way things are going in this company?
dlga_member_question_2:member_background_recap|Tell me your story again.
dlga_member_question_2:member_question_2_blackjack_1|Do you want to play Pazaak?
dlga_member_question_2:do_member_trade|I want to ask you something else.
dlga_member_question_2_blackjack_1:member_question_2_blackjack_2|Sure. Are you ready to play or should I review the rules?
dlga_member_question_2_blackjack_2:member_question_2_blackjack_3|Start playing.
dlga_member_question_2_blackjack_3:close_window|Ok.^^You will have to click 'Done' to close the Party window before the game can begin.
dlga_member_question_2_blackjack_3:member_question_2_blackjack_1|You don't have enough money.
dlga_member_question_2_blackjack_2:member_question_2_blackjack_4|Discuss the rules.
dlga_member_question_2_blackjack_4:member_question_2_blackjack_1|Pazaak is played with the same rules as Blackjack. The player closest to 21, without going over, wins.
dlga_member_question_2_blackjack_2:member_question|Never mind.
dlga_member_morale:do_member_trade|{s21}
dlga_member_background_recap:member_background_recap_2|{s5}
dlga_member_background_recap_2:member_background_recap_3|{s5}
dlga_member_background_recap_3:do_member_trade|Then shortly after, I joined up with you.
dlga_do_member_view_char:member_talk|Anything else?
dlga_start:close_window.2|Let's leave whenever you are ready.
dlga_start:close_window.3|Please do not waste any more of my time today, {sir/madame}. Perhaps we shall meet again in our travels.
dlga_start:companion_recruit_intro_response|{s5}
dlga_companion_recruit_intro_response:companion_recruit_backstory_a|{s6}
dlga_companion_recruit_intro_response:close_window|{s7}
dlga_companion_recruit_backstory_a:companion_recruit_backstory_b|{s5}
dlga_companion_recruit_backstory_b:companion_recruit_backstory_c|{s5}
dlga_companion_recruit_backstory_c:companion_recruit_backstory_response|{s5}
dlga_companion_recruit_backstory_response:companion_recruit_signup|{s6}
dlga_companion_recruit_backstory_response:close_window|{s7}
dlga_companion_recruit_signup:companion_recruit_signup_b|{s5}
dlga_companion_recruit_signup_b:companion_recruit_signup_response|{s5}
dlga_companion_recruit_signup_response:close_window|Unfortunately, I can't take on any more hands in my party right now.
dlga_companion_recruit_signup_response:companion_recruit_payment|{s6}
dlga_companion_recruit_signup_response:close_window.1|{s7}
dlga_companion_recruit_payment:companion_recruit_signup_confirm|.
dlga_companion_recruit_payment:companion_recruit_payment_response|{s5}
dlga_companion_recruit_payment_response:companion_recruit_signup_confirm|{s6}
dlga_companion_recruit_payment_response:close_window|Sorry. I can't afford that at the moment.
dlga_start:companion_recruit_meet_again|We meet again.
dlga_companion_recruit_meet_again:companion_recruit_backstory_delayed|So... What have you been doing since our last encounter?
dlga_companion_recruit_meet_again:close_window|Good day to you.
dlga_start:companion_recruit_secondchance|Yes?
dlga_companion_recruit_secondchance:companion_recruit_backstory_b|My apologies if I was rude, earlier. What was your story again?
dlga_companion_recruit_secondchance:close_window|Never mind.
dlga_companion_recruit_backstory_delayed:companion_recruit_backstory_delayed_response|{s5}
dlga_companion_recruit_backstory_delayed_response:companion_recruit_signup_b|I might be able to use you in my company.
dlga_companion_recruit_backstory_delayed_response:close_window|I'll let you know if I hear of anything.
dlga_companion_recruit_signup_confirm:close_window|Good! Give me a few moments to prepare and I'll be ready to move.
dlga_start:companion_rehire|My offer to rejoin you still stands, if you'll have me.
dlga_start:companion_rehire.1|It is good to see you alive, {s5}! {s6}, and I did not know whether you had been captured, or killed, or got away. I've been roaming around since then, looking for you. Shall I get my gear together and rejoin your company?
dlga_start:companion_rehire.2|{s5}
dlga_start:companion_was_dismissed|It is good to see you, {s21}! To tell you the truth, I had hoped to run into you.
dlga_companion_was_dismissed:companion_rehire|{s5}. Would you want me to rejoin your company?
dlga_companion_rehire:companion_recruit_signup_confirm|Welcome back, my friend!
dlga_companion_rehire:companion_rehire_refused|Sorry, I can't take on anyone else right now now.
dlga_companion_rehire_refused:close_window|Well... Look me up if you change your mind, eh?
dlga_event_triggered:center_captured_lord_advice|{s1} is not being managed by anyone. Whom shall I put in charge?
dlga_center_captured_lord_advice:center_captured_lord_advice_2|{s11}. {s1}
dlga_center_captured_lord_advice:center_captured_lord_advice_2.1|Please {s65}, I want to have {s1} for myself. (territories: {s0})
dlga_center_captured_lord_advice:center_captured_lord_advice_2.2|{s66}, you should have {s1} for yourself. (territories: {s0})
dlga_center_captured_lord_advice_2:close_window|Hmmm. All right, {playername}. I value your counsel highly. {reg6?I:{reg7?You:{s11}}} will be the new {reg3?lady:officer} of {s1}.
dlga_event_triggered:companion_quitting|{s5} -- there is something I need to tell you.
dlga_companion_quitting:companion_quitting_2|{s5}
dlga_companion_quitting_2:companion_quitting_response|To tell you the truth, {s21}
dlga_companion_quitting_response:companion_quitting_yes|Very well. You be off, then.
dlga_companion_quitting_response:companion_quitting_persuasion|Perhaps I can persuade you to change your mind.
dlga_companion_quitting_persuasion:close_window|Hm. When you put it like that, I suppose I can stay a while longer, see if things improve.
dlga_companion_quitting_persuasion:companion_quitting_response|I'm sorry, but I don't see your point. I am leaving whether you like it or not.
dlga_companion_quitting_response:companion_quitting_no|We hang deserters in this company.
dlga_companion_quitting_no:companion_quitting_no_confirm|Oh... Right... Do you mean that?
dlga_companion_quitting_no_confirm:companion_quitting_no_confirmed|Absolutely. You either leave this company by my command, or are carried out on your shield.
dlga_companion_quitting_no_confirm:companion_quitting_yes|No, actually I don't mean that. You are free to leave.
dlga_companion_quitting_yes:close_window|Then this is goodbye. Perhaps I'll see you around, {playername}.
dlga_companion_quitting_no_confirmed:close_window|Hm. I suppose I'm staying, then.
dlga_event_triggered:companion_objection_response|{s5}
dlga_companion_objection_response:close_window|Thanks, I appreciate your support.
dlga_companion_objection_response:close_window.1|Hopefully it won't happen again.
dlga_companion_objection_response:close_window.2|Your objection is noted. Now fall back in line.
dlga_event_triggered:companion_personalityclash2_b|{s5}
dlga_companion_personalityclash2_b:companion_personalityclash2_response|{s5}
dlga_companion_personalityclash2_response:close_window|{s11} is a valuable member of this company. I don't want you picking any more fights with {reg11?her:him}.
dlga_companion_personalityclash2_response:close_window.1|Tell {s11} you have my support in this, and {reg11?she:he} should hold {reg11?her:his} tongue.
dlga_companion_personalityclash2_response:close_window.2|I don't have time for your petty dispute. Do not bother me with this again.
dlga_event_triggered:companion_personalityclash_b|{s5}
dlga_companion_personalityclash_b:companion_personalityclash_response|{s5}
dlga_companion_personalityclash_response:close_window|{s11} is a capable member of this company. I don't want you picking any more fights with {reg11?her:him}.
dlga_companion_personalityclash_response:close_window.1|Tell {s11} you have my support in this, and {reg11?she:he} should hold {reg11?her:his} tongue.
dlga_companion_personalityclash_response:close_window.2|I don't have time for your petty dispute. Do not bother me with this again.
dlga_event_triggered:companion_personalitymatch_b|{s5}
dlga_companion_personalitymatch_b:companion_personalitymatch_response|{s5}
dlga_companion_personalitymatch_response:close_window|Very good.
dlga_event_triggered:companion_home_description|{s5}
dlga_companion_home_description:companion_home_description_2|Tell me more.
dlga_companion_home_description:close_window|We don't have time to chat just now.
dlga_companion_home_description:close_window.1|I prefer my companions not to bother me with such trivialities.
dlga_companion_home_description_2:companion_home_description_3|{s5}
dlga_companion_home_description_3:close_window|{s5}
dlga_event_triggered:rebel_thanks_answer|{s6}
dlga_rebel_thanks_answer:rebel_thanks_answer_2|It was an honour to fight for your cause, {reg65?madame:my lord}.
dlga_rebel_thanks_answer:rebel_thanks_answer_2.1|You will always have my loyal support, {reg65?my lady:sir}.
dlga_rebel_thanks_answer_2:close_window|I will miss living this life of adventure with you, but my duties await me. So... farewell for now, {playername}. I hope I'll see you again soon.
dlga_event_triggered:close_window.1|Sorry -- just talking to myself [ERROR]
dlga_start:player_siege_castle_commander_1|What do you want?
dlga_player_siege_castle_commander_1:player_siege_ask_surrender|Surrender! Your situation is hopeless!
dlga_player_siege_castle_commander_1:close_window|Nothing. I'll leave you now.
dlga_player_siege_ask_surrender:player_siege_ask_surrender_treatment|Perhaps... Do you give your word of honour that we'll be treated well?
dlga_player_siege_ask_surrender:player_siege_ask_leave_unmolested|We are ready to leave this castle to you and march away if you give me your word of honour that you'll let us leave unmolested.
dlga_player_siege_ask_surrender:close_window|Surrender? Hah! We can hold these walls until we all die of old age.
dlga_player_siege_ask_surrender_treatment:player_siege_ask_surrender_treatment_reject|I give you nothing. Surrender now or prepare to die!
dlga_player_siege_ask_surrender_treatment_reject:close_window|Bastard. We will fight you to the last man!
dlga_player_siege_ask_surrender_treatment:player_siege_ask_surrender_treatment_accept|You will be ransomed and your soldiers will live. I give you my word.
dlga_player_siege_ask_surrender_treatment_accept:close_window|Very well then. Under those terms, I offer you my surrender.
dlga_player_siege_ask_leave_unmolested:player_siege_ask_leave_unmolested_accept|You have my word. You will not come under attack if you leave the castle.
dlga_player_siege_ask_leave_unmolested_accept:close_window|Very well. Then we leave this castle to you. You have won this day. But we'll meet again.
dlga_player_siege_ask_leave_unmolested:player_siege_ask_leave_unmolested_reject|Unacceptable. I want prisoners.
dlga_player_siege_ask_leave_unmolested_reject:close_window|Then we will defend this castle to the death, and this parley is done. Farewell.
dlga_start:freed_lord_answer|I am in your debt for freeing me, friend.
dlga_freed_lord_answer:freed_lord_answer_1|You're not going anywhere, 'friend'. You're my prisoner now.
dlga_freed_lord_answer_1:close_window|I'll have your head on a pike for this, you bastard! Someday!
dlga_freed_lord_answer:freed_lord_answer_2|You are free to go wherever you want, sir.
dlga_freed_lord_answer_2:close_window|Thank you, good {sire/lady}. I never forget someone who's done me a good turn.
dlga_start:defeat_lord_answer|{s43}
dlga_defeat_lord_answer:defeat_lord_answer_1|You are my prisoner now.
dlga_defeat_lord_answer_1:close_window|I am at your mercy.
dlga_defeat_lord_answer:defeat_lord_answer_2|You have fought well. You are free to go.
dlga_defeat_lord_answer_2:close_window|{s43}
dlga_start:party_encounter_lord_hostile_attacker|{playername}!
dlga_start:party_encounter_lord_hostile_attacker.1|Halt!
dlga_party_encounter_lord_hostile_attacker:party_encounter_lord_hostile_attacker|{s42}
dlga_party_encounter_lord_hostile_attacker:party_encounter_lord_hostile_attacker_2|{s43}
dlga_party_encounter_lord_hostile_attacker_2:party_encounter_offer_dont_fight|Is there no way to avoid this battle? I don't want to fight with you.
dlga_party_encounter_lord_hostile_attacker_2:close_window|Don't attack! We surrender.
dlga_party_encounter_lord_hostile_attacker_2:close_window.1|We will fight you to the end!
dlga_party_encounter_offer_dont_fight:close_window|I owe you a favor, don't I. Well... all right then. I will let you go just this once.
dlga_party_encounter_offer_dont_fight:close_window.1|Ha-ha. But I want to fight with you.
dlga_start:pretender_start|[Our first task is to seize a fortress. Then other lords will join us.]
dlga_start:supported_pretender_talk|I await your counsel, {playername}.
dlga_start:pretender_intro_1|Do I know you?.
dlga_pretender_intro_1:pretender_intro_2|My name is {playername}. At your sevice.
dlga_pretender_intro_1:pretender_intro_2.1|I am {playername}. Perhaps you have heard of my exploits.
dlga_pretender_intro_2:pretender_intro_3|{s48}
dlga_pretender_intro_3:pretender_rebellion_cause_1|I thought {s12} was ruled by {s11}?
dlga_start:pretender_start.1|Greetings, {playername}
dlga_pretender_start:pretender_rebellion_cause_prelim|What was your story again, {reg65?my lady:sir}?
dlga_pretender_rebellion_cause_prelim:pretender_rebellion_cause_1|I shall tell you.
dlga_pretender_rebellion_cause_1:pretender_rebellion_cause_2|{s48}
dlga_pretender_rebellion_cause_2:pretender_rebellion_cause_3|{s48}
dlga_pretender_rebellion_cause_3:pretender_start|{s48}
