p_shipyard_trade_federation|Kereskedelmi Szövetség
p_minorplanet_66|Alaris Prime
p_minorplanet_67|Wayland
p_minorplanet_68|Vulpter
p_minorplanet_69|Bimmiel
p_minorplanet_70|Gamorr Hold
p_minorplanet_71|Concordia
p_minorplanet_72|Bogden
p_minorplanet_73|Dagobah Hold
p_minorplanet_74|Roon
p_minorplanet_75|Almania
p_minorplanet_76|Obroa Skai
p_minorplanet_77|Ord Mantell
p_minorplanet_78|Charros IV
p_minorplanet_79|Manaan Hold
p_minorplanet_80|N'Zoth
p_minorplanet_81|Brentaal
p_minorplanet_82|Garqi
p_minorplanet_83|Xal 3
p_minorplanet_84|Christophsis Hold
p_minorplanet_85|Phindar
p_minorplanet_86|Vaal
p_minorplanet_87|Serenno
p_minorplanet_88|Derra IV
p_minorplanet_89|Ryloth Hold
p_minorplanet_90|Khomm
p_training_ground|Gyakorlótér
p_training_ground_1|Gyakorló Akadémia
p_training_ground_2|Gyakorló Akadémia
p_training_ground_3|Gyakorló Akadémia
p_training_ground_4|Gyakorló Akadémia
p_training_ground_5|Gyakorló Akadémia
