p_shipyard_trade_federation|Ticaret Federasyonu
p_minorplanet_5|Sernpidal
p_minorplanet_6|Velmor
p_minorplanet_7|Hoth Ayı
p_minorplanet_8|Bespin Ayı
p_minorplanet_9|Dubrilyon
p_minorplanet_10|Riflor
p_minorplanet_11|Sisken
p_minorplanet_12|Asil Rakata
p_minorplanet_13|Myrkr
p_minorplanet_14|Ziost
p_minorplanet_15|Korelya Ayı
p_minorplanet_16|Vargnat 
p_minorplanet_17|Lannik
p_minorplanet_18|Fondor
p_minorplanet_19|Bakura Ayı
p_minorplanet_20|Dak Ayı
p_minorplanet_21|Isde Naha
p_minorplanet_22|Duro
p_minorplanet_23|Korusant Ayı
p_minorplanet_24|Anot
p_minorplanet_25|Tatuni Ayı
p_minorplanet_26|Rori
p_minorplanet_27|Bilbiringi
p_minorplanet_28|Tyna
p_minorplanet_29|Dantoni Ayı
p_minorplanet_30|Corulag
p_minorplanet_31|Togorya
p_minorplanet_32|Gall
p_minorplanet_33|Munulist
p_minorplanet_34|Ruria
p_minorplanet_35|Iridonya
p_minorplanet_36|Kessel Ayı
p_minorplanet_37|Bimsari
p_minorplanet_38|Belkadan
p_minorplanet_39|Helska
p_minorplanet_40|Saki
p_minorplanet_41|Nar Sadda
p_minorplanet_42|Botawu Ayı
p_minorplanet_43|Alzok 3
p_minorplanet_44|Rusan
p_minorplanet_45|Datomir Ayı
p_minorplanet_46|Yag'Dul
p_minorplanet_47|Selvaris
p_minorplanet_48|Sump
p_minorplanet_49|Mustafar Ayı
p_minorplanet_50|Dosun
p_minorplanet_51|Yaga Minor
p_minorplanet_52|Nar Kreta
p_minorplanet_53|Pzob
p_minorplanet_54|Barab 1
p_minorplanet_55|Lamared
p_minorplanet_56|Ithor
p_minorplanet_57|Kuat
p_minorplanet_58|Rodia
p_minorplanet_59|Bastion
p_minorplanet_60|Anobis
p_minorplanet_61|Thispias
p_minorplanet_62|Vyun
p_minorplanet_63|Drongar
p_minorplanet_64|Kamino Ayı
p_minorplanet_65|Mimban
p_minorplanet_66|Asil Alaris
p_minorplanet_67|Wayland
p_minorplanet_68|Vulpter
p_minorplanet_69|Bimmiel
p_minorplanet_70|Gamor Ayı
p_minorplanet_71|Konkordiya
p_minorplanet_72|Bogden
p_minorplanet_73|Dagobah Ayı
p_minorplanet_74|Ron
p_minorplanet_75|Almanya
p_minorplanet_76|Obroa Skay
p_minorplanet_77|Ord Mantel
p_minorplanet_78|Carros 4
p_minorplanet_79|Manan Ayı
p_minorplanet_80|N'Zot
p_minorplanet_81|Brental
p_minorplanet_82|Garqi
p_minorplanet_83|Xal 3
p_minorplanet_84|Kristopsis Ayı
p_minorplanet_85|Pindar
p_minorplanet_86|Val
p_minorplanet_87|Serenno
p_minorplanet_88|Derra 4 
p_minorplanet_89|Rylot Ayı
p_minorplanet_90|Kom
p_training_ground|Antrenman Alanı
p_training_ground_1|Antrenman Akademisi
p_training_ground_2|Antrenman Akademisi
p_training_ground_3|Antrenman Akademisi
p_training_ground_4|Antrenman Akademisi
p_training_ground_5|Antrenman Akademisi
