itm_horse_meat|At eti
itm_oil|Yağ
itm_pottery|Geonosian Çömleği
itm_linen|Lasha İpeği
itm_furs|Ewok Tüyü
itm_wookiee_fur|Wookiee Derisi
itm_trandoshan_skin|Trandoshan Derisi
itm_droid_parts|Droid Parçaları
itm_wool|Sinir Yün
itm_velvet|Naboo Kadifesi
itm_tools|Hidroserası
itm_siege_supply|Levazım
itm_quest_wine|Şarap
itm_quest_ale|Bira
itm_pilgrim_disguise|Seyyah Maskesi
itm_pilgrim_hood|Seyyah Kapşonu
itm_leather_gloves|Deri Eldivenler
itm_wrapping_boots|Sarma Botlar
itm_blue_hose|Mavi Çorap
itm_hide_boots|Deri Botlar
itm_ankle_boots|Ayak Bileği Botları
itm_nomad_boots|Göçebe Bot
itm_dress|Elbise
itm_blue_dress|Mavi Elbise
itm_peasant_dress|Koloni Elbisesi
itm_woolen_dress|Yün Elbise
itm_courtly_outfit|Mahkeme Kıyafeti
itm_nobleman_outfit|Soylu Kıyafeti
itm_leather_armor|Deri Zırh
itm_shirt|Şört
itm_linen_tunic|Keten Tunik
itm_short_tunic|Zengin Tuniği
itm_robe|Cübbe
itm_coarse_tunic|Kaba Tunik
itm_leather_apron|Deri Apron
itm_tabard|Tabard
itm_leather_vest|Deri Gömlek
itm_gambeson|Gambeson
itm_blue_gambeson|Mavi Gambeson
itm_red_gambeson|Kırmızı Gambeson
itm_padded_cloth|Pamuklu Kıyafet
itm_leather_jerkin|Deri Yelek
itm_padded_leather|Yünlü Deri
itm_straw_hat|Saman Şapka
itm_common_hood|Kapşon
itm_headcloth|Baş Zırhı
itm_woolen_hood|Yün Kask
itm_fur_hat|Post Şapka
itm_padded_coif|Yün Takke
itm_woolen_cap|Yün Kasket
itm_felt_hat|Keçe Şapka
itm_leather_cap|Deri Şapka
itm_arming_cap|Ordu Kaskı
itm_female_hood|Bayan Kapşonu
itm_wooden_stick|Tahta Çubuk
itm_club|Sopa
itm_cleaver|Satır
itm_knife|Bıçak
itm_butchering_knife|Kasap Bıçağı
itm_hatchet|Nacak
itm_quarter_staff|Acemi Sopası
itm_throwing_axes|Gamorrean Fırlatma Baltası
itm_rich_outfit|Zengin Kıyafeti
itm_black_hood|Nigga Kapşonu
itm_light_leather|Hafif Deri
itm_light_leather_boots|Hafif Deri Bot
itm_black_gloves|Siyah Eldivenler
itm_black_gloves_long|Uzun Siyah Eldivenler
itm_right_hand_glove|Sağ El Eldiveni
itm_grey_gloves|Gri Eldivenler
itm_darkgrey_gloves|Koyu Gri Eldivenler
itm_lady_gloves|Bayan Eldiven
itm_mandalorian_crushgaunts|Mandolar Yıkım Eldiveni
itm_imperial_royal_guard_gloves|Asil İmparatorluk Bekçisi Eldiveni
itm_imperial_stormtrooper_gloves|İmparatorluk Stormtrooper Eldiveni
itm_novatrooper_gloves|Nova Askeri Eldiveni
itm_incinerator_trooper_gloves|Yakma Fırını Askeri Eldiveni
itm_clone_trooper_gloves_white|Klon Askeri Eldiveni
itm_clone_trooper_gloves_green|Klon Askeri Eldiveni
itm_clone_trooper_gloves_blue|Klon Askeri Eldiveni
itm_clone_trooper_gloves_red|Klon Askeri Eldiveni
itm_clone_trooper_gloves_yellow|Klon Askeri Eldiveni
itm_clone_trooper_gloves_orange|Klon Askeri Eldiveni
itm_grey_gloves_with_bottle|Şişeli Gri Eldiven
itm_leather_boots|Deri Botlar
itm_leather_boots_reinforced|Sağlamlaştırılmış Deri Botlar
itm_black_boots|Siyah Botlar
itm_black_boots_reinforced|Sağlamlaştırılmış Siyah Botlar
itm_grey_boots|Gri Botlar
itm_white_boots|Beyaz Botlar
itm_white_boots_reinforced|Sağlamlaştırılmış Beyaz Botlar
itm_imperial_royal_guard_boots|İmparatorluk Asil Bekçileri Botları
itm_imperial_stormtrooper_boots|İmparatorluk Stormtrooper Botlar
itm_imperial_stormtrooper_boots_incinerator|Yakma Fırını Askeri Botlar
itm_imperial_stormtrooper_boots_novatrooper|Novatrooper Botlar
itm_imperial_scout_trooper_boots|İmparatorluk Gözcü Askeri Botları
itm_shadow_scout_trooper_boots|Gölge Gözcüsü Askeri Botlar
itm_clone_trooper_boots|Klon Askeri Botları
itm_lobot_headgear|Borg İnşaatcısı Aj^6
itm_glasses_black|Ateş Etme Gözlükleri
itm_glasses_yellow|Ateş Etme Gözlükleri
itm_eyepiece_tactics|Taktik Merceği
itm_eyepiece_leadership|Lider Merceği
itm_slave_neck_chain|Esir Boyun Zinciri
itm_officer_hat_white|Memur Şapkası
itm_civilian_cloak_hood|Sivil Pelerin Ve Kapşonu
itm_imperial_hat_green|İmparatorluk Şapkası
itm_imperial_hat_black|İmparatorluk Şapkası
itm_imperial_hat_grey|İmparatorluk Şapkası
itm_rebel_technician_helmet|İsyancı Cadet Kaskı
itm_rebel_trooper_helmet|İsyancı Süvari Kaskı
itm_rebel_heavy_trooper_helmet|İsyancı Ağır Süvari Kaskı
itm_rebel_honor_guard_helmet|İsyancı Onurlu Bekçi Kaskı
itm_transparent_helmet|Şeffaf Kask
itm_imperial_trooper_helmet|İmparatorluk Süvari Kaskı
itm_imperial_gunner_helmet|İmparatorluk Nişancı Kaskı
itm_imperial_navy_trooper_helmet|İmparatorluk Donanma Atlısı Kaskı
itm_mercenary_helmet|Paralı Asker Kaskı
itm_trandoshan_mask|Trandoshan Maskesi
itm_trandoshan_helmet|Trandoshan Kaskı
itm_cap_military|Kasket
itm_cap_civilian_a|Kasket
itm_ewok_hat|Ewok Şapkası
itm_rancor_keeper_hat|Rancor Koruyucu Kaskı
itm_rodian_ventilator|Rodian Vantilator
itm_rodian_ventilator_black|Rodian Vantilator
itm_rodian_ventilator_red|Rodian Vantilator
itm_gamorrean_helmet|Gamorrean Kask
itm_fang_helmet|Pençe Kask
itm_beak_helmet|Gaga Kask
itm_gas_mask|Gaz Maskesi
itm_mining_helmet|Madenci Kaskı
itm_pipe_helmet|Boru Kaskı
itm_skiff_guard_helmet|Kayıkçı Bekçi Kaskı
itm_imperial_stormtrooper_helmet|İmparatorluk Stormtrooper Kaskı
itm_imperial_stormtrooper_helmet_incinerator|Yakma Fırını Askeri Kaskı
itm_imperial_stormtrooper_helmet_novatrooper|Novatrooper Kaskı
itm_imperial_pilot_helmet|İmparatorluk Pilot Kask
itm_clone_trooper_head|Klon Askeri Kafası
itm_clone_trooper_head_scar|Klon Askeri Kafası
itm_clone_trooper_helmet_white|Klon Askeri Kaskı
itm_clone_trooper_helmet_green|Klon Askeri Kaskı
itm_clone_trooper_helmet_blue|Klon Askeri Kaskı
itm_clone_trooper_helmet_red|Klon Askeri Kaskı
itm_clone_trooper_helmet_yellow|Klon Askeri Kaskı
itm_clone_trooper_helmet_orange|Klon Askeri Kaskı
itm_clone_trooper_helmet_mand|Klon Askeri Kaskı
itm_clone_trooper_helmet_lux|Klon Askeri Kaskı
itm_imperial_scout_trooper_helmet|İmparatorluk Gözcü Asker Kaskı
itm_shadow_scout_trooper_helmet|Gölge Gözcü Asker Kaskı
itm_republic_pilot_helmet|İsyancı Pilot Kaskı
itm_republic_commando_helmet|İsyancı Komando Kask
itm_republic_commando_desert_helmet|İsyancı Çöl Komando Kaskı
itm_republic_commando_urban_helmet|İsyancı Şehir Komandosu Kaskı
itm_rebel_sniper_helmet|İsyancı Sniper Kaskı
itm_jedi_knight_hood|Jedi Savaşçısı Kapşonu 
itm_jedi_knight_hood_unique|Jedi Savaşçısı Kapşonu 
itm_sith_hood|Sith Kaskı
itm_sith_hood_unique|Sith Kaskı
itm_jedi_master_hood|Jedi Ustası Kaskı
itm_jedi_master_hood_unique|Jedi Ustası Kaskı
itm_jedi_knight_cloak|Jedi Savaşçısı Pelerini
itm_jedi_knight_cloak_hood|Jedi Savaşçısı Kapşon Ve Pelerini
itm_jedi_master_cloak|Jedi Ustası Pelerini
itm_jedi_master_cloak_hood|Jedi Ustası Pelerin Ve Kapşonu
itm_sith_cloak|Sith Kapşonu
itm_sith_cloak_hood|Sith Kapşon Ve Pelerin
itm_sith_cloak_mask|Sith Pelerin Ve Maskesi
itm_imperial_royal_guard_helmet|İmparatorluk Asil Bekçi Kaskı
itm_shadow_guard_helmet|İmparatorluk Gölge Bekçisi Kaskı
itm_desert_hat1|Çöl Kaskı
itm_desert_hat2|Çöl Kaskı
itm_desert_hat3|Çöl Kaskı
itm_urban_hat1|Şehir Kaskı
itm_urban_hat2|Şehir Kaskı
itm_urban_hat3|Şehir Kaskı
itm_camouflage_hat1|Kamuflaj Kaskı
itm_camouflage_hat2|Kamuflaj Kaskı
itm_camouflage_hat3|Kamuflaj Kask
itm_dress_yellow|Bayan Elbisesi
itm_dress_red|Bayan Elbisesi
itm_dress_green|Bayan Elbisesi
itm_dress_blue|Bayan Elbisesi
itm_tunic_green|Tunik
itm_tunic_white|Tunik
itm_tunic_blue|Tunik
itm_tunic_red|Tunik
itm_tunic_yellow|Tunik
itm_padded_tunic_green|Şağlam Tunik
itm_padded_tunic_white|Sağlam Tunik
itm_padded_tunic_blue|Şağlam Tunik
itm_padded_tunic_red|Şağlam Tunik
itm_padded_tunic_yellow|Tunik
itm_officer_uniform_white|Memur Uniforması
itm_imperial_uniform_black_plain|İmparatorluk Uniforması
itm_female_outfit_femconblack|Bayan Kıyafeti
itm_female_outfit_femconbrowngreen|Bayan Kıyafeti
itm_female_outfit_femcongrey|Bayan Kıyafeti
itm_female_outfit_femconorange|Bayan Kıyafeti
itm_female_outfit_femconwhite|Bayan Kıyafeti
itm_female_outfit_femconwhitebrown|Bayan Kıyafeti
itm_outfit_tan|Tulum
itm_outfit_grey|Tulum
itm_outfit_black|Tulum
itm_outfit_green|Tulum
itm_vest_open_a|Açık Gömlek
itm_vest_open_b|Açık Gömlek
itm_vest_closed_a|Kapalı Gömlek
itm_vest_closed_b|Kapalı Gömlek
itm_vest_closed_c|Kapalı Gömlek
itm_shirt_blue|Şört
itm_shirt_green|Şört
itm_vest_closed_f|Kar Ceketi
itm_jacket_open_a|Açık Ceket
itm_jacket_open_b|Açık Ceket
itm_jacket_open_c|Açık Ceket
itm_female_jacket_a|Bayan Ceketi
itm_female_jacket_b|Bayan Ceketi
itm_female_jacket_c|Bayan Ceketi
itm_female_dress_a|Bayan Elbisesi
itm_female_dress_b|Bayan Elbisesi
itm_female_dancer_outfit_a|Bayan Dansçı Kıyafeti 
itm_female_dancer_outfit_a_cloak|Bayan Dansçı Kıyafeti
itm_female_dancer_boots|Bayan Dansçı Botu
itm_female_leather_a|Bayan Deri Kıyafeti
itm_female_leather_b|Bayan Deri Kıyafeti
itm_female_leather_c|Bayan Deri Kıyafeti
itm_female_leather_d|Bayan Deri Kıyafeti
itm_jacket_closed_a|Kapalı Ceket
itm_jacket_closed_b|Kapalı Ceket
itm_jacket_closed_c|Kapalı Ceket
itm_klatooinian_armor|Klatoonian Zırhı
itm_scavenger_armor|Çöpçü Zırhı
itm_mercenary_armor|Paralı Asker Zırhı
itm_crime_lord_armor|Suçluların Lordu Zırhı
itm_trandoshan_flight_suit|Trandoshan Uçuş Kıyafeti
itm_civilian_cloak|Sivil Pelerini
itm_white_cloak|Beyaz Pelerin
itm_padded_armor_white|Şağlam Zırh
itm_padded_armor_red|Şağlam Zırh
itm_padded_armor_blue|Şağlam Zırh
itm_armor_blue|Zırh
itm_armor_brown|Zırh
itm_armor_red|Zırh
itm_armor_white|Zırh
itm_pirate_armor|Zırh
itm_imperial_uniform_black|İmparatorluk Memur Uniformas
itm_imperial_uniform_green|İmparatorluk Memur Uniforması
itm_rebel_uniform_tanblue|İsyancı Komutan Uniforması
itm_rebel_uniform_green|İsyancı Memur Uniforması
itm_imperial_trooper_armor|İmparatorluk Asker Zırhı
itm_imperial_navy_trooper_armor|İmparatorluk Donanma Askeri Zırhı
itm_imperial_trooper_armor|İmparatorluk Asker Zırhı
itm_rebel_technician_armor|İsyancı Askeri Öğrenci Zırhı
itm_republic_trooper_armor|İsyancı Zırhı
itm_rebel_heavy_trooper_armor|İsyancı Ağır Asker Zırh
itm_jedi_initiate_robe|Jedi Üye Cübbesi
itm_jedi_padawan_robe|Jedi Padawan Cübbesi
itm_sith_acolyte_outfit|Sith Yardımcı Kıyafeti
itm_sith_apprentice_outfit|Sith Acemi Kıyafeti
itm_imperial_scout_trooper_armor|İmparatorluk Gözcü Asker Zırhı
itm_shadow_scout_trooper_armor|Gölge Gözcü Askeri Zırhı
itm_republic_pilot_armor|İsyancı Pilot Zırhı
itm_republic_commando_armor|İsyancı Komando Zırhı
itm_republic_commando_desert_armor|İsyancı Çöl Komando Zırhı
itm_republic_commando_urban_armor|İsyancı Şehir Komando Zırhı
itm_rebel_sniper_armor|İsyancı Sniper Zırhı
itm_imperial_stormtrooper_armor|İmparatorluk Stormtrooper Zırhı
itm_imperial_stormtrooper_armor_incinerator|Yakma Fırını Asker Zırhı
itm_imperial_stormtrooper_armor_novatrooper|Novatrooper Zırhı
itm_imperial_stormtrooper_armor|İmparatorluk Stormtrooper Zırhı
itm_rebel_honor_guard_armor|İsyancı Onurlu Gardiyan Zırh
itm_clone_trooper_armor_white|Klon Askeri Zırh
itm_clone_trooper_armor_green|Klon Askeri Zırh
itm_clone_trooper_armor_blue|Klon Askeri Zırh
itm_clone_trooper_armor_red|Klon Askeri Zırh
itm_clone_trooper_armor_yellow|Klon Askeri Zırh
itm_clone_trooper_armor_orange|Klon Askeri Zırh
itm_clone_trooper_armor_mand|Klon Askeri Zırh
itm_clone_trooper_armor_lux|Klon Askeri Zırh
itm_arc_trooper_armor_green|Ark Askeri Zırhı
itm_arc_trooper_armor_blue|Ark Askeri Zırhı
itm_arc_trooper_armor_red|Ark Askeri Zırhı
itm_arc_trooper_armor_yellow|Ark Askeri Zırhı
itm_arc_trooper_armor_orange|Ark Askeri Zırhı
itm_arc_trooper_armor_mand|Ark Askeri Zırhı
itm_arc_trooper_armor_lux|Ark Askeri Zırhı
itm_skiff_guard_armor_brown|Botcu Gardiyan Zırhı
itm_skiff_guard_armor_grey|Botcu Gardiyan Zırhı
itm_skiff_guard_armor_white|Botcu Gardiyan Zırhı
itm_hutt_palace_guard_armor|Hutt Sarayı Gardiyanı Zırhı
itm_jedi_knight_robe|Jedi Şövalyesi Cübbesi
itm_jedi_knight_robe_unique|Jedi Şövalyesi Cübbesi
itm_jedi_guardian_robe_a|Jedi Gardiyan Cübbesi
itm_jedi_guardian_robe_b|Jedi Gardiyan Cübbesi
itm_jedi_guardian_robe_c|Jedi Gardiyan Cübbesi
itm_jedi_guardian_robe_d|Jedi Gardiyan Cübbesi
itm_sith_knight_robe|Sith Şövalyesi Cübbes
itm_sith_knight_robe_unique|Sith Şövalyesi Cübbes
itm_sith_knight_robe_a|Sith Şövalyesi Cübbes
itm_sith_knight_robe_b|Sith Şövalyesi Cübbes
itm_sith_knight_robe_c|Sith Şövalyesi Cübbes
itm_imperial_royal_guard_robe|İmparatorluk Asil Gardiyan Cübbesi
itm_shadow_guard_robe|İmparatorluk Gölge Gardiyan Cübbesi
itm_imperial_stormtrooper_armor_officer|İmparatorluk Stormtrooper Memuru Zırh
itm_sw_desert_armor|Ağır Çöl Zırh
itm_sw_urban_armor|Ağır Şehir Zırhı
itm_sw_sniper_armor|Sniper Zırhı
itm_jedi_robe_a|Jedi Cübbesi
itm_jedi_robe_a_unique|Jedi Cübbesi
itm_jedi_robe_b|Sith Cübbesi
itm_jedi_robe_b_long|Uzun Sith Cübbesi
itm_jedi_robe_c|Jedi Cübbesi
itm_jedi_robe_c_long|Uzun Sith Cübbesi
itm_jedi_robe_d|Jedi Cübbesi
itm_jedi_robe_d_unique|Jedi Cübbesi
itm_jedi_robe_e|Jedi Cübbesi
itm_jedi_robe_e_unique|Jedi Cübbesi
itm_jedi_robe_f|Jedi Cübbesi
itm_jedi_robe_f_unique|Jedi Cübbesi
itm_jedi_master_robe|Jedi Cübbesi
itm_jedi_master_robe_unique|Jedi Cübbesi
itm_sith_marauder_robe|Sith Yağmacı Cübbesi
itm_sith_marauder_robe_unique|Sith Yağmacı Cübbesi
itm_sith_marauder_robe_a|Sith Yağmacı Cübbesi
itm_sith_marauder_robe_b|Sith Yağmacı Cübbesi
itm_sith_marauder_robe_c|Sith Yağmacı Cübbesi
itm_sith_marauder_robe_d|Sith Yağmacı Cübbesi
itm_sith_master_robe|Sith Ustası Cübbesi
itm_sith_master_robe_unique|Sith Ustası Cübbesi
itm_guard_armor|Gardiyan Zırhı
itm_guard_armor_red|Gardiyan Zırhı
itm_blast_armor_black|Lazer Silahlı Asker Zırhı
itm_blast_armor_red|Lazer Silahlı Asker Zırhı
itm_blast_armor_grey|Lazer Silahlı Asker Zırhı
itm_blast_armor_bluegrey|Lazer Silahlı Asker Zırhı
itm_ubese_armor|Ubes Zırhı
itm_ubese_armor_alt|Ubes Zırhı
itm_wookiee_armor1|Wookiee Zırhı
itm_wookiee_armor1_merch|Wookiee Zırhı
itm_wookiee_armor2|Wookiee Zırhı
itm_wookiee_armor2_merch|Wookiee Zırhı
itm_wookiee_hunter_armor|Wookiee Avcı Zırhı
itm_wookiee_hunter_helmet|Wookiee Avcı Kaskı
itm_wookiee_female_head|Kadın Wookiee Kaskı
itm_wookiee_female_body|Bayan Wookiee Zırhı
itm_wookiee_female_hands|Bayan Wookiee Eldivenleri
itm_wookiee_female_feet|Bayan Wookiee Ayakkabıları
itm_kaminoan_female_head|Kaminoan Bayan Kaskı
itm_kaminoan_female_body|Kaminoan Bayan Zırhı
itm_droid_weapon_no_attack|Droid Yakın Dövüş Silahı
itm_r2series_blue|R2-Mavi Serisi
itm_r2series_green|R2- Yeşil Seris
itm_r2series_orange|R2- Turuncu Serisi 
itm_r2series_purple|R2- Mor Serisi
itm_mse6_armor|MSE Droid Vücudu Serisi
itm_lin_droid_armor|LIN Droid Vücudu
itm_lin_droid_armor_w_arm|LIN Droid Vücudu
itm_power_droid_grey|Güç Droidi
itm_power_droid_snow|Güç Droidi
itm_power_droid_tan|Güç Droidi
itm_fxseries_droid_armor|FX Serisi Tibbı Droid Vücudu
itm_c3po_blue_head|3PO- Serisi Kafası
itm_c3po_blue_hands|3PO- Serisi Elleri 
itm_c3po_blue_body|3PO- Serisi Vücudu
itm_c3po_blue_feet|3PO- Serisi Ayakları
itm_c3po_gold_head|3PO- Serisi Kafası
itm_c3po_gold_hands|3PO- Serisi Elleri 
itm_c3po_gold_body|3PO- Serisi Vücudu
itm_c3po_gold_feet|3PO- Serisi Ayakları
itm_c3po_grey_head|3PO- Serisi Kafası
itm_c3po_grey_hands|3PO- Serisi Elleri 
itm_c3po_grey_body|3PO- Serisi Vücudu
itm_c3po_grey_feet|3PO- Serisi Ayakları
itm_c3po_red_head|3PO- Serisi Kafası
itm_c3po_red_hands|3PO- Serisi Elleri 
itm_c3po_red_body|3PO- Serisi Vücudu
itm_c3po_red_feet|3PO- Serisi Ayakları
itm_3poseries_gold|3PO- Serisi Altın
itm_3poseries_blue|3PO- Serisi Mavi
itm_3poseries_red|3PO- Serisi Kırmızı
itm_3poseries_grey|3PO- Serisi Gri
itm_3poseries_attack|3PO- Serisi Düz Vuruşcu
itm_b1series_body|B1 - Serisi Savaş Droidi Vücudu
itm_bxseries_body|BX- Serisi Komando Droidi Vücudu
itm_oomseries_body|OOM Güvenlik Droidi Vücudu
itm_oomseries_pilot_body|OOM Pilot Droidi Vücudu
itm_oomseries_marine_body|OOM Denizci Droid Vücudu
itm_oomseries_command_body|OOM Komutan Droid Vücudu
itm_battle_droid_attack|Savaş Droidi Yakın Dövüş Vuruşcu
itm_b2series_body|B2- Serisi Savaş Droidi Vücudu
itm_b2series_body_enhanced|C-B3 Savaş Droidi Vücudu
itm_b2series_attack|B2- Serisi Savaş Droidi Atağı
itm_b2series_blaster|B2- Serisi Savaş Droidi Lazeri
itm_transparent_droid_head|Şeffaf Kask(Droidler İçin)
itm_transparent_droid_hands|Şeffaf Eldivenler(Droidler İçin)
itm_transparent_droid_feet|Şeffaf Ayakkabılar(Droidler İçin)
itm_ig88_head|IG- Serisi Kaskı
itm_ig88_hands|IG- Serisi Eldivenleri
itm_ig88_body|IG- Serisi Vücudu
itm_ig88_feet|IG- Serisi Ayakkabıları
itm_ig88_attack| 
itm_ig88_e11_shield|IG-88's E-11 Kalkanı
itm_ig88_dlt20a|IG-88'S DLT-20A
itm_4lom_head|LOM- Serisi Kaskı
itm_hk_head|HK- Serisi Kaskı
itm_hk_hands|HK- Serisi Eldivenleri 
itm_hk_body|HK- Serisi Vücudu
itm_hk_feet|HK- Serisi Ayakkabıları
itm_hk_attack| 
itm_mandalorian_tunic|Mandolar Tuniği
itm_mandalorian_soldier_helmet|Mandolar Askeri Kaskı
itm_mandalorian_soldier_helmet2|Mandolar Askeri Kaskı
itm_mandalorian_soldier_helmet3|Mandolar Askeri Kaskı
itm_mandalorian_soldier_armor|Mandolar Askeri Zırhı
itm_mandalorian_soldier_armor2|Mandolar Askeri Zırhı
itm_mandalorian_soldier_boots|Mandolar Askeri Botları
itm_mandalorian_commando_helmet|Mandolar Komando Kaskı
itm_mandalorian_commando_armor|Mandolar Komando Zırhı 
itm_mandalorian_commando_armor2|Mandolar Komando Zırhı 
itm_mandalorian_commando_boots|Mandolar Komando Botları
itm_mandalorian_sniper_helmet|Mandolar Sniper Kaskı
itm_mandalorian_sniper_armor|Mandolar Sniper Zırhı
itm_mandalorian_sniper_armor2|Mandolar Sniper Zırhı
itm_mandalorian_sniper_armor3|Mandolar Sniper Zırhı
itm_mandalorian_sniper_boots|Mandolar Sniper Botları
itm_mandalorian_crusader_helmet|Mandolar Fetihçi Kaskı
itm_mandalorian_neocrusader_helmet|Mandolar Neo-Fetihçi Kaskı
itm_mandalorian_crusader_armor|Mandolar Fetihçi Zırhı
itm_mandalorian_crusader_boots|Mandolar Fetihçi Botları
itm_mandalorian_deadeye_helmet|Mandolar Ölügöz Kaskı
itm_mandalorian_deadeye_armor|Mandolar Ölügöz Kaskı
itm_mandalorian_deadeye_armor2|Mandolar Ölügöz Zırhı
itm_mandalorian_deadeye_armor3|Mandolar Ölügöz Kaskı
itm_mandalorian_deadeye_boots|Mandolar Ölügöz Botları
itm_mandalorian_beskar_helmet|Mandolar Beskar Kaskı
itm_mandalorian_beskar_armor|Mandolar Beskar Zırhı
itm_mandalorian_beskar_boots|Mandolar Beskar Botları
itm_defiler_helmet|Bozguncu Kaskı 
itm_defiler_armor|Bozguncu Zırhı
itm_defiler_boots|Bozguncu Botları
itm_black_sun_helmet|Siyah Güneş Kaskı
itm_black_sun_helmet_tan|Siyah Güneş Kaskı
itm_black_sun_helmet_teal|Siyah Güneş Kaskı
itm_black_sun_helmet_red|Siyah Güneş Kaskı
itm_black_sun_armor|Siyah Güneş Zırhı
itm_black_sun_armor_tan|Siyah Güneş Zırhı
itm_black_sun_armor_teal|Siyah Güneş Zırhı
itm_black_sun_armor_red|Siyah Güneş Zırhı
itm_gamorrean_armor|Gamorrean Zırhı
itm_moncal_armor|Mon Calamarı Zırhı
itm_moncal_armor_2|Mon Calamarı Zırhı
itm_moncal_boots|Mon Calamari Botları
itm_moncal_helmet|Mon Calamari Kaskı
itm_twilek_armor|Twi'lek Zırhı
itm_jawa_hood|Jawa Kaskı
itm_jawa_robe|Jawa Pelerini 
itm_jawa_boots|Jawa Botları
itm_tusken_helmet|Tusken Kaskı
itm_tusken_armor|Tusken Zırhı
itm_trandoshan_armor|Trandoshan Zırhı
itm_geonosian_armor|Geonosian Zırhı
itm_lightsaber_green_arena|Lazer Kılıcı
itm_lightsaber_blue_arena|Lazer Kılıcı
itm_lightsaber_yellow_arena|Lazer Kılıcı
itm_lightsaber_red_arena|Lazer Kılıcı
itm_lightsaber_green|Lazer Kılıcı
itm_lightsaber_blue|Lazer Kılıcı
itm_lightsaber_orange|Lazer Kılıcı
itm_lightsaber_purple|Lazer Kılıcı
itm_lightsaber_yellow|Lazer Kılıcı
itm_lightsaber_red|Lazer Kılıcı
itm_lightsaber_green_reverse|Ters Saplı Lazer Kılıcı
itm_lightsaber_blue_reverse|Ters Saplı Lazer Kılıcı
itm_lightsaber_orange_reverse|Ters Saplı Lazer Kılıcı
itm_lightsaber_purple_reverse|Ters Saplı Lazer Kılıcı
itm_lightsaber_yellow_reverse|Ters Saplı Lazer Kılıcı
itm_lightsaber_red_reverse|Ters Saplı Lazer Kılıcı
itm_lightsaber_blue_double|Çift-Başlı Lazer Kılıcı
itm_lightsaber_green_double|Çift-Başlı Lazer Kılıcı
itm_lightsaber_orange_double|Çift-Başlı Lazer Kılıcı
itm_lightsaber_purple_double|Çift-Başlı Lazer Kılıcı
itm_lightsaber_red_double|Çift-Başlı Lazer Kılıcı
itm_lightsaber_yellow_double|Çift-Başlı Lazer Kılıcı
itm_lightsaber_green_2h|Çift El Lazer Kılıcı
itm_lightsaber_blue_2h|Çift El Lazer Kılıcı
itm_lightsaber_orange_2h|Çift El Lazer Kılıcı
itm_lightsaber_purple_2h|Çift El Lazer Kılıcı
itm_lightsaber_yellow_2h|Çift El Lazer Kılıcı
itm_lightsaber_red_2h|Çift El Lazer Kılıcı
itm_lightsaber_green_1h|Tek El Lazer Kılıcı
