itm_horse_meat|Koňské maso
itm_hide_boots|Skryté boty
itm_ankle_boots|Kotníkové boty
itm_nomad_boots|Nomádské boty
itm_dress|Šaty
itm_blue_dress|Modré šaty
itm_peasant_dress|Koloniální šaty
itm_woolen_dress|Vlněné šaty
itm_courtly_outfit|Elegantí oblek
itm_nobleman_outfit|Šlechtický oblek
itm_leather_armor|Kožené brnění
itm_shirt|Košile
itm_linen_tunic|Lněná tunika
itm_short_tunic|Drahá tunika
itm_robe|Róba
itm_coarse_tunic|Hrubá tunika
itm_leather_apron|Kožená zástěra
itm_tabard|Vesta
itm_leather_vest|Kožená vesta
itm_gambeson|Kabát
itm_blue_gambeson|Modrý kabát
itm_red_gambeson|Červený kabát
itm_padded_cloth|Vycpané oblečení
itm_leather_jerkin|Kožený kabát
itm_padded_leather|Vycpaná kůže
itm_straw_hat|Slaměný klobouk
itm_common_hood|Kapuce
itm_headcloth|Čepice
itm_woolen_hood|Vlněná kapuce
itm_fur_hat|Kožešinový klobouk
itm_padded_coif|Vycpaná čepice
itm_woolen_cap|Vlněná čepice
itm_felt_hat|Plstěný klobouk
itm_leather_cap|Kožená čepice
itm_arming_cap|Zapnutá čepice
itm_female_hood|Dámská kapuce
itm_wooden_stick|Dřevěná tička
itm_club|Kyj
itm_cleaver|Sekáček
itm_knife|Nůž
itm_butchering_knife|Řeznický nůž
itm_hatchet|Sekera
itm_quarter_staff|Obušek
itm_throwing_axes|Gamorreanské házecí sekery
itm_rich_outfit|Drahý oblek
itm_black_hood|Černá kapuce
itm_light_leather|Světlá kůže
itm_light_leather_boots|Světlé kožené boty
itm_black_gloves|Černé rukavice
itm_black_gloves_long|Dlouhé černé rukavice
itm_right_hand_glove|Rukavice na pravou ruku
itm_grey_gloves|Šedé rukavice
itm_darkgrey_gloves|Tmavě šedé rukavice
itm_lady_gloves|Dámské rukavice
itm_mandalorian_crushgaunts|Mandalorianské zesílené rukavice
itm_imperial_royal_guard_gloves|Rukavice imperiálních královských stráží
itm_imperial_stormtrooper_gloves|Rukavice Imperiálních stormtrooperů
itm_novatrooper_gloves|Rukavice Novatrooperů
itm_incinerator_trooper_gloves|Rukavice Incinerator trooperů
itm_clone_trooper_gloves_white|Rukavice Klonového vojáka
itm_clone_trooper_gloves_green|Rukavice Klonového vojáka
itm_clone_trooper_gloves_blue|Rukavice Klonového vojáka
itm_clone_trooper_gloves_red|Rukavice Klonového vojáka
itm_clone_trooper_gloves_yellow|Rukavice Klonového vojáka
itm_clone_trooper_gloves_orange|Rukavice Klonového vojáka
itm_grey_gloves_with_bottle|Šedé rukavice s lemováním
itm_leather_boots|Kožené boty
itm_leather_boots_reinforced|Zesílené kožené boty
itm_black_boots|Černé boty
itm_black_boots_reinforced|Zesílené černé boty
itm_grey_boots|Šedé boty
itm_white_boots|Bílé boty
itm_white_boots_reinforced|Zesílené bílé boty
itm_imperial_royal_guard_boots|Boty imperiálního královského strážce
itm_imperial_stormtrooper_boots|Boty imperiálního stormtroopera
itm_imperial_stormtrooper_boots_incinerator|Boty incinerator troopera
itm_imperial_stormtrooper_boots_novatrooper|Boty novatroopera
itm_imperial_scout_trooper_boots|Boty imperiálního skauta
itm_shadow_scout_trooper_boots|Boty shadow troopera
itm_clone_trooper_boots|Boty klonového vojáka
itm_lobot_headgear|Borg konstrukce Aj^6
itm_glasses_black|Střelecké brýle
itm_glasses_yellow|Střelecké brýle
itm_eyepiece_tactics|Taktický okulár
itm_eyepiece_leadership|Velitelský okulár
itm_slave_neck_chain|Otrocký řetěz
itm_officer_hat_white|Důstojnická čepice
itm_civilian_cloak_hood|Civilní plášť s kapucí
itm_imperial_hat_green|Imperiální čepice
itm_imperial_hat_black|Imperiální čepice
itm_imperial_hat_grey|Imperiální čepice
itm_rebel_technician_helmet|Helma rebelského kadeta
itm_rebel_trooper_helmet|Helma rebelského vojáka
itm_rebel_heavy_trooper_helmet|Helma těžkého rebelského vojáka
itm_rebel_honor_guard_helmet|Helma rebelského čestného strážce
itm_transparent_helmet|Průhledná helma
itm_imperial_trooper_helmet|Helma imperiálního vojáka
itm_imperial_gunner_helmet|Helma imperiálního střelce
itm_imperial_navy_trooper_helmet|Helma imperiálního navy vojáka
itm_mercenary_helmet|Helma žoldáka
itm_trandoshan_mask|Trandoshanská maska
itm_trandoshan_helmet|Trandoshanská helma
itm_cap_military|Čepice
itm_cap_civilian_a|Čepice
itm_ewok_hat|Ewokská čepka
itm_rancor_keeper_hat|Čepice hlídače rancora
itm_rodian_ventilator|Rodianská maska
itm_rodian_ventilator_black|Rodianská maska
itm_rodian_ventilator_red|Rodianská maska
itm_gamorrean_helmet|Gamorreanská helma
itm_fang_helmet|Drápova helma
itm_beak_helmet|Zobákova helma
itm_gas_mask|Plynová maska
itm_mining_helmet|Těžařská helma
itm_pipe_helmet|Potrubní helma
itm_skiff_guard_helmet|Helma strážce člunu
itm_imperial_stormtrooper_helmet|Helma imperiálního stormtroopera
itm_imperial_stormtrooper_helmet_incinerator|Helma incinerator troopera
itm_imperial_stormtrooper_helmet_novatrooper|Helma novatroopera
itm_imperial_pilot_helmet|Helma pilota impéria
itm_clone_trooper_head|Helma klonového vojáka
itm_clone_trooper_head_scar|Helma klonového vojáka
itm_clone_trooper_helmet_white|Helma klonového vojáka
itm_clone_trooper_helmet_green|Helma klonového vojáka
itm_clone_trooper_helmet_blue|Helma klonového vojáka
itm_clone_trooper_helmet_red|Helma klonového vojáka
itm_clone_trooper_helmet_yellow|Helma klonového vojáka
itm_clone_trooper_helmet_orange|Helma klonového vojáka
itm_clone_trooper_helmet_mand|Helma klonového vojáka
itm_clone_trooper_helmet_lux|Helma klonového vojáka
itm_imperial_scout_trooper_helmet|Helma imperiálního skauta
itm_shadow_scout_trooper_helmet|Helma stínového skauta
itm_republic_pilot_helmet|Helma pilota rebelů
itm_republic_commando_helmet|Helma rebelského komanda
itm_republic_commando_desert_helmet|Pouštní helma rebelského komanda 
itm_republic_commando_urban_helmet|Městská helma rebelského komanda
itm_rebel_sniper_helmet|Helma rebelského snipera
itm_jedi_knight_hood|Kapuce rytíře jedi
itm_jedi_knight_hood_unique|Kapuce rytíře jedi
itm_sith_hood|Sithská kapuce
itm_sith_hood_unique|Sithská kapuce
itm_jedi_master_hood|Kapuce mistra jedi
itm_jedi_master_hood_unique|Kapuce mistra jedi
itm_jedi_knight_cloak|Plášť rytíře jedi
itm_jedi_knight_cloak_hood|Plášť s kapucí rytíře jedi
itm_jedi_master_cloak|Plášť mistra jedi
itm_jedi_master_cloak_hood|Plášť s kapucí mistra jedi
itm_sith_cloak|Sithský plášť
itm_sith_cloak_hood|Sithský plášť s kapucí
itm_sith_cloak_mask|Sithský plášť s maskou
itm_imperial_royal_guard_helmet|Helma imperiálního královského strážce
itm_shadow_guard_helmet|Helma shadow guarda
itm_desert_hat1|Pouštní čepice
itm_desert_hat2|Pouštní čepice
itm_desert_hat3|Pouštní čepice
itm_urban_hat1|Městská čepice
itm_urban_hat2|Městská čepice
itm_urban_hat3|Městská čepice
itm_camouflage_hat1|Maskovací čepice
itm_camouflage_hat2|Maskovací čepice
itm_camouflage_hat3|Maskovací čepice
itm_dress_yellow|Dámské šaty
itm_dress_red|Dámské šaty
itm_dress_green|Dámské šaty
itm_dress_blue|Dámské šaty
itm_tunic_green|Tunika
itm_tunic_white|Tunika
itm_tunic_blue|Tunika
itm_tunic_red|Tunika
itm_tunic_yellow|Tunika
itm_padded_tunic_green|Vycpaná tunika
itm_padded_tunic_white|Vycpaná tunika
itm_padded_tunic_blue|Vycpaná tunika
itm_padded_tunic_red|Vycpaná tunika
itm_padded_tunic_yellow|Tunika
itm_officer_uniform_white|Důstojnická uniforma
itm_imperial_uniform_black_plain|Imperiální uniforma
itm_female_outfit_femconblack|Ženský oblek
itm_female_outfit_femconbrowngreen|Ženský oblek
itm_female_outfit_femcongrey|Ženský oblek
itm_female_outfit_femconorange|Ženský oblek
itm_female_outfit_femconwhite|Ženský oblek
itm_female_outfit_femconwhitebrown|Ženský oblek
itm_outfit_tan|Kombinéza
itm_outfit_grey|Kombinéza
itm_outfit_black|Kombinéza
itm_outfit_green|Kombinéza
itm_vest_open_a|Rozepnutá vesta
itm_vest_open_b|Rozepnutá vesta
itm_vest_closed_a|Zapnutá vesta
itm_vest_closed_b|Zapnutá vesta
itm_vest_closed_c|Zapnutá vesta
itm_shirt_blue|Košile
itm_shirt_green|Košile
itm_vest_closed_f|Sněhový oblek
itm_jacket_open_a|Rozepnutý oblek
itm_jacket_open_b|Rozepnutý oblek
itm_jacket_open_c|Rozepnutý oblek
itm_female_jacket_a|Dámský oblek
itm_female_jacket_b|Dámský oblek
itm_female_jacket_c|Dámský oblek
itm_female_dress_a|Dámské šaty
itm_female_dress_b|Dámské šaty
itm_female_dancer_outfit_a|Šaty tanečnice
itm_female_dancer_outfit_a_cloak|Šaty tanečnice
itm_female_dancer_boots|Boty tanečnice
itm_female_leather_a|Dámský kožený oblek
itm_female_leather_b|Dámský kožený oblek
itm_female_leather_c|Dámský kožený oblek
itm_female_leather_d|Dámský kožený oblek
itm_jacket_closed_a|Zapnutý oblek
itm_jacket_closed_b|Zapnutý oblek
itm_jacket_closed_c|Zapnutý oblek
itm_klatooinian_armor|Klatooinianské brnění
itm_scavenger_armor|Brnění scavengerů
itm_mercenary_armor|Brnění žoldáků
itm_crime_lord_armor|Brnění kmotra
itm_trandoshan_flight_suit|Trandoshanská letecká kombinéza
itm_civilian_cloak|Civilní plášť
itm_white_cloak|Bílí plášť
itm_padded_armor_white|Vycpané brnění
itm_padded_armor_red|Vycpané brnění
itm_padded_armor_blue|Vycpané brnění
itm_armor_blue|Brnění
itm_armor_brown|Brnění
itm_armor_red|Brnění
itm_armor_white|Brnění
itm_pirate_armor|Brnění
itm_imperial_uniform_black|Uniforma důstojníka impéria
itm_imperial_uniform_green|Uniforma důstojníka impéria
itm_rebel_uniform_tanblue|Uniforma rebelského velitele
itm_rebel_uniform_green|Uniforma důstojníka rebelů
itm_imperial_trooper_armor|Brnění imperiálního vojáka
itm_imperial_navy_trooper_armor|Brnění imperiálního navy vojáka
itm_imperial_trooper_armor|Brnění imperiálního vojáka
itm_rebel_technician_armor|Brnění kadeta rebelů
itm_republic_trooper_armor|Brnění rebelského vojáka
itm_rebel_heavy_trooper_armor|Brnění těžkého rebelského vojáka
itm_jedi_initiate_robe|Róba jediho začátečníka
itm_jedi_padawan_robe|Róba padawana
itm_sith_acolyte_outfit|Oblek sithského ministranta
itm_sith_apprentice_outfit|Oblek sithského učedníka
itm_imperial_scout_trooper_armor|Brnění imperiálního skauta
itm_shadow_scout_trooper_armor|Brnění stínového skauta
itm_republic_pilot_armor|Brnění rebelského pilota
itm_republic_commando_armor|Brnění rebelského komanda
itm_republic_commando_desert_armor|Pouštní brnění rebelského komanda
itm_republic_commando_urban_armor|Městské brnění rebelského komanda
itm_rebel_sniper_armor|Brnění rebelského snipera
itm_imperial_stormtrooper_armor|Brnění imperiálního stormtroopera
itm_imperial_stormtrooper_armor_incinerator|Brnění incinerator troopera
itm_imperial_stormtrooper_armor_novatrooper|Brnění novatroopera
itm_imperial_stormtrooper_armor|Brnění imperiálního stormtroopera
itm_rebel_honor_guard_armor|Brnění rebelského čestného strážce
itm_clone_trooper_armor_white|Brnění klonového vojáka
itm_clone_trooper_armor_green|Brnění klonového vojáka
itm_clone_trooper_armor_blue|Brnění klonového vojáka
itm_clone_trooper_armor_red|Brnění klonového vojáka
itm_clone_trooper_armor_yellow|Brnění klonového vojáka
itm_clone_trooper_armor_orange|Brnění klonového vojáka
itm_clone_trooper_armor_mand|Brnění klonového vojáka
itm_clone_trooper_armor_lux|Brnění klonového vojáka
itm_arc_trooper_armor_green|Brnění klonového ARC vojáka
itm_arc_trooper_armor_blue|Brnění klonového ARC vojáka
itm_arc_trooper_armor_red|Brnění klonového ARC vojáka
itm_arc_trooper_armor_yellow|Brnění klonového ARC vojáka
itm_arc_trooper_armor_orange|Brnění klonového ARC vojáka
itm_arc_trooper_armor_mand|Brnění klonového ARC vojáka
itm_arc_trooper_armor_lux|Brnění klonového ARC vojáka
itm_skiff_guard_armor_brown|Brnění strážce člunu
itm_skiff_guard_armor_grey|Brnění strážce člunu
itm_skiff_guard_armor_white|Brnění strážce člunu
itm_hutt_palace_guard_armor|Brnění huttského strážce palácu
itm_jedi_knight_robe|Róba rytíře jedi
itm_jedi_knight_robe_unique|Róba rytíře jedi
itm_jedi_guardian_robe_a|Róba ochránce jedi
itm_jedi_guardian_robe_b|Róba ochránce jedi
itm_jedi_guardian_robe_c|Róba ochránce jedi
itm_jedi_guardian_robe_d|Róba ochránce jedi
itm_sith_knight_robe|Róba sithského rytíře
itm_sith_knight_robe_unique|Róba sithského rytíře
itm_sith_knight_robe_a|Róba sithského rytíře
itm_sith_knight_robe_b|Róba sithského rytíře
itm_sith_knight_robe_c|Róba sithského rytíře
itm_imperial_royal_guard_robe|Róba Imperiálního královského strážce
itm_shadow_guard_robe|Róba imperiálního stínového strážce
itm_imperial_stormtrooper_armor_officer|Brnění stormtrooperského důstojníka
itm_sw_desert_armor|Těžké pouštní brnění
itm_sw_urban_armor|Těžké městské brnění
itm_sw_sniper_armor|Sniperova zbroj
itm_jedi_robe_a|Róba jediho
itm_jedi_robe_a_unique|Róba jediho
itm_jedi_robe_b|Sithská róba
itm_jedi_robe_b_long|Dlouhá sithská róba
itm_jedi_robe_c|Róba jediho
itm_jedi_robe_c_long|Dlouhá sithská róba
itm_jedi_robe_d|Róba jediho
itm_jedi_robe_d_unique|Róba jediho
itm_jedi_robe_e|Róba jediho
itm_jedi_robe_e_unique|Róba jediho
itm_jedi_robe_f|Róba jediho
itm_jedi_robe_f_unique|Róba jediho
itm_jedi_master_robe|Róba jediho
itm_jedi_master_robe_unique|Róba jediho
itm_sith_marauder_robe|Róba sithského záškodníka
itm_sith_marauder_robe_unique|Róba sithského záškodníka
itm_sith_marauder_robe_a|Róba sithského záškodníka
itm_sith_marauder_robe_b|Róba sithského záškodníka
itm_sith_marauder_robe_c|Róba sithského záškodníka
itm_sith_marauder_robe_d|Róba sithského záškodníka
itm_sith_master_robe|Róba sithského mistra
itm_sith_master_robe_unique|Róba sithského mistra
itm_guard_armor|Strážcova zbroj
itm_guard_armor_red|Brnění ochránce
itm_blast_armor_black|Zbroj proti výbuchům
itm_blast_armor_red|Zbroj proti výbuchům
itm_blast_armor_grey|Zbroj proti výbuchům
itm_blast_armor_bluegrey|Zbroj proti výbuchům
itm_ubese_armor|Ubesské brnění
itm_ubese_armor_alt|Ubesské brnění
itm_wookiee_armor1|Brnění Wookieeů
itm_wookiee_armor1_merch|Brnění Wookieeů
itm_wookiee_armor2|Brnění Wookieeů
itm_wookiee_armor2_merch|Brnění Wookieeů
itm_wookiee_hunter_armor|Brnění lovců Wookieeů
itm_wookiee_hunter_helmet|Helma lovců Wookieeů
itm_wookiee_female_head|Hlava Wookieeské ženy
itm_wookiee_female_body|Tělo Wookieeské ženy
itm_wookiee_female_hands|Ruce Wookieeské ženy
itm_wookiee_female_feet|Chodidla Wookieeské ženy
itm_kaminoan_female_head|Hlava Kaminoánské ženy
itm_kaminoan_female_body|Tělo Kaminoánské ženy
itm_droid_weapon_no_attack|Droid Melee Weapon (No Attack)
itm_r2series_blue|R2-Series Modrý
itm_r2series_green|R2-Series Zelený
itm_r2series_orange|R2-Series Oranžový
itm_r2series_purple|R2-Series Fialový
itm_mse6_armor|Tělo Droida MSE-Série
itm_lin_droid_armor|Tělo LIN Droida
itm_lin_droid_armor_w_arm|Tělo LIN Droida
itm_power_droid_grey|Power Droid
itm_power_droid_snow|Power Droid
itm_power_droid_tan|Power Droid
itm_fxseries_droid_armor|Tělo Zdravotnického Droida FX-Série
itm_c3po_blue_head|3PO-Série Hlava
itm_c3po_blue_hands|3PO-Série Ruce
itm_c3po_blue_body|3PO-Série Tělo
itm_c3po_blue_feet|3PO-Série Chodidla
itm_c3po_gold_head|3PO-Série Hlava
itm_c3po_gold_hands|3PO-Série Ruce
itm_c3po_gold_body|3PO-Série Tělo
itm_c3po_gold_feet|3PO-Série Chodidla
itm_c3po_grey_head|3PO-Série Hlava
itm_c3po_grey_hands|3PO-Série Ruce
itm_c3po_grey_body|3PO-Série Tělo
itm_c3po_grey_feet|3PO-Série Chodidla
itm_c3po_red_head|3PO-Série Hlava
itm_c3po_red_hands|3PO-Série Ruce
itm_c3po_red_body|3PO-Série Tělo
itm_c3po_red_feet|3PO-Série Chodidla
itm_3poseries_gold|3PO-Série Zlatá
itm_3poseries_blue|3PO-Série Modrá
itm_3poseries_red|3PO-série červená
itm_3poseries_grey|3PO-série šedá
itm_3poseries_attack|3PO-série útok na blízko
itm_b1series_body|B1-série Battle droidovo tělo
itm_bxseries_body|BX-série commando droidovo tělo
itm_oomseries_body|OOM Security Droid tělo
itm_oomseries_pilot_body|OOM Pilot Droid tělo
itm_oomseries_marine_body|OOM Marine Droid tělo
itm_oomseries_command_body|OOM Command Droid tělo
itm_battle_droid_attack|Battle Droid útok na blízko
itm_b2series_body|B2-série Battle droidovo tělo
itm_b2series_body_enhanced|C-B3 Battle droidovo tělo
itm_b2series_attack|B2-série Battle droidův útok
itm_b2series_blaster|B2-série Battlr droidí blaster
itm_transparent_droid_head|Neviditelná hlava(droidí)
itm_transparent_droid_hands|Neviditelné ruce(droidí)
itm_transparent_droid_feet|Neviditelné nohy(droidí)
itm_ig88_head|IG-série hlava
itm_ig88_hands|IG-série ruce
itm_ig88_body|IG-série tělo
itm_ig88_feet|IG-série nohy
itm_ig88_attack| 
itm_ig88_e11_shield|IG-88's E-11 štít
itm_ig88_dlt20a|IG-88's DLT-20A
itm_4lom_head|LOM-série hlava
itm_hk_head|LOM-série hlava
itm_hk_hands|HK-série ruce
itm_hk_body|HK-série tělo
itm_hk_feet|HK-série nohy
itm_hk_attack| 
itm_mandalorian_tunic|Mandalorianská tunika
itm_mandalorian_soldier_helmet|Helma mandalorianského vojáka
itm_mandalorian_soldier_helmet2|Helma mandalorianského vojáka
itm_mandalorian_soldier_helmet3|Helma mandalorianského vojáka
itm_mandalorian_soldier_armor|Zbroj mandalorianského vojáka
itm_mandalorian_soldier_armor2|Zbroj mandalorianského vojáka
itm_mandalorian_soldier_boots|Boty mandalorianského vojáka
itm_mandalorian_commando_helmet|Helma mandalorianského komanda
itm_mandalorian_commando_armor|Brnění mandalorianského komanda
itm_mandalorian_commando_armor2|Brnění mandalorianského komanda
itm_mandalorian_commando_boots|Boty mandalorianského komanda
itm_mandalorian_sniper_helmet|Helma mandalorianského snipera
itm_mandalorian_sniper_armor|Brnění mandalorianského snipera
itm_mandalorian_sniper_armor2|Brnění mandalorianského snipera
itm_mandalorian_sniper_armor3|Brnění mandalorianského snipera
itm_mandalorian_sniper_boots|Boty mandalorianského snipera
itm_mandalorian_crusader_helmet|Helma mandalorianského dobyvatele
itm_mandalorian_neocrusader_helmet|Helma mandalorianského neo-dobyvatele
itm_mandalorian_crusader_armor|Zbroj mandalorianského dobyvatele
itm_mandalorian_crusader_boots|Boty mandalorianského dobyvatele
itm_mandalorian_deadeye_helmet|Helma mandalorianského smrtonoše
itm_mandalorian_deadeye_armor|Brnění mandalorianského smrtonoše
itm_mandalorian_deadeye_armor2|Brnění mandalorianského smrtonoše
itm_mandalorian_deadeye_armor3|Brnění mandalorianského smrtonoše
itm_mandalorian_deadeye_boots|Boty Mandaloriánského smrtonoše
itm_mandalorian_beskar_helmet|Helma Mandaloriánského beskara
itm_mandalorian_beskar_armor|Brnění Mandaloriánského beskara
itm_mandalorian_beskar_boots|Boty Mandaloriánského beskara
itm_defiler_helmet|Helma defilera
itm_defiler_armor|Brnění defilera
itm_defiler_boots|Boty defilera
itm_black_sun_helmet|Helma černého slunce
itm_black_sun_helmet_tan|Helma černého slunce
itm_black_sun_helmet_teal|Helma černého slunce
itm_black_sun_helmet_red|Helma černého slunce
itm_black_sun_armor|Brnění černého slunce
itm_black_sun_armor_tan|Brnění černého slunce
itm_black_sun_armor_teal|Brnění černého slunce
itm_black_sun_armor_red|Brnění černého slunce
itm_gamorrean_armor|Gamorreanské brnění
itm_moncal_armor|Brnění Mon Calamarianů
itm_moncal_armor_2|Brnění Mon Calamarianů
itm_moncal_boots|Boty Mon Calamarianů
itm_moncal_helmet|Helma Mon Calamarianů
itm_twilek_armor|Twi'lecké brnění
itm_jawa_hood|Jawoská hlava
itm_jawa_robe|Jawoská róba
itm_jawa_boots|Jawoské boty
itm_tusken_helmet|Tuskenská helma
itm_tusken_armor|Tuskenské brnění
itm_trandoshan_armor|Trandoshanské brnění
itm_geonosian_armor|Geonosianské brnění
itm_lightsaber_green_arena|Světelný meč
itm_lightsaber_blue_arena|Světelný meč
itm_lightsaber_yellow_arena|Světelný meč
itm_lightsaber_red_arena|Světelný meč
itm_lightsaber_green|Světelný meč
itm_lightsaber_blue|Světelný meč
itm_lightsaber_orange|Světelný meč
itm_lightsaber_purple|Světelný meč
itm_lightsaber_yellow|Světelný meč
itm_lightsaber_red|Světelný meč
itm_lightsaber_green_reverse|Světelný meč s obráceným uchopením
itm_lightsaber_blue_reverse|Světelný meč s obráceným uchopením
itm_lightsaber_orange_reverse|Světelný meč s obráceným uchopením
itm_lightsaber_purple_reverse|Světelný meč s obráceným uchopením
itm_lightsaber_yellow_reverse|Světelný meč s obráceným uchopením
itm_lightsaber_red_reverse|Světelný meč s obráceným uchopením
itm_lightsaber_blue_double|Obouruční světelný meč
itm_lightsaber_green_double|Obouruční světelný meč
itm_lightsaber_orange_double|Obouruční světelný meč
itm_lightsaber_purple_double|Obouruční světelný meč
itm_lightsaber_red_double|Obouruční světelný meč
itm_lightsaber_yellow_double|Obouruční světelný meč
itm_lightsaber_green_2h|Obouruční světelný meč
itm_lightsaber_blue_2h|Obouruční světelný meč
itm_lightsaber_orange_2h|Obouruční světelný meč
itm_lightsaber_purple_2h|Obouruční světelný meč
itm_lightsaber_yellow_2h|Obouruční světelný meč
itm_lightsaber_red_2h|Obouruční světelný meč
itm_lightsaber_green_1h|Jednoruční světelný meč
itm_lightsaber_blue_1h|Jednoruční světelný meč
itm_lightsaber_orange_1h|Jednoruční světelný meč
itm_lightsaber_purple_1h|Jednoruční světelný meč
itm_lightsaber_yellow_1h|Jednoruční světelný meč
itm_lightsaber_red_1h|Jednoruční světelný meč
itm_lightsaber_green_pike|Světelné kopí
itm_lightsaber_blue_pike|Světelné kopí
itm_lightsaber_orange_pike|Světelné kopí
itm_lightsaber_purple_pike|Světelné kopí
itm_lightsaber_yellow_pike|Světelné kopí
itm_lightsaber_red_pike|Světelné kopí
itm_darth_vader_lightsaber|Světelný meč Darth Vadera
itm_obi_wan_lightsaber|Světelný meč Obi-Wana Kenobi
itm_luke_skywalker_lightsaber|Světelný meč Luka Skywalkera
itm_anakin_skywalker_lightsaber|Světelný meč Anakina Skywalkera
itm_lightsaber_red_multikill|Světelný meč s více zásahy (ve vývoji)
itm_melee_punch| 
itm_durasteel_staff|Hůl z durasteelu
itm_electro_staff_medium|Elektrická tyč
itm_electro_staff_long|Elektrická tyč
itm_gamorrean_axe_1h|Jednoručná Gamoreanská sekera
itm_gamorrean_axe_2h|Obouruční Gamoreanská sekera
itm_vibro_axe_medium_1h|Jednoruční vibro sekera
itm_vibro_axe_medium_2h|Obouruční vibro sekera
itm_vibro_axe_long_1h|Jednoruční vibro sekera
itm_vibro_axe_long_2h|BD-1 řezací vibro sekera
itm_tusken_gaffi_staff|Gaffi hůl
itm_tusken_gaffi_stick|Gaffi tyč
itm_durasteel_mace|Palcát z durasteelu
itm_baton|Obušek
itm_trandoshan_blade|Trandoshanská čepel
itm_durasteel_bat|Pálka z durasteelu
itm_force_pike|Silné kopí
itm_geonosian_static_pike|Geonosianské statické kopí
itm_pipe1|Trubka
itm_pipe2|Trubka
itm_ryyk_blade|Ryykská čepel
itm_ryyk_kerarthorr|Ryykská Kerathorrovo ostří
itm_ryyk_blade_chieftain|Čepel Ryykského náčelníka
itm_sith_sword|Sithský meč
itm_combat_knife|Bojový nůž
itm_twilek_dagger|Twilekská dýka
itm_vibro_knuckler|Vibro drtič
itm_vibro_blade1|Vibro čepel
itm_vibro_blade2|Vibro čepel
itm_vibro_blade3|Vibro čepel
itm_vibro_blade4|Vibro čepel
itm_vibro_sword1b|Vibro meč
itm_vibro_sword2b|Obouruční vibro meč
itm_vibro_sword3_gold|Vibro meč
itm_vibro_sword3_blue|Vibro meč
itm_vibro_sword3_red|Vibro meč
itm_tutorial_lightsaber|Světelný meč
itm_practice_vibro_axe_medium|Gamorreanská vibro sekera
