itm_horse_meat|Hästkött
itm_padded_leather|Vadderat Läder
itm_straw_hat|Halmhatt
itm_common_hood|Huva
itm_headcloth|Huvudduk
itm_woolen_hood|Yllehuva
itm_fur_hat|Pälshatt
itm_padded_coif|Vadderad Huva
itm_woolen_cap|Yllekeps
itm_felt_hat|Filthatt
itm_leather_cap|Läderkeps
itm_arming_cap|Beväpningskeps
itm_female_hood|Damhuva
itm_wooden_stick|Träpinne
itm_club|Klubba
itm_cleaver|Köttyxa
itm_knife|Kniv
itm_butchering_knife|Slaktarkniv
itm_hatchet|Yxa
itm_quarter_staff|Quarterstav
itm_throwing_axes|Gammoreanska Kastyxor
itm_rich_outfit|Rik Klädsel
itm_black_hood|Svart Huva
itm_light_leather|Tunt Läder
itm_light_leather_boots|Tunna Läderskor
itm_black_gloves|Svarta Handskar
itm_black_gloves_long|Långa svarta Handskar
itm_right_hand_glove|Högerhandske
itm_grey_gloves|Gråa Handskar
itm_darkgrey_gloves|Mörkgråa Handskar
itm_lady_gloves|Damhandskar
itm_mandalorian_crushgaunts|Mandalorian Crushgaunts
itm_imperial_royal_guard_gloves|Imperisk Högvaktshandskar
itm_imperial_stormtrooper_gloves|Imperisk Stormtruppshandskar
itm_novatrooper_gloves|Novatruppshandskar
itm_incinerator_trooper_gloves|Förbränningssoldatshandskar
itm_clone_trooper_gloves_white|Klonsoldatshandskar
itm_clone_trooper_gloves_green|Klonsoldatshandskar
itm_clone_trooper_gloves_blue|Klonsoldatshandskar
itm_clone_trooper_gloves_red|Klonsoldatshandskar
itm_clone_trooper_gloves_yellow|Klonsoldatshandskar
itm_clone_trooper_gloves_orange|Klonsoldatshandskar
itm_grey_gloves_with_bottle|Grå Handskar med Flaska
itm_leather_boots|Läderstövlar
itm_leather_boots_reinforced|Förstärkta Läderstövlar
itm_black_boots|Svarta Stövlar
itm_black_boots_reinforced|Förstärkta Svarta Stövlar
itm_grey_boots|Gråa Stövlar
itm_white_boots|Vita Stövlar
itm_white_boots_reinforced|Förstärkta Vita Stövlar
itm_imperial_royal_guard_boots|Imperisk Hovvaktsstövlar
itm_imperial_stormtrooper_boots|Imperisk Stormtruppsstövlar
itm_imperial_stormtrooper_boots_incinerator|Förbränningssoldatsstövlar
itm_imperial_stormtrooper_boots_novatrooper|Novatruppsstövlar
itm_imperial_scout_trooper_boots|Imperisk Spejarsoldatsstövlar
itm_shadow_scout_trooper_boots|Shadow Spejarsoldatsstövlar
itm_clone_trooper_boots|Klonsoldatsstövlar
itm_lobot_headgear|Borg Konstruktion Aj^6
itm_glasses_black|Skytteglasögon
itm_glasses_yellow|Skytteglasögon
itm_eyepiece_tactics|Taktiskt Okular
itm_eyepiece_leadership|Ledarskaps Okular
itm_slave_neck_chain|Slav halskedja
itm_officer_hat_white|Officers Hatt
itm_civilian_cloak_hood|Civil Mantel och Huva
itm_imperial_hat_green|Imperisk Hatt
itm_imperial_hat_black|Imperisk Hatt
itm_imperial_hat_grey|Imperisk Hatt
itm_rebel_technician_helmet|Rebell Kadettshjälm
itm_rebel_trooper_helmet|Rebell Soldatshjälm
itm_rebel_heavy_trooper_helmet|Tung Rebelltroopershjälm
itm_rebel_honor_guard_helmet|Rebell Hedersvaktshjälm
itm_transparent_helmet|Genomskinlighjälm
itm_imperial_trooper_helmet|Imperiesoldatshjälm
itm_imperial_gunner_helmet|Imperieartilleristhjälm
itm_imperial_navy_trooper_helmet|Imperiemarinsoldatshjälm
itm_mercenary_helmet|Legosoldatshjälm
itm_trandoshan_mask|Trandoshan Ansiktsmask
itm_trandoshan_helmet|Trandoshan Hjälm
itm_cap_military|Keps
itm_cap_civilian_a|Keps
itm_ewok_hat|Ewok Hatt
itm_rancor_keeper_hat|Rancor Vårdarhatt
itm_rodian_ventilator|Rodian Ventilator
itm_rodian_ventilator_black|Rodian Ventilator
itm_rodian_ventilator_red|Rodian Ventilator
itm_gamorrean_helmet|Gammoreansk Hjälm
itm_fang_helmet|Huggtands Hjälm
itm_beak_helmet|Näbb Hjälm
itm_gas_mask|Gasmask
itm_mining_helmet|Exkaveringshjälm
itm_pipe_helmet|Rörhjälm
itm_skiff_guard_helmet|Skiffvaktshjälm
itm_imperial_stormtrooper_helmet|Imperisk Stormtruppshjälm
itm_imperial_stormtrooper_helmet_incinerator|Förbränningssoldatshjälm
itm_imperial_stormtrooper_helmet_novatrooper|Novatruppshjälm
itm_imperial_pilot_helmet|Imperiepilotshjälm
itm_clone_trooper_head|Klonsoldats Huvud
itm_clone_trooper_head_scar|Klonsoldats Huvud
itm_clone_trooper_helmet_white|(Vit) Klonsoldatshjälm 
itm_clone_trooper_helmet_green|(Grön) Klonsoldatshjälm 
itm_clone_trooper_helmet_blue|(Blå) Klonsoldatshjälm 
itm_clone_trooper_helmet_red|(Röd) Klonsoldatshjälm 
itm_clone_trooper_helmet_yellow|(Gul) Klonsoldatshjälm 
itm_clone_trooper_helmet_orange|(Orange) Klonsoldatshjälm
itm_clone_trooper_helmet_mand|Klonsoldatshjälm
itm_clone_trooper_helmet_lux|Klonsoldatshjälm
itm_imperial_scout_trooper_helmet|Imperie Spejartrupps Hjälm
itm_shadow_scout_trooper_helmet|Skugg Spejartrupps Hjälm
itm_republic_pilot_helmet|Rebel Pilothjälm
itm_republic_commando_helmet|Rebelkommando Hjälm
itm_republic_commando_desert_helmet|Rebel Ökenkommando Hjälm
itm_republic_commando_urban_helmet|Rebel Urbankommando Hjälm
itm_rebel_sniper_helmet|Rebel Prickskyttshjälm
itm_jedi_knight_hood|Jediriddar Huva
itm_jedi_knight_hood_unique|Jediriddar Huva
itm_sith_hood|Sith Huva
itm_sith_hood_unique|Sith Huva
itm_jedi_master_hood|Jedimästar Huva
itm_jedi_master_hood_unique|Jedimästar Huva
itm_jedi_knight_cloak|Jediriddar Mantel
itm_jedi_knight_cloak_hood|Jediriddar Kappa med Huva
itm_jedi_master_cloak|Jedimästar Kappa
itm_jedi_master_cloak_hood|Jedimästar Kappa med Huva
itm_sith_cloak|Sith Kappa
itm_sith_cloak_hood|Sith Kappa med Huva
itm_sith_cloak_mask|Sith Kappa med Mask
itm_imperial_royal_guard_helmet|Kejserlig Högvaktshjälm
itm_shadow_guard_helmet|Kejserlig Skuggvaktshjälm
itm_desert_hat1|Ökenhatt
itm_desert_hat2|Ökenhatt
itm_desert_hat3|Ökenhatt
itm_urban_hat1|Stadshatt
itm_urban_hat2|Stadshatt
itm_urban_hat3|Stadshatt
itm_camouflage_hat1|Kamouflagehatt
itm_camouflage_hat2|Kamouflagehatt
itm_camouflage_hat3|Kamouflagehatt
itm_dress_yellow|Damklänning
itm_dress_red|Damklänning
itm_dress_green|Damklänning
itm_dress_blue|Damklänning
itm_tunic_green|Tunika
itm_tunic_white|Tunika
itm_tunic_blue|Tunika
itm_tunic_red|Tunika
itm_tunic_yellow|Tunika
itm_padded_tunic_green|Vadderad Tunika
itm_padded_tunic_white|Vadderad Tunika
itm_padded_tunic_blue|Vadderad Tunika
itm_padded_tunic_red|Vadderad Tunika
itm_padded_tunic_yellow|Vadderad Tunika
itm_officer_uniform_white|Officersuniform
itm_imperial_uniform_black_plain|Imperieuniform
itm_female_outfit_femconblack|Kvinnlig Utstyrsel
itm_female_outfit_femconbrowngreen|Kvinnlig Utstyrsel
itm_female_outfit_femcongrey|Kvinnlig Utstyrsel
itm_female_outfit_femconorange|Kvinnlig Utstyrsel
itm_female_outfit_femconwhite|Kvinnlig Utstyrsel
itm_female_outfit_femconwhitebrown|Kvinnlig Utstyrsel
itm_outfit_tan|Byxdräkt
itm_outfit_grey|Byxdräkt
itm_outfit_black|Byxdräkt
itm_outfit_green|Byxdräkt
itm_vest_open_a|Öppen Väst
itm_vest_open_b|Öppen Väst
itm_vest_closed_a|Stängd Väst
itm_vest_closed_b|Stängd Väst
itm_vest_closed_c|Stängd Väst
itm_shirt_blue|Skjorta
itm_shirt_green|Skjorta
itm_vest_closed_f|Snöjacka
itm_jacket_open_a|Öppen Jacka
itm_jacket_open_b|Öppen Jacka
itm_jacket_open_c|Öppen Jacka
itm_female_jacket_a|Kvinnlig Jacka
itm_female_jacket_b|Kvinnlig Jacka
itm_female_jacket_c|Kvinnlig Jacka
itm_female_dress_a|Kvinnlig Klänning
itm_female_dress_b|Kvinnlig Klänning
itm_female_dancer_outfit_a|Dansös Utstyrsel
itm_female_dancer_outfit_a_cloak|Dansös Utstyrsel
itm_female_dancer_boots|Dansös Utstyrsel
itm_female_leather_a|Kvinnlig Läderutstyrsel
itm_female_leather_b|Kvinnlig Läderutstyrsel
itm_female_leather_c|Kvinnlig Läderutstyrsel
itm_female_leather_d|Kvinnlig Läderutstyrsel
itm_jacket_closed_a|Stängd Jacka
itm_jacket_closed_b|Stängd Jacka
itm_jacket_closed_c|Stängd Jacka
itm_klatooinian_armor|Klatooinian Rustning
itm_scavenger_armor|Rotarrustning
itm_mercenary_armor|Legosoldatsrustning
itm_crime_lord_armor|Brottsherre Rustning
itm_trandoshan_flight_suit|Trandoshan Flygdräkt
itm_civilian_cloak|Civil Kappa
itm_white_cloak|Vit Kappa
itm_padded_armor_white|Vadderad Rustning
itm_padded_armor_red|Vadderad Rustning
itm_padded_armor_blue|Vadderad Rustning
itm_armor_blue|Rustning
itm_armor_brown|Rustning
itm_armor_red|Rustning
itm_armor_white|Rustning
itm_pirate_armor|Rustning
itm_imperial_uniform_black|Imperie Officersuniform
itm_imperial_uniform_green|Imperie Officersuniform
itm_rebel_uniform_tanblue|Rebel Befälhavaruniform
itm_rebel_uniform_green|Rebel Officersuniform
itm_imperial_trooper_armor|Imperietrupp Rustning
itm_imperial_navy_trooper_armor|Imperie Marintrupps Rustning
itm_imperial_trooper_armor|Imperietrupp Rustning
itm_rebel_technician_armor|Rebel Kadetsrustning
itm_republic_trooper_armor|Rebeltrupps Rustning
itm_rebel_heavy_trooper_armor|Tungt Rebelltrupps Rustning
itm_jedi_initiate_robe|Jedinovis Rock
itm_jedi_padawan_robe|Jedilärlings Rock
itm_sith_acolyte_outfit|Sith Akolyt Utstyrsel
itm_sith_apprentice_outfit|Sithlärlings Utstyrsel
itm_imperial_scout_trooper_armor|Imperie Spejartrupps Rustning
itm_shadow_scout_trooper_armor|Skugg Spejartrupps Rustning
itm_republic_pilot_armor|Rebelpilots Rustning
itm_republic_commando_armor|Rebel Kommando Rustning
itm_republic_commando_desert_armor|Rebel Ökenkommando Rustning
itm_republic_commando_urban_armor|Rebel Urbankommando Rustning
itm_rebel_sniper_armor|Rebel Prickskyttsrustning
itm_imperial_stormtrooper_armor|Imperie Stormtrupps Rustning
itm_imperial_stormtrooper_armor_incinerator|Förbrännartrupps Rustning
itm_imperial_stormtrooper_armor_novatrooper|Novatrupps Rustning
itm_imperial_stormtrooper_armor|Imperie Stormtrupps Rustning
itm_rebel_honor_guard_armor|Rebel Hedersvakts Rustning
itm_clone_trooper_armor_white|Klonsoldats Rustning
itm_clone_trooper_armor_green|Klonsoldats Rustning
itm_clone_trooper_armor_blue|Klonsoldats Rustning
itm_clone_trooper_armor_red|Klonsoldats Rustning
itm_clone_trooper_armor_yellow|Klonsoldats Rustning
itm_clone_trooper_armor_orange|Klonsoldats Rustning
itm_clone_trooper_armor_mand|Klonsoldats Rustning
itm_clone_trooper_armor_lux|Klonsoldats Rustning
itm_arc_trooper_armor_green|Arc Soldats Rustning
itm_arc_trooper_armor_blue|Arc Soldats Rustning
itm_arc_trooper_armor_red|Arc Soldats Rustning
itm_arc_trooper_armor_yellow|Arc Soldats Rustning
itm_arc_trooper_armor_orange|Arc Soldats Rustning
itm_arc_trooper_armor_mand|Arc Soldats Rustning
itm_arc_trooper_armor_lux|Arc Soldats Rustning
itm_skiff_guard_armor_brown|Skiffvakts Rustning
itm_skiff_guard_armor_grey|Skiffvakts Rustning
itm_skiff_guard_armor_white|Skiffvakts Rustning
itm_hutt_palace_guard_armor|Hutt Palatsvakts Rustning
itm_jedi_knight_robe|Jediriddar Mantel
itm_jedi_knight_robe_unique|Jediriddare Mantel
itm_jedi_guardian_robe_a|Jediförsvarares Mantel
itm_jedi_guardian_robe_b|Jediförsvarares Mantel
itm_jedi_guardian_robe_c|Jediförsvarares Mantel
itm_jedi_guardian_robe_d|Jediförsvarares Mantel
itm_sith_knight_robe|Sithriddar Mantel
itm_sith_knight_robe_unique|Sithriddar Mantel
itm_sith_knight_robe_a|Sithriddar Mantel
itm_sith_knight_robe_b|Sithriddar Mantel
itm_sith_knight_robe_c|Sithriddar Mantel
itm_imperial_royal_guard_robe|Imperie Högvakts Mantel
itm_shadow_guard_robe|Imperie Skuggvakts Mantel
itm_imperial_stormtrooper_armor_officer|Imperia Stormtrupps Officerarrustning
itm_sw_desert_armor|Tung Ökenrustning
itm_sw_urban_armor|Tung Urbanrustning
itm_sw_sniper_armor|Prickskytts Rustning
itm_jedi_robe_a|Jedi Mantel
itm_jedi_robe_a_unique|Jedi Mantel
itm_jedi_robe_b|Sith Mantel
itm_jedi_robe_b_long|Lång Sith Mantel
itm_jedi_robe_c|Jedi Mantel
itm_jedi_robe_c_long|Lång Sith Mantel
itm_jedi_robe_d|Jedi Mantel
itm_jedi_robe_d_unique|Jedi Mantel
itm_jedi_robe_e|Jedi Mantel
itm_jedi_robe_e_unique|Jedi Mantel
itm_jedi_robe_f|Jedi Mantel
itm_jedi_robe_f_unique|Jedi Mantel
itm_jedi_master_robe|Jedi Mantel
itm_jedi_master_robe_unique|Jedi Mantel
itm_sith_marauder_robe|Sith Marodör Mantel
itm_sith_marauder_robe_unique|Sith Marodör Mantel
itm_sith_marauder_robe_a|Sith Marodör Mantel
itm_sith_marauder_robe_b|Sith Marodör Mantel
itm_sith_marauder_robe_c|Sith Marodör Mantel
itm_sith_marauder_robe_d|Sith Marodör Mantel
itm_sith_master_robe|Sith Mästares Mantel
itm_sith_master_robe_unique|Sith Mästares Mantel
itm_guard_armor|Vaktrustning
itm_guard_armor_red|Väktares Rustning
itm_blast_armor_black|Sprängrustning
itm_blast_armor_red|Sprängrustning
itm_blast_armor_grey|Sprängrustning
itm_blast_armor_bluegrey|Sprängrustning
itm_ubese_armor|Ubese Rustning
itm_ubese_armor_alt|Ubese Rustning
itm_wookiee_armor1|Wookie Rustning
itm_wookiee_armor1_merch|Wookie Rustning
itm_wookiee_armor2|Wookie Rustning
itm_wookiee_armor2_merch|Wookie Rustning
itm_wookiee_hunter_armor|Wookie Jägares Rustning
itm_wookiee_hunter_helmet|Wookie Jägares Hjälm
itm_wookiee_female_head|Wookie Kvinnas Huvud
itm_wookiee_female_body|Wookie Kvinnas Kropp
itm_wookiee_female_hands|Wookie Kvinnas Händer
itm_wookiee_female_feet|Wookie Kvinnas Fötter
itm_kaminoan_female_head|Kaminoan Kvinnas Huvud
itm_kaminoan_female_body|Kaminoan Kvinnas Kropp
itm_droid_weapon_no_attack|Droid Närstridsvapen (Ingen Attack)
itm_r2series_blue|Blå R2-Serie
itm_r2series_green|Grön R2-Serie
itm_r2series_orange|Orange R2-Serie
itm_r2series_purple|Lila R2-Serie
itm_mse6_armor|MSE-Serie Droid Kropp
itm_lin_droid_armor|LIN Droid Kropp
itm_lin_droid_armor_w_arm|LIN Droid Kropp
itm_power_droid_grey|Kraft Droid
itm_power_droid_snow|Kraft Droid
itm_power_droid_tan|Kraft Droid
itm_fxseries_droid_armor|FX-Serie Medicinsk Droid Kropp
itm_c3po_blue_head|3PO-Serie Huvud
itm_c3po_blue_hands|3PO-Serie Händer
itm_c3po_blue_body|3PO-Serie Kropp
itm_c3po_blue_feet|3PO-Serie Fötter
itm_c3po_gold_head|3PO-Serie Huvud
itm_c3po_gold_hands|3PO-Serie Händer
itm_c3po_gold_body|3PO-Serie Kropp
itm_c3po_gold_feet|3PO-Serie Fötter
itm_c3po_grey_head|3PO-Serie Huvud
itm_c3po_grey_hands|3PO-Serie Händer
itm_c3po_grey_body|3PO-Serie Kropp
itm_c3po_grey_feet|3PO-Serie Fötter
itm_c3po_red_head|3PO-Serie Huvud
itm_c3po_red_hands|3PO-Serie Händer
itm_c3po_red_body|3PO-Serie Kropp
itm_c3po_red_feet|3PO-Serie Fötter
itm_3poseries_gold|3PO-Serie Guld
itm_3poseries_blue|3PO-Serie Blå
itm_3poseries_red|3PO-Serie Röd
itm_3poseries_grey|3PO-Serie Grå
itm_3poseries_attack|3PO-Serie Närstridsattack
itm_b1series_body|B1-Serie Stridsdroid Kropp
itm_bxseries_body|BX-Serie Kommando Droid Kropp
itm_oomseries_body|OOM Säkerhetsdroid Kropp
itm_oomseries_pilot_body|OOM Pilotsdroid Kropp
itm_oomseries_marine_body|OOM Marindroid Kropp
itm_oomseries_command_body|OOM Kommando Droid Kropp
itm_battle_droid_attack|Stridsdroid Närstridsattack
itm_b2series_body|B2-Serie Stridsdroid Kropp
itm_b2series_body_enhanced|C-B3 Stridsdroid Kropp
itm_b2series_attack|B2-Serie Stridsdroid Attack
itm_b2series_blaster|B2-Serie Stridsdroid Blaster
itm_transparent_droid_head|Transparent Huvud (för Droids)
itm_transparent_droid_hands|Transparenta Händer (för Droids)
itm_transparent_droid_feet|Transparenta Fötter (för Droids)
itm_ig88_head|IG-Serie Huvud
itm_ig88_hands|IG-Serie Händer
itm_ig88_body|IG-Serie Kropp
itm_ig88_feet|IG-Serie Fötter
itm_ig88_attack| 
itm_ig88_e11_shield|IG-88's E-11 Sköld
itm_ig88_dlt20a|IG-88's DLT-20A
itm_4lom_head|LOM-Serie Huvud
itm_hk_head|HK-Serie Huvud
itm_hk_hands|HK-Serie Händer
itm_hk_body|HK-Serie Kropp
itm_hk_feet|HK-Serie Fötter
itm_hk_attack| 
itm_mandalorian_tunic|Mandalorisk Tunika
itm_mandalorian_soldier_helmet|Mandalorisk Soldatshjälm
itm_mandalorian_soldier_helmet2|Mandalorisk Soldatshjälm
itm_mandalorian_soldier_helmet3|Mandalorisk Soldatshjälm
itm_mandalorian_soldier_armor|Mandalorisk Soldatsrustning
itm_mandalorian_soldier_armor2|Mandalorisk Soldatsrustning
itm_mandalorian_soldier_boots|Mandalorisk Soldatsstövlar
itm_mandalorian_commando_helmet|Mandalorisk Kommandosoldatshjälm
itm_mandalorian_commando_armor|Mandalorisk Kommandosoldatsrustning
itm_mandalorian_commando_armor2|Mandalorisk Kommandosoldatsrustning
itm_mandalorian_commando_boots|Mandalorisk Kommandosoldatsstövlar
itm_mandalorian_sniper_helmet|Mandalorisk Prickskyttshjälm
itm_mandalorian_sniper_armor|Mandalorisk Prickskyttsrustning
itm_mandalorian_sniper_armor2|Mandalorisk Prickskyttsrustning
itm_mandalorian_sniper_armor3|Mandalorisk Prickskyttsrustning
itm_mandalorian_sniper_boots|Mandalorisk Prickskyttsstövlar
itm_mandalorian_crusader_helmet|Mandalorisk Korsfararhjälm
itm_mandalorian_neocrusader_helmet|Mandalorisk Neo-Korsfararhjälm
itm_mandalorian_crusader_armor|Mandalorisk Korsfararrustning
itm_mandalorian_crusader_boots|Mandalorisk Korsfararstövlar
itm_mandalorian_deadeye_helmet|Mandalorisk Mitt-i-Prick Hjälm
itm_mandalorian_deadeye_armor|Mandalorisk Mitt-i-Prick Rustning
itm_mandalorian_deadeye_armor2|Mandalorisk Mitt-i-Prick Rustning
itm_mandalorian_deadeye_armor3|Mandalorisk Mitt-i-Prick Rustning
itm_mandalorian_deadeye_boots|Mandalorisk Mitt-i-Prick Stövlar
itm_mandalorian_beskar_helmet|Mandalorisk Beskar Hjälm
itm_mandalorian_beskar_armor|Mandalorisk Beskar Rustning
itm_mandalorian_beskar_boots|Mandalorisk Beskar Stövlar
itm_defiler_helmet|Befläckares Hjälm
itm_defiler_armor|Befläckares Rustning
itm_defiler_boots|Befläckares Stövlar
itm_black_sun_helmet|Svarta-Solen Hjälm
itm_black_sun_helmet_tan|Svarta-Solen Hjälm
itm_black_sun_helmet_teal|Svarta-Solen Hjälm
itm_black_sun_helmet_red|Svarta-Solen Hjälm
itm_black_sun_armor|Svarta-Solen Rustning
itm_black_sun_armor_tan|Svarta-Solen Rustning
itm_black_sun_armor_teal|Svarta-Solen Rustning
itm_black_sun_armor_red|Svarta-Solen Rustning
itm_gamorrean_armor|Gammorean Rustning
itm_moncal_armor|Mon Cala Rustning
itm_moncal_armor_2|Mon Cala Rustning
itm_moncal_boots|Mon Cala Stövlar
itm_moncal_helmet|Mon Cala Hjälm
itm_twilek_armor|Twi'lek Rustning
itm_jawa_hood|Jawa Huvud
itm_jawa_robe|Jawa Rock
itm_jawa_boots|Jawa Stövlar
itm_tusken_helmet|Tusken Hjälm
itm_tusken_armor|Tusken Rustning
itm_trandoshan_armor|Trandoshiansk Rustning
itm_geonosian_armor|Geonosisk Rustning
itm_lightsaber_green_arena|Ljussabel
itm_lightsaber_blue_arena|Ljussabel
itm_lightsaber_yellow_arena|Ljussabel
itm_lightsaber_red_arena|Ljussabel
itm_lightsaber_green|Ljussabel
itm_lightsaber_blue|Ljussabel
itm_lightsaber_orange|Ljussabel
itm_lightsaber_purple|Ljussabel
itm_lightsaber_yellow|Ljussabel
itm_lightsaber_red|Ljussabel
itm_lightsaber_green_reverse|Omvänt Grepp Ljussabel
itm_lightsaber_blue_reverse|Omvänt Grepp Ljussabel
itm_lightsaber_orange_reverse|Omvänt Grepp Ljussabel
itm_lightsaber_purple_reverse|Omvänt Grepp Ljussabel
itm_lightsaber_yellow_reverse|Omvänt Grepp Ljussabel
itm_lightsaber_red_reverse|Omvänt Grepp Ljussabel
itm_lightsaber_blue_double|Dubbelbladad Ljussabel
itm_lightsaber_green_double|Dubbelbladad Ljussabel
itm_lightsaber_orange_double|Dubbelbladad Ljussabel
itm_lightsaber_purple_double|Dubbelbladad Ljussabel
itm_lightsaber_red_double|Dubbelbladad Ljussabel
itm_lightsaber_yellow_double|Dubbelbladad Ljussabel
itm_lightsaber_green_2h|Tvåhands Ljussabel
itm_lightsaber_blue_2h|Tvåhands Ljussabel
itm_lightsaber_orange_2h|Tvåhands Ljussabel
itm_lightsaber_purple_2h|Tvåhands Ljussabel
itm_lightsaber_yellow_2h|Tvåhands Ljussabel
itm_lightsaber_red_2h|Tvåhands Ljussabel
itm_lightsaber_green_1h|Enhands Ljussabel
itm_lightsaber_blue_1h|Enhands Ljussabel
itm_lightsaber_orange_1h|Enhands Ljussabel
itm_lightsaber_purple_1h|Enhands Ljussabel
itm_lightsaber_yellow_1h|Enhands Ljussabel
itm_lightsaber_red_1h|Enhands Ljussabel
itm_lightsaber_green_pike|Ljussabels Pik
itm_lightsaber_blue_pike|Ljussabels Pik
itm_lightsaber_orange_pike|Ljussabels Pik
itm_lightsaber_purple_pike|Ljussabels Pik
itm_lightsaber_yellow_pike|Ljussabels Pik
itm_lightsaber_red_pike|Ljussabels Pik
itm_darth_vader_lightsaber|Darth Vaders Ljussabel
itm_obi_wan_lightsaber|Obi-Wan Kenobis Ljussabel
itm_luke_skywalker_lightsaber|Luke Skywalkers Ljussabel
itm_anakin_skywalker_lightsaber|Anakin Skywalkers Ljussabel
itm_lightsaber_red_multikill|Fler-träffs Ljussabel (Under utveckling)
itm_melee_punch| 
itm_durasteel_staff|Durastål Stav
itm_electro_staff_medium|Elektrostav
itm_electro_staff_long|Elektrostav
itm_gamorrean_axe_1h|Enhands Gammorean Yxa
itm_gamorrean_axe_2h|Tvåhands Gammorean Yxa
itm_vibro_axe_medium_1h|Enhands Vibroyxa
itm_vibro_axe_medium_2h|Tvåhands Vibroyxa
itm_vibro_axe_long_1h|Enhands Vibroyxa
itm_vibro_axe_long_2h|BD-1 Skärar Vibroyxa
itm_tusken_gaffi_staff|Gaffi Stav
itm_tusken_gaffi_stick|Gaffi Käpp
itm_durasteel_mace|Durastål Klubba
itm_baton|Batong
itm_trandoshan_blade|Trandoshan Blad
itm_durasteel_bat|Durastål Slagträ
