p_shipyard_trade_federation|Federacja Handlowa
p_minorplanet_49|Księżyc Mustafar
p_minorplanet_50|Dosuun
p_minorplanet_51|Yaga Minor
p_minorplanet_52|Nar Kreeta
p_minorplanet_53|Pzob
p_minorplanet_54|Barab I
p_minorplanet_55|Lamaredd
p_minorplanet_56|Ithor
p_minorplanet_57|Kuat
p_minorplanet_58|Rodia
p_minorplanet_59|Bastion
p_minorplanet_60|Anobis
p_minorplanet_61|Thisspias
p_minorplanet_62|Vjun
p_minorplanet_63|Drongar
p_minorplanet_64|Księżyc Kamino
p_minorplanet_65|Mimban
p_minorplanet_66|Alaris Prime
p_minorplanet_67|Wayland
p_minorplanet_68|Vulpter
p_minorplanet_69|Bimmiel
p_minorplanet_70|Księżyc Gamorr 
p_minorplanet_71|Concordia
p_minorplanet_72|Bogden
p_minorplanet_73|Księżyc Dagobah
p_minorplanet_74|Roon
p_minorplanet_75|Almania
p_minorplanet_76|Obroa Skai
p_minorplanet_77|Ord Mantell
p_minorplanet_78|Charros IV
p_minorplanet_79|Księżyc Manaan
p_minorplanet_80|N'Zoth
p_minorplanet_81|Brentaal
p_minorplanet_82|Garqi
p_minorplanet_83|Xal 3
p_minorplanet_84|księżyc Christophsis
p_minorplanet_85|Phindar
p_minorplanet_86|Vaal
p_minorplanet_87|Serenno
p_minorplanet_88|Derra IV
p_minorplanet_89|Księżyc Ryloth
p_minorplanet_90|Khomm
p_training_ground|Obóz Szkoleniowy
p_training_ground_1|Akademia Treningowa
p_training_ground_2|Akademia Treningowa
p_training_ground_3|Akademia Treningowa
p_training_ground_4|Akademia Treningowa
p_training_ground_5|Akademia Treningowa
