1039
qstr_X:_00Y:_00 X:_00,Y:_00
qstr_Walks Walks
qstr_{reg1}_credits {reg1}_credits
qstr_^^_The_price_is_{reg ^^_The_price_is_{reg1}_credits
qstr_{s10}^^Upgrade_Detai {s10}^^Upgrade_Details:^^____Base_Speed:_{reg2}^____Drive:_{reg3}_of_{reg4}^____Scanner:_{reg5}_of_{reg6}^____Combat_Computer:_{reg7}_of_{reg8}^____Troop_Capacity:_{reg9}_of_{reg10}^____Medical_Bay:_{reg11}_of_{reg12}^____Prisoner_Capacity:_{reg13}_of_{reg14}^____Trade_Computer:_{reg15}_of_{reg16}^____Cargo_Capacity:_{reg17}_of_{reg18}
qstr_Shipyard_Stock_List_ Shipyard_Stock_List_-_select_the_ship_you_want_to_view_or_purchase
qstr_{s3} {s3}
qstr_{s5} {s5}
qstr_Buy_the_ship Buy_the_ship
qstr_Go_back... Go_back...
qstr_You_have_{reg45}_cre You_have_{reg45}_credits
qstr_view view
qstr_The_{s3}_is_waiting_ The_{s3}_is_waiting_for_you_on_the_docking_bay.
qstr_Ship_Details Ship_Details
qstr_Ship_system Ship_system
qstr_Current Current
qstr_Max Max
qstr_Upgrade_price__credi Upgrade_price_(credits)
qstr_Drive Drive
qstr_Scanners Scanners
qstr_Troop_Capacity Troop_Capacity
qstr_Prisoner_Capacity Prisoner_Capacity
qstr_Cargo_Capacity Cargo_Capacity
qstr_Combat_Computer Combat_Computer
qstr_Trade_Computer Trade_Computer
qstr_Medical_Bay Medical_Bay
qstr_{reg2} {reg2}
qstr_{reg3} {reg3}
qstr_{reg4} {reg4}
qstr_{reg5} {reg5}
qstr_{reg6} {reg6}
qstr_{reg7} {reg7}
qstr_{reg8} {reg8}
qstr_{reg9} {reg9}
qstr_{reg10} {reg10}
qstr_{reg11} {reg11}
qstr_{reg12} {reg12}
qstr_{reg13} {reg13}
qstr_{reg14} {reg14}
qstr_{reg15} {reg15}
qstr_{reg16} {reg16}
qstr_{reg17} {reg17}
qstr_{reg18} {reg18}
qstr_{reg19} {reg19}
qstr_{reg20} {reg20}
qstr_{reg21} {reg21}
qstr_{reg22} {reg22}
qstr_{reg23} {reg23}
qstr_{reg24} {reg24}
qstr_{reg25} {reg25}
qstr_Buy Buy
qstr_Sale_price_{reg0}_cr Sale_price_{reg0}_credits
qstr_Sell_the_ship Sell_the_ship
qstr_Your_upgrade_has_bee Your_upgrade_has_been_installed.
qstr_Your_ship_has_been_s Your_ship_has_been_sold
qstr_Over: Over:
qstr_Selected: Selected:
qstr_As_you_grew_older_yo As_you_grew_older_you_decided_to_join...
qstr_Go_Back... Go_Back...
qstr_Remain_Independent. Remain_Independent.
qstr_Galactic_Empire Galactic_Empire
qstr_Rebel_Alliance Rebel_Alliance
qstr_Hutt_Cartel Hutt_Cartel
qstr_Selected:_{reg5} Selected:_{reg5}
qstr_You_decide_it_is_now You_decide_it_is_now_time_to_leave_your_family_and_seek_you_own_fortune.
qstr_After_visiting_the_r After_visiting_the_recruiting_center_you_were_accepted_into_the_army_and_spent_several_months_training_at_the_Imperial_Academy._As_your_last_task_before_graduation_you_were_given_a_small_ship_and_sent_to_Coruscant_to_pledge_your_loyalty_before_Emperor_Palpatine_himself.
qstr_Using_some_of_your_l Using_some_of_your_local_contacts_you_eventually_arranged_a_meeting_with_a_rebel_commander._After_working_with_his_unit_for_several_months_you_have_been_given_a_small_ship_and_sent_to_Yavin_IV_to_pledge_your_loyalty_before_Mon_Mothma_herself.
qstr_You_spent_several_mo You_spent_several_months_doing_random_jobs_for_the_local_crime_lord._Thievery_and_murder_became_a_common_part_of_your_life_and_you_developed_enough_of_a_reputation_that_you_were_given_a_small_ship_and_sent_to_Tatooine_to_pledge_your_loyalty_before_Jabba_the_Hutt.
qstr_Over:_{reg3}{reg4} Over:_{reg3},{reg4}
qstr_You_spent_your_early You_spent_your_early_years_traveling_around_the_galaxy_with_your_parents._Your_father_was...
qstr_Ambassador Ambassador
qstr_Merchant Merchant
qstr_Soldier Soldier
qstr_{s1}_of_{s3}_was_def {s1}_of_{s3}_was_defeated_in_battle_but_managed_to_escape.
qstr_DEBUG:_{s1}_no_longe DEBUG:_{s1}_no_longer_leads_a_party.
qstr_DEBUG:_{s1}_is_no_lo DEBUG:_{s1}_is_no_longer_a_prisoner.
qstr_DEBUG:_{s1}_is_now_a DEBUG:_{s1}_is_now_a_prisoner_of_player.
qstr_DEBUG:_{s1}_is_now_a_ DEBUG:_{s1}_is_now_a_prisoner_of_{s2}.
qstr_+{reg1}_to_party_mor +{reg1}_to_party_morale
qstr_Requires_{reg1}_inte Requires_{reg1}_intelligence_to_view
qstr_Viewing_Progress:_{r Viewing_Progress:_{reg1}%
qstr_wound_treament wound_treament
qstr_tactics tactics
qstr_first_aid first_aid
qstr_ironflesh ironflesh
qstr_mounted_accuracy mounted_accuracy
qstr_trainer trainer
qstr_surgery surgery
qstr_trade trade
qstr_+1_to_{s1}_while_in_ +1_to_{s1}_while_in_inventory
qstr_+1_to_Ironflesh_when +1_to_Ironflesh_when_worn
qstr_+1_to_Mounted_Accura +1_to_Mounted_Accuracy_when_worn^Press_'{s1}'_to_enable_Helmet_View
qstr_+2_to_Engineer_when_ +2_to_Engineer_when_worn
qstr_+1_to_Tactics_when_w +1_to_Tactics_when_worn
qstr_+1_to_Leadership_whe +1_to_Leadership_when_worn
qstr_+1_to_Power_Strike_w +1_to_Power_Strike_when_worn
qstr_Press__{s1}__to_heal Press_'{s1}'_to_heal_player^(Bacta_Capsule_required)
qstr_Heals_20hp^_Bacta_In Heals_20hp^(Bacta_Injector_required)
qstr_Press__{s1}__to_enab Press_'{s1}'_to_enable_Helmet_View
qstr_Press__{s1}__to_togg Press_'{s1}'_to_toggle_weapon_capabilities
qstr_Press__{s1}__to_use Press_'{s1}'_to_use
qstr_Refills_ammo_of_near Refills_ammo_of_nearby_team_when_equipped
qstr_Refills_health_of_ne Refills_health_of_nearby_team_when_equipped
qstr_Ammo_for_Force_Power Ammo_for_Force_Powers
qstr_Hurts_player_when_us Hurts_player_when_used
qstr_Ammo_clip_size:_{reg Ammo_clip_size:_{reg1}
qstr_Press__{s1}__to_toggl Press_'{s1}'_to_toggle_weapon_firing_position
qstr_Usable_in_a_Pistol Usable_in_a_Pistol
qstr_Usable_in_a_Rifle Usable_in_a_Rifle
qstr_Allows_Shield_Bash Allows_Shield_Bash
qstr_Requires_Force_Push_ Requires_Force_Push_or_Force_Lightning
qstr_Move_here Move_here
qstr_View_notes View_notes
qstr__{s61} _{s61}
qstr_ERROR:_More_than_15_ ERROR:_More_than_15_trade_routes_are_given_for_{s1}.
qstr_{reg4}_killed_{reg5} {reg4}_killed,_{reg5}_wounded
qstr_killed killed
qstr_wounded wounded
qstr_{reg3?{reg3}:}_{s1}_ {reg3?{reg3}:}_{s1}_({s2})
qstr_{s0}_{reg3?{reg3}:}_ {s0},_{reg3?{reg3}:}_{s1}_({s2})
qstr_{s0}^{reg3?{reg3}:}_ {s0}^{reg3?{reg3}:}_{s1}_({s2})
qstr_{s0}^TOTAL:_{reg3}__ {s0}^TOTAL:_{reg3}_({s2})
qstr_None None
qstr_^None ^None
qstr_nothing nothing
qstr_{reg0}_village{reg1? {reg0}_village{reg1?s:}
qstr_{reg0}_castle{reg1?s {reg0}_castle{reg1?s:}
qstr_{reg0}_castle{reg1?s: {reg0}_castle{reg1?s:}_and_{s0}
qstr_{reg0}_town{reg1?s:} {reg0}_town{reg1?s:}
qstr_{reg0}_town{reg1?s:}_ {reg0}_town{reg1?s:}_and_{s0}
qstr_{reg0}_town{reg1?s:}_{ {reg0}_town{reg1?s:},_{s0}
qstr_Your_opponents_are_r Your_opponents_are_ready_for_the_fight.
qstr_Try_to_destroy_as_ma Try_to_destroy_as_many_targets_as_you_can._You_have_two_and_a_half_minutes_to_clear_the_track.
qstr_Stay_behind_the_line Stay_behind_the_line_on_the_ground_and_shoot_the_targets._Try_not_to_waste_any_shots.
qstr_Battle_Advantage_=_{ Battle_Advantage_=_{reg0}.
qstr_{s9}_wants_you_to_re {s9}_wants_you_to_resume_following_his_army_until_further_notice.
qstr__Being_Raided_ (Being_Raided)
qstr__Looted_ (Looted)
qstr__Under_Siege_ (Under_Siege)
qstr_The_planet_of_{s1}_h The_planet_of_{s1}_has_been_looted_by_{s2}.
qstr_{s3}_is_no_longer_un {s3}_is_no_longer_under_siege.
qstr_Enemies_spotted_near Enemies_spotted_near_{s1}.
qstr_{s1}_has_been_besieg {s1}_has_been_besieged_by_{s2}_of_{s3}.
qstr_{s1}_is_chosen_as_th {s1}_is_chosen_as_the_marshall_of_{s2}.
qstr_{s1}_is_the_new_mars {s1}_is_the_new_marshall_of_{s2}.
qstr_{s1}_decided_to_do_n {s1}_decided_to_do_nothing.
qstr_{s1}_decided_to_gath {s1}_decided_to_gather_army.
qstr_{s1}_decided_to_besi {s1}_decided_to_besiege_{s2}.
qstr_{s1}_decided_to_raid {s1}_decided_to_raid_{s2}.
qstr_{s1}_decided_to_atta {s1}_decided_to_attack_{s2}.
qstr_{s1}_decided_to_attac {s1}_decided_to_attack_enemies_around_{s2}.
qstr_You_gained_{reg12}_r You_gained_{reg12}_renown.
qstr_You_lose_{reg12}_ren You_lose_{reg12}_renown.
qstr_Your_relation_with_{ Your_relation_with_{s1}_has_improved.
qstr_Your_relation_with_{s Your_relation_with_{s1}_has_deteriorated.
qstr_You_gain_honour. You_gain_honour.
qstr_You_lose_honour. You_lose_honour.
qstr_{s1}_has_declared_wa {s1}_has_declared_war_against_{s2}.
qstr_{s1}_and_{s2}_are_in {s1}_and_{s2}_are_in_war_for_the_galactic_supremacy.
qstr_{s1}_and_{s2}_have_m {s1}_and_{s2}_have_made_peace_with_each_other.
qstr_{s2}_{reg3?was:is_cu {s2}_{reg3?was:is_currently}_at_{s3}.
qstr_{s2}_{reg3?was:is}_t {s2}_{reg3?was:is}_travelling_to_{s3}_and_{reg4?she:he}_{reg3?was:should_be}_close_to_{s4}{reg3?:_at_the_moment}.
qstr_{s2}_{reg3?was:is}_i {s2}_{reg3?was:is}_in_wilderness_and_{reg4?she:he}_{reg3?was:should_be}_close_to_{s3}{reg3?:_at_the_moment}.
qstr_{s2}_{reg3?was:is}_b {s2}_{reg3?was:is}_being_held_captive_at_{s3}.
qstr_{s2}_{reg3?was:has_b {s2}_{reg3?was:has_been}_taken_captive_by_{reg4?her:his}_enemies.
qstr_{reg3?{s2}_s_locatio {reg3?{s2}'s_location_was_unknown:I_don't_know_where_{s2}_is}.
qstr_{s6}_has_joined_your {s6}_has_joined_your_party
qstr_You_now_owe_{reg2}_d You_now_owe_{reg2}_denars_to_{s1}.
qstr_Renown_value_for_thi Renown_value_for_this_battle_is_{reg8}.
qstr_You_have_run_into_a_ You_have_run_into_a_trap!
qstr_You_are_attacked_by_ You_are_attacked_by_a_group_of_bandits!
qstr_Holding Holding
qstr_Following Following
qstr_Charging Charging
qstr_Advancing Advancing
qstr_Falling_Back Falling_Back
qstr_Standing_Closer Standing_Closer
qstr_Spreading_Out Spreading_Out
qstr_Standing Standing
qstr_N/A N/A
qstr_Free Free
qstr_Any_Weapon Any_Weapon
qstr_Blunt_Weapons Blunt_Weapons
qstr_Infantry__{reg1}_ Infantry_({reg1})
qstr_Archers__{reg2}_ Archers_({reg2})
qstr_Cavalry__{reg3}_ Cavalry_({reg3})
qstr_{s1}_Rebels {s1}_Rebels
qstr_Given_by:_{s62} Given_by:_{s62}
qstr_Given_on:_{s60} Given_on:_{s60}
qstr_You_have_{reg0}_days You_have_{reg0}_days_to_finish_this_quest.
qstr_This_quest_has_been_ This_quest_has_been_concluded._Talk_to_{s59}_to_finish_it.
qstr_This_quest_has_been_s This_quest_has_been_successfully_completed._Talk_to_{s59}_to_claim_your_reward.
qstr_This_quest_has_faile This_quest_has_failed._Talk_to_{s59}_to_explain_the_situation.
qstr_At_the_time_quest_wa At_the_time_quest_was_given:^{s1}
qstr_{s4}_is_in_{s5} {s4}_is_in_{s5}
qstr_{s1}_is_infested_by_ {s1}_is_infested_by_bandits.
qstr_nowhere nowhere
qstr_{s7}_and_{s8} {s7}_and_{s8}
qstr_{s7}_{s8} {s7},_{s8}
qstr_noone noone
qstr_{s9}_and_{s10} {s9}_and_{s10}
qstr_{s9}_{s10} {s9},_{s10}
qstr_{s11}_and_{s12} {s11}_and_{s12}
qstr_{s11}_{s12} {s11},_{s12}
qstr_{s5}_is_ruled_by_{s6 {s5}_is_ruled_by_{s6}.^It_occupies_{s8}.^Its_vassals_are_{s10}.^{s5}_is_at_war_with_{s12}.
qstr_{s5}_has_been_defeat {s5}_has_been_defeated!
qstr_{s5}_has_a_strength_ {s5}_has_a_strength_of_{reg1}_men_in_total.
qstr_{s54}_is_a_claimant_ {s54}_is_a_claimant_to_the_throne_of_{s56}.
qstr_{s57}_and_{s58} {s57}_and_{s58}
qstr_{s57}_{s58} {s57},_{s58}
qstr_{reg3?She:He} {reg3?She:He}
qstr_^{s59} ^{s59}
qstr_{reg6?:{reg4?{s54}_i {reg6?:{reg4?{s54}_is_the_ruler_of_{s56}.^:{s54}_is_a_vassal_of_{s55}_of_{s56}.^}}Renown:_{reg5}.^{reg9?{reg3?She:He}_is_the_{reg3?lady:lord}_of_{s58}.:{reg3?She:He}_has_no_territories.}{s59}
qstr_The_last_time_you_sa The_last_time_you_saw_{reg1?her:him},_{s1}
qstr_The_last_time_you_he The_last_time_you_heard_about_{reg1?her:him},_{s1}
qstr_The_planet_of_{s50} The_planet_of_{s50}
qstr_The_planet_of_{s50}_ The_planet_of_{s50}_near_{s52}
qstr_{s50} {s50}
qstr_{s51}_belongs_to_{s1 {s51}_belongs_to_{s1}_of_{s2}.^
qstr_{s2}It_has_no_villag {s2}It_has_no_villages.^
qstr_{s2}{reg0?Its_planet {s2}{reg0?Its_planets_are:Its_planet_is}_{s8}.^
qstr_{s2}Its_prosperity_i {s2}Its_prosperity_is:_{s50}
qstr_Current_garrison_con Current_garrison_consists_of_{reg5}_men.^Has_food_stock_for_{reg6}_days.
qstr_Very_Poor Very_Poor
qstr_Poor Poor
qstr_Average Average
qstr_Rich Rich
qstr_Very_Rich Very_Rich
qstr_Palace Palace
qstr_A_palace_lets_you_re A_palace_lets_you_rest_on_the_planet_and_pay_your_troops_half_wages_while_you_rest.
qstr_Industrial_Factory Industrial_Factory
qstr_A_industrial_factory A_industrial_factory_increases_planet_prosperity_by_5%.
qstr_Radar_Station Radar_Station
qstr_A_radar_station_lets A_radar_station_lets_the_citizens_raise_alarm_earlier._The_time_it_takes_for_enemies_to_loot_the_planet_increases_by_25%.
qstr_Educational_Facility Educational_Facility
qstr_A_educational_facili A_educational_facility_increases_the_loyality_of_the_citizens_to_you_by_+1_every_month.
qstr_Communications_Cente Communications_Center
qstr_A_communications_cen A_communications_center_lets_the_inhabitants_send_you_a_message_whenever_enemies_are_nearby,_even_if_you_are_far_away_from_here.
qstr_Prison_Tower Prison_Tower
qstr_A_prison_tower_reduc A_prison_tower_reduces_the_chance_of_captives_held_here_running_away_successfully.
qstr_Cloning_Chambers Cloning_Chambers
qstr_A_cloning_chamber_gi A_cloning_chamber_gives_you_the_chance_to_recruit_clone_troopers.
qstr_Droid_Foundry Droid_Foundry
qstr_A_droid_foundry_give A_droid_foundry_gives_you_the_chance_to_build_battle_droids.
qstr_Force_Sensitive_Temp Force-Sensitive_Temple
qstr_A_force_sensitive_te A_force-sensitive_temple_gives_you_the_chance_to_recruit_force_sensitives.
qstr_Rancor_Pit Rancor_Pit
qstr_A_rancor_pit_gives_y A_rancor_pit_gives_you_the_chance_to_breed_baby_rancors.
qstr_Prosperity_of_{s2}_h Prosperity_of_{s2}_has_changed_from_{s3}_to_{s4}.
qstr_{s4}_looks_upset. {s4}_looks_upset.
qstr_your_party your_party
qstr_{reg0?One_of_your_pr {reg0?One_of_your_prisoners,_:}{s1}_of_{s3}_has_escaped_from_captivity!
qstr_You_brought_a_herd_o You_brought_a_herd_of_{reg3}_nerfs_to_{s1}.
qstr_I_heard_that_there_w I_heard_that_there_will_be_a_tournament_in_{s62}_soon.
qstr_I_heard_that_one_can I_heard_that_one_can_buy_{s62}_very_cheap_at_{s63}.
qstr_I_heard_that_they_pa I_heard_that_they_pay_a_very_high_price_for_{s62}_at_{s63}.
qstr_Log_entry_{reg3}:_ty Log_entry_{reg3}:_type_{reg4}
qstr_Center:_{s4} Center:_{s4}
qstr_Troop:_{s4} Troop:_{s4}
qstr_Lord:_{s4} Lord:_{s4}
qstr_Ally_party_is_presen Ally_party_is_present
qstr_{s4}_is_present_at_e {s4}_is_present_at_event
qstr_Event_#{reg5}_type_{ Event_#{reg5},_type_{reg6},_time_{reg8}:_player's_kingdom_relation_to_troop_object_=_{reg7}
qstr_Event_#{reg5}_type_{r Event_#{reg5},_type_{reg6},_time_{reg8}:_player's_kingdom_relation_to_center_object_faction_=_{reg7}
qstr_Event_#{reg5}_type_{re Event_#{reg5},_type_{reg6},_time_{reg8}:_player's_kingdom_relation_to_faction_object_=_{reg7}
qstr_Event_#{reg5}_type_{reg Event_#{reg5},_type_{reg6},_time_{reg8}._No_relevant_kingdom_relation
qstr_Event_#{reg5}_type_{reg6 Event_#{reg5},_type_{reg6},_time_{reg8}._Player_unaffiliated
qstr_Elapsed_hours:_{reg7 Elapsed_hours:_{reg7}
qstr_Reputation_type:_{s1 Reputation_type:_{s15}
qstr_Entries_up_to_#{reg5 Entries_up_to_#{reg5}_skipped
qstr_Delivered_{reg12}_da Delivered_{reg12}_damage.
qstr_Received_{reg12}_dam Received_{reg12}_damage.
qstr_{s0}^{s1} {s0}^{s1}
qstr_Delivered_{reg1}_dam Delivered_{reg1}_damage.
qstr_Received_%d_damage. Received_%d_damage.
qstr_{s9}^^^Level:_{reg3} {s9}^^^Level:_{reg3}^Health:_{reg2}%^Morale:_{reg1}
qstr_sir sir
qstr_my_Lord my_Lord
qstr_man man
qstr_his his
qstr_Lord Lord
qstr_him him
qstr_husband husband
qstr_madam madam
qstr_my_Lady my_Lady
qstr_lady lady
qstr_her her
qstr_Lady Lady
qstr_wife wife
qstr_{reg1?madam:sir} {reg1?madam:sir}
qstr_{reg1?my_Lady:my_Lor {reg1?my_Lady:my_Lord}
qstr_{reg1?lady:man} {reg1?lady:man}
qstr_{reg1?lady:sir} {reg1?lady:sir}
qstr_{reg1?her:his} {reg1?her:his}
qstr_{reg1?Lady:Lord} {reg1?Lady:Lord}
qstr_{reg1?her:him} {reg1?her:him}
qstr_{reg1?husband:wife} {reg1?husband:wife}
qstr_{reg1?Madam:Sir} {reg1?Madam:Sir}
qstr_No_Troops_Left. No_Troops_Left.
qstr_Selected_Troop:_{s1} Selected_Troop:_{s1}
qstr_MAXIMUM_25_character MAXIMUM_25_characters.__The_last_character_was_not_recorded
qstr_{s10}_ {s10}_
qstr_{s10}1 {s10}1
qstr_{s10}2 {s10}2
qstr_{s10}3 {s10}3
qstr_{s10}4 {s10}4
qstr_{s10}5 {s10}5
qstr_{s10}6 {s10}6
qstr_{s10}7 {s10}7
qstr_{s10}8 {s10}8
qstr_{s10}9 {s10}9
qstr_{s10}0 {s10}0
qstr_{s10}A_polish {s10}A-polish
qstr_{s10}A {s10}A
qstr_{s10}a_polish {s10}a-polish
qstr_{s10}a {s10}a
qstr_{s10}B {s10}B
qstr_{s10}b {s10}b
qstr_{s10}C_polish {s10}C-polish
qstr_{s10}C {s10}C
qstr_{s10}c_polish {s10}c-polish
qstr_{s10}c {s10}c
qstr_{s10}D {s10}D
qstr_{s10}d {s10}d
qstr_{s10}E_polish {s10}E-polish
qstr_{s10}E {s10}E
qstr_{s10}e_polish {s10}e-polish
qstr_{s10}e {s10}e
qstr_{s10}F {s10}F
qstr_{s10}G {s10}G
qstr_{s10}g {s10}g
qstr_{s10}H {s10}H
qstr_{s10}h {s10}h
qstr_{s10}I {s10}I
qstr_{s10}i {s10}i
qstr_{s10}J {s10}J
qstr_{s10}j {s10}j
qstr_{s10}K {s10}K
qstr_{s10}k {s10}k
qstr_{s10}L_polish {s10}L-polish
qstr_{s10}L {s10}L
qstr_{s10}l_polish {s10}l-polish
qstr_{s10}l {s10}l
qstr_{s10}M {s10}M
qstr_{s10}m {s10}m
qstr_{s10}N_polish {s10}N-polish
qstr_{s10}N {s10}N
qstr_{s10}n_polish {s10}n-polish
qstr_{s10}n {s10}n
qstr_{s10}O_polish {s10}O-polish
qstr_{s10}O {s10}O
qstr_{s10}o_polish {s10}o-polish
qstr_{s10}o {s10}o
qstr_{s10}P {s10}P
qstr_{s10}p {s10}p
qstr_{s10}Q {s10}Q
qstr_{s10}q {s10}q
qstr_{s10}R {s10}R
qstr_{s10}r {s10}r
qstr_{s10}S_polish {s10}S-polish
qstr_{s10}S {s10}S
qstr_{s10}s_polish {s10}s-polish
qstr_{s10}s {s10}s
qstr_{s10}T {s10}T
qstr_{s10}t {s10}t
qstr_{s10}U {s10}U
qstr_{s10}u {s10}u
qstr_{s10}V {s10}V
qstr_{s10}v {s10}v
qstr_{s10}W {s10}W
qstr_{s10}w {s10}w
qstr_{s10}X_polish {s10}X-polish
qstr_{s10}X {s10}X
qstr_{s10}x_polish {s10}x-polish
qstr_{s10}x {s10}x
qstr_{s10}Y {s10}Y
qstr_{s10}y {s10}y
qstr_{s10}Z_polish {s10}Z-polish
qstr_{s10}Z {s10}Z
qstr_{s10}z_polish {s10}z-polish
qstr_{s10}z {s10}z
qstr_1 1
qstr_2 2
qstr_3 3
qstr_4 4
qstr_5 5
qstr_6 6
qstr_7 7
qstr_8 8
qstr_9 9
qstr_0 0
qstr_a a
qstr_b b
qstr_c c
qstr_d d
qstr_e e
qstr_f f
qstr_g g
qstr_h h
qstr_i i
qstr_j j
qstr_k k
qstr_l l
qstr_m m
qstr_n n
qstr_o o
qstr_p p
qstr_q q
qstr_r r
qstr_s s
qstr_t t
qstr_u u
qstr_v v
qstr_w w
qstr_x x
qstr_y y
qstr_z z
qstr_numpad_0 numpad_0
qstr_numpad_1 numpad_1
qstr_numpad_2 numpad_2
qstr_numpad_3 numpad_3
qstr_numpad_4 numpad_4
qstr_numpad_5 numpad_5
qstr_numpad_6 numpad_6
qstr_numpad_7 numpad_7
qstr_numpad_8 numpad_8
