itm_horse_meat|Hästkött
itm_clone_trooper_gloves_green|Klonsoldat Handskar
itm_clone_trooper_gloves_blue|Klonsoldat Handskar
itm_clone_trooper_gloves_red|Klonsoldat Handskar
itm_clone_trooper_gloves_yellow|Klonsoldat Handskar
itm_clone_trooper_gloves_orange|Klonsoldat Handskar
itm_grey_gloves_with_bottle|Grå Handskar med Flaska
itm_leather_boots|Läder Stövlar
itm_leather_boots_reinforced|Förstärkta Läder Stövlar
# itm_black_boots|Black Boots
# itm_black_boots_reinforced|Reinforced Black Boots
# itm_grey_boots|Grey Boots
# itm_white_boots|White Boots
# itm_white_boots_reinforced|Reinforced White Boots
itm_imperial_royal_guard_boots|Imperisk Royal Guard Stövlar
itm_imperial_stormtrooper_boots|Imperisk Stormtrooper Stövlar
itm_imperial_stormtrooper_boots_incinerator|Incinerator Trooper Stövlar
# itm_imperial_stormtrooper_boots_novatrooper|Novatrooper Boots
itm_imperial_scout_trooper_boots|Imperisk Scout Trooper Stövlar
itm_shadow_scout_trooper_boots|Shadow Scout Trooper Stövlar
itm_clone_trooper_boots|Klonsoldat Stövlar
# itm_lobot_headgear|Borg Construct Aj^6
# itm_glasses_black|Shooting Glasses
# itm_glasses_yellow|Shooting Glasses
# itm_eyepiece_tactics|Tactics Eyepiece
# itm_eyepiece_leadership|Leadership Eyepiece
itm_slave_neck_chain|Slav halskedja
itm_officer_hat_white|Officer Hatt
# itm_civilian_cloak_hood|Civilian Cloak and Hood
itm_imperial_hat_green|Imperisk Hatt
itm_imperial_hat_black|Imperisk Hatt
itm_imperial_hat_grey|Imperisk Hatt
itm_rebel_technician_helmet|Rebell Kadett Hjälm
itm_rebel_trooper_helmet|Rebell Soldat Hjälm
# itm_rebel_heavy_trooper_helmet|Rebel Heavy Trooper Helmet
# itm_rebel_honor_guard_helmet|Rebel Honor Guard Helmet
# itm_transparent_helmet|Transparent Helmet
# itm_imperial_trooper_helmet|Imperial Trooper Helmet
# itm_imperial_gunner_helmet|Imperial Gunner Helmet
# itm_imperial_navy_trooper_helmet|Imperial Navy Trooper Helmet
# itm_mercenary_helmet|Mercenary Helmet
# itm_trandoshan_mask|Trandoshan Mask
# itm_trandoshan_helmet|Trandoshan Helmet
# itm_cap_military|Cap
# itm_cap_civilian_a|Cap
# itm_ewok_hat|Ewok Hat
# itm_rancor_keeper_hat|Rancor Keeper Hat
# itm_rodian_ventilator|Rodian Ventilator
# itm_rodian_ventilator_black|Rodian Ventilator
# itm_rodian_ventilator_red|Rodian Ventilator
itm_gamorrean_helmet|Gammoreansk Hjälm
# itm_fang_helmet|Fang Helmet
# itm_beak_helmet|Beak Helmet
itm_gas_mask|Gas Mask
# itm_mining_helmet|Mining Helmet
# itm_pipe_helmet|Pipe Helmet
# itm_skiff_guard_helmet|Skiff Guard Helmet
# itm_imperial_stormtrooper_helmet|Imperial Stormtrooper Helmet
# itm_imperial_stormtrooper_helmet_incinerator|Incinerator Trooper Helmet
# itm_imperial_stormtrooper_helmet_novatrooper|Novatrooper Helmet
itm_imperial_pilot_helmet|Imperisk Pilot Hjälm
itm_clone_trooper_head|Klonsoldat Huvud
itm_clone_trooper_head_scar|Klonsoldat Huvud
itm_clone_trooper_helmet_white|Klonsoldat Hjälm (Vit)
itm_clone_trooper_helmet_green|Klonsoldat Hjälm (Grön)
itm_clone_trooper_helmet_blue|Klonsoldat Hjälm (Blå)
itm_clone_trooper_helmet_red|Klonsoldat Hjälm (Röd)
itm_clone_trooper_helmet_yellow|Klonsoldat Hjälm (Gul)
itm_clone_trooper_helmet_orange|Klonsoldat Hjälm (Orange)
itm_clone_trooper_helmet_mand|Klonsoldat Hjälm
itm_clone_trooper_helmet_lux|Klonsoldat Hjälm
# itm_imperial_scout_trooper_helmet|Imperial Scout Trooper Helmet
# itm_shadow_scout_trooper_helmet|Shadow Scout Trooper Helmet
# itm_republic_pilot_helmet|Rebel Pilot Helmet
# itm_republic_commando_helmet|Rebel Commando Helmet
# itm_republic_commando_desert_helmet|Rebel Desert Commando Helmet
# itm_republic_commando_urban_helmet|Rebel Urban Commando Helmet
# itm_rebel_sniper_helmet|Rebel Sniper Helmet
# itm_jedi_knight_hood|Jedi Knight Hood
# itm_jedi_knight_hood_unique|Jedi Knight Hood
# itm_sith_hood|Sith Hood
# itm_sith_hood_unique|Sith Hood
# itm_jedi_master_hood|Jedi Master Hood
# itm_jedi_master_hood_unique|Jedi Master Hood
# itm_jedi_knight_cloak|Jedi Knight Cloak
# itm_jedi_knight_cloak_hood|Jedi Knight Cloak with Hood
# itm_jedi_master_cloak|Jedi Master Cloak
# itm_jedi_master_cloak_hood|Jedi Master Cloak with Hood
itm_sith_cloak|Sith Mantel
itm_sith_cloak_hood|Sith Mantel med Huva
itm_sith_cloak_mask|Sith Mantel med Mask
# itm_imperial_royal_guard_helmet|Imperial Royal Guard Helmet
# itm_shadow_guard_helmet|Imperial Shadow Guard Helmet
# itm_desert_hat1|Desert Hat
# itm_desert_hat2|Desert Hat
# itm_desert_hat3|Desert Hat
# itm_urban_hat1|Urban Hat
# itm_urban_hat2|Urban Hat
# itm_urban_hat3|Urban Hat
# itm_camouflage_hat1|Camouflage Hat
# itm_camouflage_hat2|Camouflage Hat
# itm_camouflage_hat3|Camouflage Hat
# itm_dress_yellow|Lady Dress
# itm_dress_red|Lady Dress
# itm_dress_green|Lady Dress
# itm_dress_blue|Lady Dress
itm_tunic_green|Tunika
itm_tunic_white|Tunika
itm_tunic_blue|Tunika
itm_tunic_red|Tunika
itm_tunic_yellow|Tunika
itm_padded_tunic_green|Vadderad Tunika
itm_padded_tunic_white|Vadderad Tunika
itm_padded_tunic_blue|Vadderad Tunika
itm_padded_tunic_red|Vadderad Tunika
itm_padded_tunic_yellow|Vadderad Tunika
# itm_officer_uniform_white|Officer Uniform
# itm_imperial_uniform_black_plain|Imperial Uniform
# itm_female_outfit_femconblack|Female Outfit
# itm_female_outfit_femconbrowngreen|Female Outfit
# itm_female_outfit_femcongrey|Female Outfit
# itm_female_outfit_femconorange|Female Outfit
# itm_female_outfit_femconwhite|Female Outfit
# itm_female_outfit_femconwhitebrown|Female Outfit
# itm_outfit_tan|Jumpsuit
# itm_outfit_grey|Jumpsuit
# itm_outfit_black|Jumpsuit
# itm_outfit_green|Jumpsuit
itm_vest_open_a|Öppen Väst
itm_vest_open_b|Öppen Väst
itm_vest_closed_a|Stängd Väst
itm_vest_closed_b|Stängd Väst
itm_vest_closed_c|Stängd Väst
# itm_shirt_blue|Shirt
# itm_shirt_green|Shirt
# itm_vest_closed_f|Snow Jacket
# itm_jacket_open_a|Open Jacket
# itm_jacket_open_b|Open Jacket
# itm_jacket_open_c|Open Jacket
# itm_female_jacket_a|Female Jacket
# itm_female_jacket_b|Female Jacket
# itm_female_jacket_c|Female Jacket
# itm_female_dress_a|Female Dress
# itm_female_dress_b|Female Dress
# itm_female_dancer_outfit_a|Female Dancer Outfit
# itm_female_dancer_outfit_a_cloak|Female Dancer Outfit
# itm_female_dancer_boots|Female Dancer Boots
# itm_female_leather_a|Female Leather Outfit
# itm_female_leather_b|Female Leather Outfit
# itm_female_leather_c|Female Leather Outfit
# itm_female_leather_d|Female Leather Outfit
# itm_jacket_closed_a|Closed Jacket
# itm_jacket_closed_b|Closed Jacket
# itm_jacket_closed_c|Closed Jacket
# itm_klatooinian_armor|Klatooinian Armor
# itm_scavenger_armor|Scavenger Armor
# itm_mercenary_armor|Mercenary Armor
# itm_crime_lord_armor|Crime Lord Armor
# itm_trandoshan_flight_suit|Trandoshan Flight Suit
# itm_civilian_cloak|Civilian Cloak
itm_white_cloak|Vit Mantel
itm_padded_armor_white|Vadderad Rustning
itm_padded_armor_red|Vadderad Rustning
itm_padded_armor_blue|Vadderad Rustning
itm_armor_blue|Rustning
itm_armor_brown|Rustning
itm_armor_red|Rustning
itm_armor_white|Rustning
itm_pirate_armor|Rustning
# itm_imperial_uniform_black|Imperial Officer Uniform
# itm_imperial_uniform_green|Imperial Officer Uniform
# itm_rebel_uniform_tanblue|Rebel Commander Uniform
# itm_rebel_uniform_green|Rebel Officer Uniform
# itm_imperial_trooper_armor|Imperial Trooper Armor
# itm_imperial_navy_trooper_armor|Imperial Navy Trooper Armor
# itm_imperial_trooper_armor|Imperial Trooper Armor
# itm_rebel_technician_armor|Rebel Cadet Armor
# itm_republic_trooper_armor|Rebel Trooper Armor
# itm_rebel_heavy_trooper_armor|Rebel Heavy Trooper Armor
itm_jedi_initiate_robe|Jedi Invigds Rock
itm_jedi_padawan_robe|Jedi Lärlings Rock
# itm_sith_acolyte_outfit|Sith Acolyte Outfit
# itm_sith_apprentice_outfit|Sith Apprentice Outfit
# itm_imperial_scout_trooper_armor|Imperial Scout Trooper Armor
# itm_shadow_scout_trooper_armor|Shadow Scout Trooper Armor
# itm_republic_pilot_armor|Rebel Pilot Armor
# itm_republic_commando_armor|Rebel Commando Armor
# itm_republic_commando_desert_armor|Rebel Desert Commando Armor
# itm_republic_commando_urban_armor|Rebel Urban Commando Armor
# itm_rebel_sniper_armor|Rebel Sniper Armor
# itm_imperial_stormtrooper_armor|Imperial Stormtrooper Armor
# itm_imperial_stormtrooper_armor_incinerator|Incinerator Trooper Armor
# itm_imperial_stormtrooper_armor_novatrooper|Novatrooper Armor
# itm_imperial_stormtrooper_armor|Imperial Stormtrooper Armor
# itm_rebel_honor_guard_armor|Rebel Honor Guard Armor
# itm_clone_trooper_armor_white|Clone Trooper Armor
# itm_clone_trooper_armor_green|Clone Trooper Armor
# itm_clone_trooper_armor_blue|Clone Trooper Armor
# itm_clone_trooper_armor_red|Clone Trooper Armor
# itm_clone_trooper_armor_yellow|Clone Trooper Armor
# itm_clone_trooper_armor_orange|Clone Trooper Armor
# itm_clone_trooper_armor_mand|Clone Trooper Armor
# itm_clone_trooper_armor_lux|Clone Trooper Armor
# itm_arc_trooper_armor_green|Arc Trooper Armor
# itm_arc_trooper_armor_blue|Arc Trooper Armor
# itm_arc_trooper_armor_red|Arc Trooper Armor
# itm_arc_trooper_armor_yellow|Arc Trooper Armor
# itm_arc_trooper_armor_orange|Arc Trooper Armor
# itm_arc_trooper_armor_mand|Arc Trooper Armor
# itm_arc_trooper_armor_lux|Arc Trooper Armor
# itm_skiff_guard_armor_brown|Skiff Guard Armor
# itm_skiff_guard_armor_grey|Skiff Guard Armor
# itm_skiff_guard_armor_white|Skiff Guard Armor
# itm_hutt_palace_guard_armor|Hutt Palace Guard Armor
# itm_jedi_knight_robe|Jedi Knight Robe
# itm_jedi_knight_robe_unique|Jedi Knight Robe
# itm_jedi_guardian_robe_a|Jedi Guardian Robe
# itm_jedi_guardian_robe_b|Jedi Guardian Robe
# itm_jedi_guardian_robe_c|Jedi Guardian Robe
# itm_jedi_guardian_robe_d|Jedi Guardian Robe
# itm_sith_knight_robe|Sith Knight Robe
# itm_sith_knight_robe_unique|Sith Knight Robe
# itm_sith_knight_robe_a|Sith Knight Robe
# itm_sith_knight_robe_b|Sith Knight Robe
# itm_sith_knight_robe_c|Sith Knight Robe
# itm_imperial_royal_guard_robe|Imperial Royal Guard Robe
# itm_shadow_guard_robe|Imperial Shadow Guard Robe
# itm_imperial_stormtrooper_armor_officer|Imperial Stormtrooper Officer Armor
# itm_sw_desert_armor|Heavy Desert Armor
# itm_sw_urban_armor|Heavy Urban Armor
# itm_sw_sniper_armor|Sniper Armor
itm_jedi_robe_a|Jedi Rock
itm_jedi_robe_a_unique|Jedi Rock
itm_jedi_robe_b|Sith Rock
itm_jedi_robe_b_long|Lång Sith Rock
itm_jedi_robe_c|Jedi Rock
itm_jedi_robe_c_long|Lång Sith Rock
itm_jedi_robe_d|Jedi Rock
itm_jedi_robe_d_unique|Jedi Rock
itm_jedi_robe_e|Jedi Rock
itm_jedi_robe_e_unique|Jedi Rock
itm_jedi_robe_f|Jedi Rock
itm_jedi_robe_f_unique|Jedi Rock
itm_jedi_master_robe|Jedi Rock
itm_jedi_master_robe_unique|Jedi Rock
itm_sith_marauder_robe|Sith Marodör Rock
itm_sith_marauder_robe_unique|Sith Marodör Rock
itm_sith_marauder_robe_a|Sith Marodör Rock
itm_sith_marauder_robe_b|Sith Marodör Rock
itm_sith_marauder_robe_c|Sith Marodör Rock
itm_sith_marauder_robe_d|Sith Marodör Rock
itm_sith_master_robe|Sith Mästares Rock
itm_sith_master_robe_unique|Sith Mästares Rock
itm_guard_armor|Vakt Rustning
itm_guard_armor_red|Väktares Rustning
# itm_blast_armor_black|Blast Armor
# itm_blast_armor_red|Blast Armor
# itm_blast_armor_grey|Blast Armor
# itm_blast_armor_bluegrey|Blast Armor
itm_ubese_armor|Ubese Rustning
# itm_ubese_armor_alt|Ubese Armor
itm_wookiee_armor1|Wookie Rustning
itm_wookiee_armor1_merch|Wookie Rustning
itm_wookiee_armor2|Wookie Rustning
itm_wookiee_armor2_merch|Wookie Rustning
itm_wookiee_hunter_armor|Wookie Jägares Rustning
itm_wookiee_hunter_helmet|Wookie Jägares Hjälm
itm_wookiee_female_head|Wookie Kvinna Huvud
itm_wookiee_female_body|Wookie Kvinna Kropp
itm_wookiee_female_hands|Wookie Kvinna Händer
itm_wookiee_female_feet|Wookie Kvinna Fötter
# itm_kaminoan_female_head|Kaminoan Female Head
# itm_kaminoan_female_body|Kaminoan Female Body
# itm_droid_weapon_no_attack|Droid Melee Weapon (No Attack)
# itm_r2series_blue|R2-Series Blue
# itm_r2series_green|R2-Series Green
# itm_r2series_orange|R2-Series Orange
# itm_r2series_purple|R2-Series Purple
itm_mse6_armor|MSE-Serie Droid Kropp
itm_lin_droid_armor|LIN Droid Kropp
itm_lin_droid_armor_w_arm|LIN Droid Kropp
# itm_power_droid_grey|Power Droid
# itm_power_droid_snow|Power Droid
# itm_power_droid_tan|Power Droid
# itm_fxseries_droid_armor|FX-Series Medical Droid Body
itm_c3po_blue_head|3PO-Serie Huvud
itm_c3po_blue_hands|3PO-Serie Händer
itm_c3po_blue_body|3PO-Serie Kropp
itm_c3po_blue_feet|3PO-Serie Fötter
itm_c3po_gold_head|3PO-Serie Huvud
itm_c3po_gold_hands|3PO-Serie Händer
itm_c3po_gold_body|3PO-Serie Kropp
itm_c3po_gold_feet|3PO-Serie Fötter
itm_c3po_grey_head|3PO-Serie Huvud
itm_c3po_grey_hands|3PO-Serie Händer
itm_c3po_grey_body|3PO-Serie Kropp
itm_c3po_grey_feet|3PO-Serie Fötter
itm_c3po_red_head|3PO-Serie Huvud
itm_c3po_red_hands|3PO-Serie Händer
itm_c3po_red_body|3PO-Serie Kropp
itm_c3po_red_feet|3PO-Serie Fötter
itm_3poseries_gold|3PO-Serie Guld
itm_3poseries_blue|3PO-Serie Blå
itm_3poseries_red|3PO-Serie Röd
itm_3poseries_grey|3PO-Serie Grå
itm_3poseries_attack|3PO-Serie Närstridsattack
# itm_b1series_body|B1-Series Battle Droid Body
# itm_bxseries_body|BX-Series Commando Droid Body
# itm_oomseries_body|OOM Security Droid Body
# itm_oomseries_pilot_body|OOM Pilot Droid Body
# itm_oomseries_marine_body|OOM Marine Droid Body
# itm_oomseries_command_body|OOM Command Droid Body
# itm_battle_droid_attack|Battle Droid Melee Attack
# itm_b2series_body|B2-Series Battle Droid Body
# itm_b2series_body_enhanced|C-B3 Battle Droid Body
# itm_b2series_attack|B2-Series Battle Droid Attack
# itm_b2series_blaster|B2-Series Battle Droid Blaster
itm_transparent_droid_head|Transparent Huvud (för Droids)
itm_transparent_droid_hands|Transparenta Händer (för Droids)
itm_transparent_droid_feet|Transparenta Fötter (för Droids)
itm_ig88_head|IG-Serie Huvud
itm_ig88_hands|IG-Serie Händer
itm_ig88_body|IG-Serie Kropp
itm_ig88_feet|IG-Serie Fötter
itm_ig88_attack| 
itm_ig88_e11_shield|IG-88's E-11 Sköld
itm_ig88_dlt20a|IG-88's DLT-20A
itm_4lom_head|LOM-Serie Huvud
itm_hk_head|HK-Serie Huvud
itm_hk_hands|HK-Serie Händer
itm_hk_body|HK-Serie Kropp
itm_hk_feet|HK-Serie Fötter
itm_hk_attack| 
itm_mandalorian_tunic|Mandalorisk Tunika
itm_mandalorian_soldier_helmet|Mandalorisk Soldats Hjälm
itm_mandalorian_soldier_helmet2|Mandalorisk Soldats Hjälm
itm_mandalorian_soldier_helmet3|Mandalorisk Soldats Hjälm
itm_mandalorian_soldier_armor|Mandalorisk Soldats Rustning
itm_mandalorian_soldier_armor2|Mandalorisk Soldats Rustning
itm_mandalorian_soldier_boots|Mandalorisk Soldats Stövlar
itm_mandalorian_commando_helmet|Mandalorisk Commandosoldats Hjälm
itm_mandalorian_commando_armor|Mandalorisk Commandosoldats Rustning
itm_mandalorian_commando_armor2|Mandalorisk Commandosoldats Rustning
itm_mandalorian_commando_boots|Mandalorisk Commandosoldats Stövlar
itm_mandalorian_sniper_helmet|Mandalorisk Prickskytts Hjälm
itm_mandalorian_sniper_armor|Mandalorisk Prickskytts Rustning
itm_mandalorian_sniper_armor2|Mandalorisk Prickskytts Rustning
itm_mandalorian_sniper_armor3|Mandalorisk Prickskytts Rustning
itm_mandalorian_sniper_boots|Mandalorisk Prickskytts Stövlar
itm_mandalorian_crusader_helmet|Mandalorisk Förkämpes Hjälm
itm_mandalorian_neocrusader_helmet|Mandalorisk Neo-Förkämpes Hjälm
itm_mandalorian_crusader_armor|Mandalorisk Förkämpes Rustning
itm_mandalorian_crusader_boots|Mandalorisk Förkämpes Stövlar
# itm_mandalorian_deadeye_helmet|Mandalorian Deadeye Helmet
# itm_mandalorian_deadeye_armor|Mandalorian Deadeye Armor
# itm_mandalorian_deadeye_armor2|Mandalorian Deadeye Armor
# itm_mandalorian_deadeye_armor3|Mandalorian Deadeye Armor
# itm_mandalorian_deadeye_boots|Mandalorian Deadeye Boots
# itm_mandalorian_beskar_helmet|Mandalorian Beskar Helmet
# itm_mandalorian_beskar_armor|Mandalorian Beskar Armor
# itm_mandalorian_beskar_boots|Mandalorian Beskar Boots
itm_defiler_helmet|Befläckares Hjälm
itm_defiler_armor|Befläckares Rustning
itm_defiler_boots|Befläckares Stövlar
# itm_black_sun_helmet|Black Sun Helmet
# itm_black_sun_helmet_tan|Black Sun Helmet
# itm_black_sun_helmet_teal|Black Sun Helmet
# itm_black_sun_helmet_red|Black Sun Helmet
# itm_black_sun_armor|Black Sun Armor
# itm_black_sun_armor_tan|Black Sun Armor
# itm_black_sun_armor_teal|Black Sun Armor
# itm_black_sun_armor_red|Black Sun Armor
# itm_gamorrean_armor|Gamorrean Armor
# itm_moncal_armor|Mon Calamari Armor
# itm_moncal_armor_2|Mon Calamari Armor
# itm_moncal_boots|Mon Calamari Boots
# itm_moncal_helmet|Mon Calamri Helmet
# itm_twilek_armor|Twi'lek Armor
itm_jawa_hood|Jawa Huvud
itm_jawa_robe|Jawa Rock
itm_jawa_boots|Jawa Stövlar
itm_tusken_helmet|Tusken Hjälm
itm_tusken_armor|Tusken Rustning
itm_trandoshan_armor|Trandoshiansk Rustning
itm_geonosian_armor|Geonosisk Rustning
itm_lightsaber_green_arena|Lasersvärd
itm_lightsaber_blue_arena|Lasersvärd
itm_lightsaber_yellow_arena|Lasersvärd
itm_lightsaber_red_arena|Lasersvärd
itm_lightsaber_green|Lasersvärd
itm_lightsaber_blue|Lasersvärd
itm_lightsaber_orange|Lasersvärd
itm_lightsaber_purple|Lasersvärd
itm_lightsaber_yellow|Lasersvärd
itm_lightsaber_red|Lasersvärd
# itm_lightsaber_green_reverse|Reverse Grip Lightsaber
# itm_lightsaber_blue_reverse|Reverse Grip Lightsaber
# itm_lightsaber_orange_reverse|Reverse Grip Lightsaber
# itm_lightsaber_purple_reverse|Reverse Grip Lightsaber
# itm_lightsaber_yellow_reverse|Reverse Grip Lightsaber
# itm_lightsaber_red_reverse|Reverse Grip Lightsaber
# itm_lightsaber_blue_double|Double-Bladed Lightsaber
# itm_lightsaber_green_double|Double-Bladed Lightsaber
# itm_lightsaber_orange_double|Double-Bladed Lightsaber
# itm_lightsaber_purple_double|Double-Bladed Lightsaber
# itm_lightsaber_red_double|Double-Bladed Lightsaber
# itm_lightsaber_yellow_double|Double-Bladed Lightsaber
# itm_lightsaber_green_2h|Two Handed Lightsaber
# itm_lightsaber_blue_2h|Two Handed Lightsaber
# itm_lightsaber_orange_2h|Two Handed Lightsaber
# itm_lightsaber_purple_2h|Two Handed Lightsaber
# itm_lightsaber_yellow_2h|Two Handed Lightsaber
# itm_lightsaber_red_2h|Two Handed Lightsaber
# itm_lightsaber_green_1h|One Handed Lightsaber
# itm_lightsaber_blue_1h|One Handed Lightsaber
# itm_lightsaber_orange_1h|One Handed Lightsaber
# itm_lightsaber_purple_1h|One Handed Lightsaber
# itm_lightsaber_yellow_1h|One Handed Lightsaber
# itm_lightsaber_red_1h|One Handed Lightsaber
# itm_lightsaber_green_pike|Lightsaber Pike
# itm_lightsaber_blue_pike|Lightsaber Pike
# itm_lightsaber_orange_pike|Lightsaber Pike
# itm_lightsaber_purple_pike|Lightsaber Pike
# itm_lightsaber_yellow_pike|Lightsaber Pike
# itm_lightsaber_red_pike|Lightsaber Pike
itm_darth_vader_lightsaber|Darth Vader's Lasersvärd
itm_obi_wan_lightsaber|Obi-Wan Kenobi's Lasersvärd
itm_luke_skywalker_lightsaber|Luke Skywalker's Lasersvärd
itm_anakin_skywalker_lightsaber|Anakin Skywalker's Lasersvärd
# itm_lightsaber_red_multikill|Multi-hit Lightsaber (in development)
itm_melee_punch| 
# itm_durasteel_staff|Durasteel Staff
# itm_electro_staff_medium|Electrostaff
# itm_electro_staff_long|Electrostaff
# itm_gamorrean_axe_1h|One Handed Gamorrean Axe
# itm_gamorrean_axe_2h|Two Handed Gamorrean Axe
# itm_vibro_axe_medium_1h|One Handed Vibro-Axe
# itm_vibro_axe_medium_2h|Two Handed Vibro-Axe
# itm_vibro_axe_long_1h|One Handed Vibro-Axe
# itm_vibro_axe_long_2h|BD-1 Cutter Vibro-Axe
# itm_tusken_gaffi_staff|Gaffi Staff
# itm_tusken_gaffi_stick|Gaffi Stick
# itm_durasteel_mace|Durasteel Mace
itm_baton|Batong
# itm_trandoshan_blade|Trandoshan Blade
# itm_durasteel_bat|Durasteel Bat
# itm_force_pike|Force Pike
# itm_geonosian_static_pike|Geonosian Static Pike
# itm_pipe1|Pipe
# itm_pipe2|Pipe
# itm_ryyk_blade|Ryyk Blade
