p_shipyard_trade_federation|Kauppaliitto
p_minorplanet_85|Phindar
p_minorplanet_86|Vaal
p_minorplanet_87|Serenno
p_minorplanet_88|Derra IV
p_minorplanet_89|Rylothin kuu
p_minorplanet_90|Khomm
p_training_ground|Harjoitusalue
p_training_ground_1|Harjoitus akatemia
p_training_ground_2|Harjoitus akatemia
p_training_ground_3|Harjoitus akatemia
p_training_ground_4|Harjoitus akatemia
p_training_ground_5|Harjoitus akatemia
